item_key,title,abstract,prior_decision,prior_confidence,prior_rationale,source_queue
8R9TKC2I,"In AI We Trust: Ethics, Artificial Intelligence, and Reliability",,discard,low,No abstract available; title suggests general AI ethics/reliability without identifiable software engineering governance contribution,maybe_queue
MDTBNGDC,A federated observability architecture pattern for reliable agentic AI software systems across the AI,"ContextMulti-agent agentic AI systems generate evolving, and non-deterministic telemetry that reflects reasoning, decision-making, adaptive workflows, / in agentic AI software systems. / Multi-Agent Systems, federated observability, data flow, schema normalisation, reliability, agentic AI, trustworthy AI, AI-driven architecture",maybe,medium,"Federated observability architecture for monitoring multi-agent agentic AI software systems could enable governance of AI coding agents, but the abstract does not explicitly connect to code generation or software engineering oversight",maybe_queue
9LSVAEIL,SAFEARC: a seven-pillar operational architecture for socio-technical AI governance,"SAFEARC integrates requirements from the EU AI Act, OECD AI Principles, NIST AI Risk Management Framework, and ISO/IEC 42001 into a unified workflow structured / The paper demonstrates that SAFEARC enhances auditability, improves internal coordination, and supports socio-technical readiness for emerging AI regulation / Socio-Technical Systems, AI Governance, Regulatory Convergence, Operational Architecture, Compliance, Risk Management, Organizational Capacity",maybe,medium,"Unified seven-pillar AI governance architecture integrating NIST, EU AI Act, and ISO/IEC 42001 with empirical auditability improvements — transferable to software org compliance workflows but lacks explicit code or SE focus",keep_queue
QGFVHN46,Managing GenAI's uneven performance: a governance framework for law firms,"Firm leaders circulate communications directing lawyers to ""please continue to incorporate AI into your practice."" / It is built around a principle that current law firm policies miss: the central governance question is not what AI is producing, but what AI is replacing / Generative AI, Law Firm Governance, AI Governance, Legal Technology, Jagged Frontier, Professional Responsibility",maybe,medium,Law firm GenAI governance framework centers on what AI replaces vs. produces — a transferable principle — but domain-specific framing and thin abstract prevent confident resolution of software engineering applicability.,keep_queue
8BPVBQ2H,"Bias-free and auto-evolving generative AI: design principles, architectures, and reinforcement integration","The increasing deployment of generative Artificial Intelligence (AI) systems, particularly large language and multimodal foundation models, presents unprecedented challenges in software engineering. Current development pipelines face issues such as bias propagation, evolving model integration, security vulnerabilities, and lack of explainability, especially in compliance with AI regulations. This paper presents a comprehensive framework for engineering bias-free and auto-evolving generative AI systems, addressing key technical and regulatory challenges through modular software design, hardware-aware optimisation, and human-in-the-loop reinforcement learning. We propose a reference architecture that integrates fairness-aware orchestration, explainability mechanisms, and resilience against prompt and dataset poisoning. © 2026 IEEE.",maybe,medium,"Reference architecture addressing software engineering pipeline challenges (bias propagation, security vulnerabilities) with HITL reinforcement, but it is unclear whether this governs AI-generated code or the engineering of AI systems themselves.",keep_queue
NGIH5T4C,The evolving landscape of code review: leveraging artificial intelligence for enhanced software quality and developer productivity,"This paper explores how artificial intelligence (AI) reshapes code review by enabling automation, improving accuracy, and promoting coding standardization / Case examples from leading tech firms underscore AI's transformative potential while emphasizing the need for ethical safeguards and human oversight.",maybe,medium,"Directly covers AI-enhanced code review with human oversight angle but abstract language (explores, case examples, emphasizing need) suggests descriptive survey rather than empirical operationalizable contribution.",keep_queue
3IH4PUPA,"Evaluating the impact of explainable artificial intelligence (XAI) techniques on trust, transparency, and decision-making accuracy in high-stakes machine learning applications","Explainable Artificial Intelligence (XAI) has emerged as a critical solution to address the opacity of complex models by providing human-interpretable / The findings highlight that while XAI can enhance transparency and foster informed human oversight, the effectiveness of explanations is highly context-dependent / Explainable Artificial Intelligence (XAI), Machine Learning Transparency, Algorithmic Trust, High-Stakes AI Systems, Decision-Making Accuracy, SHAP, LIME",maybe,medium,"Empirical evaluation of XAI techniques for human oversight trust in high-stakes ML provides measurement methodology with plausible transfer to code review oversight, but domain applicability is not resolvable from the abstract.",maybe_queue
KNX6AJCH,How audit readiness capability reshapes organisational knowledge credibility: a theoretical model based on full-volume lossless evidence graphs,"Against the backdrop of widespread generative AI adoption, proliferating synthetic content, and intensified data contamination and cross-platform dissemination / While transparency, accountability, and organizational learning research underscore the importance of disclosure, oversight, and error correction, they / Audit readiness capability, Knowledge credibility, Evidence chain, Evidence map, Traceability, Restorable, Accountability",maybe,medium,"Theoretical model for audit readiness using lossless evidence graphs in generative AI context has plausible application to code audit trails, but transfer from organizational knowledge credibility to code governance requires domain argument.",maybe_queue
778DRS29,"Governing the AI productivity promise organizational capital, governance quality, and the capture of AI-assisted development gains a working paper on AI governance as intangible capital","AI productivity, organizational capital, governance multiplier, agentic AI, intangible capital, software development, aao-methodology",maybe,low,Abstract too sparse to assess whether governance quality framework for AI-assisted software development presents a measurable mechanism or only conceptual argument about governance as organizational capital.,maybe_queue
K8PJIPQJ,Empirical validation of open bias architecture (OBA) in GPT models: a structural framework for bias detection and model-state diagnostics,"These findings position OBA as a practical, reproducible infrastructure for AI auditing, governance, and applied system design.",keep,low,"Claims reproducible AI auditing and governance infrastructure but single-sentence abstract prevents assessment of methodology, scope, or applicability to code contexts",maybe_queue
