item_key,decision,confidence,rationale,prior_decision,prior_confidence
YCIF3VGA,discard,high,"AI ethics maturity model provides assessment checklist without operationalizable mechanism; no software/code-specific angle and maturity models require substantial domain adaptation to become actionable for code governance",maybe,medium
NLW3HZN2,discard,high,"Practice-based compliance framework grounded in Social Practice Theory is theoretical sociology requiring substantial re-derivation; no demonstrated applicability to software engineering organizations",maybe,medium
XBK7KB3E,keep,medium,"Pipeline methodology (evaluation-testing-rationale-oversight) with explicit HITL validation against gold-standard data provides transferable oversight structure; stage-based approach maps to code review workflow design with minimal adaptation",maybe,medium
5HT7MJV3,keep,high,"Agentic workflow drift and workflow subversion risk taxonomy directly applies to agentic coding tool governance; risks of AI agents executing against unintended definitions are domain-general despite financial services framing",maybe,medium
JFIUWS9F,discard,high,"Descriptive identification of emerging AI governance roles (trust leads, risk specialists) without operational framework for how to structure or staff these roles; fails operationalizability test",maybe,medium
XF92TSIM,discard,medium,"Identifies governance gap between output assurance and structural stability conceptually but provides no operationalizable detection mechanism or measurement methodology; descriptive without being actionable",maybe,medium
9I8TTE85,discard,medium,"Regulatory interpretation mapping EU AI Act to auditing terminology useful for policy understanding but provides no operational mechanisms for software teams to implement; exegesis rather than guidance",maybe,medium
9NFBWNGF,keep,low,"Layered GenAI safety framework integrating HITL at each development stage (Training through Societal Impact) provides actionable governance structure; conceptual nature means adaptation may be needed but layer-stage approach is operational",maybe,medium
VEGZR3CP,discard,medium,"Verification framework concept for computational claims is relevant but abstract too thin to assess whether transferable mechanism exists; domain translation from finance/clinical to code not demonstrated",maybe,medium
9NA8TTTH,keep,medium,"Multi-framework synthesis integrating EU AI Act, NIST AI RMF, IEEE 7000, ISO/IEC 42001 with explicit oversight mechanisms provides actionable compliance integration for enterprise AI deployments including software organizations",maybe,medium
L244XDA5,discard,high,"Training data provenance protocol addresses AI governance at training data layer not output/code layer; no applicability to oversight of AI-generated code outputs which is distinct problem domain",maybe,medium
YUGG954N,discard,medium,"Organizational theory framework using Viable System Model requires substantial domain re-derivation for software engineering; interesting concepts (Capability-Comprehension Gap) but no direct operational mechanism for code governance",maybe,medium
37FEWW5S,keep,high,"Goal-Plan-Step sentinel requiring plan publication and step-level justifications before agentic AI execution directly transfers to oversight of agentic coding tools; IoT implementation is incidental to the governance pattern",maybe,medium
7VEK3RVR,keep,high,"Human-Exception governance model demonstrating transition from HITL directly addresses oversight scaling challenge; governance tiering structure (humans review exceptions not every action) transfers to code review without re-derivation",maybe,medium
4DA5ZQ6D,discard,medium,"Describes oversight failure modes (AI fabrications passing undetected, fragmented oversight, prompt injection) but provides no operationalizable detection or mitigation mechanisms; problem analysis without solution",maybe,medium
BZD4TI55,discard,low,"On-topic (GitHub Copilot, code quality, trust) but thin abstract reveals no methodology or findings; indicates descriptive investigation of unresolved concerns rather than quantified measurement or operationalizable contribution",maybe,low
PJ7WAG66,discard,low,"No abstract available to assess operationalizability; title suggests explanatory/definitional treatment of accountability concept rather than operational framework with mechanisms",maybe,low
TPV2AGCB,discard,low,"No abstract available; writing domain requires translation argument to code review; cannot verify transferable operational contribution or behavioral patterns that would apply to code oversight",maybe,low
CTAMRMIV,discard,medium,"SNA methodology for AI agent coordination addresses organizational structure analysis rather than oversight of code outputs; indirect relevance to code governance fails operationalizability test",maybe,medium
ZTC5ZMK7,keep,medium,"Real-time cognitive bias detection and intervention mechanism for human-AI collaboration directly addresses automation bias risk in code review; platform architecture provides operational framework for bias mitigation during AI-assisted decisions",maybe,medium
