item_key,decision,confidence,rationale,prior_decision,prior_confidence
2SDBF78T,keep,medium,"HITL escalation protocols and immutable audit trails are directly operationalizable governance mechanisms; banking-to-software translation is trivial since the escalation/audit pattern transfers without re-derivation",maybe,medium
R9J5U8IA,discard,high,"Theoretical synthesis of sycophancy literature without operational implementation — no mechanism, metric, or process a software team can adopt; fails operationalizability test",maybe,medium
2DGTDW4E,discard,medium,"No abstract and 'high-level summary' framing indicates overview rather than operationalizable framework; cannot assess Article 14 or software provisions without content",maybe,low
UHWNFLT2,discard,medium,"Despite directly mentioning vibe coding, focus is labor market and role-reshaping implications — a software team cannot act on workforce trend analysis; no governance mechanism presented",maybe,medium
EZVVZMPM,keep,low,"Evaluator role repositioning framework could provide organizational structure for scaling code review oversight, but 'analytics models' specificity unclear — human should verify mechanism depth",maybe,medium
P7HEK487,keep,high,"Benchmark quantifying verified-vs-vibe code generation success rates provides reproducible measurement methodology; teams can use this to assess AI code quality risk levels and set verification thresholds",maybe,medium
5IZXVQS6,keep,medium,"RCT findings on automation bias and trust miscalibration provide experimentally validated mechanisms (diverse AI perspectives improve judgment); trust calibration design transfers directly to code review",maybe,medium
9V6RGZ9G,discard,medium,"Legal analysis without evidence of actionable compliance framework for software teams; abstract confirms regulation focus but not operational mechanisms for engineering orgs",maybe,medium
MIURMRB9,discard,high,"No abstract; title indicates conceptual landscape overview — fails operationalizability test by being definitional without actionable contribution",discard,low
SZKPQWCC,discard,medium,"Cloud infrastructure governance mechanisms require substantial re-derivation to code review context; the domain gap (infrastructure provisioning vs code quality) is not trivial",maybe,medium
UNRV995L,discard,medium,"Abstract too thin to assess operationalizability; SOX-style concept is promising but no evidence of actionable framework or software focus",discard,low
PMPV54J9,keep,medium,"Organizational framework for AI agent integration with trust/liability distinctions provides structure software teams can adopt for deploying AI coding tools; hybrid team dynamics transfer directly",maybe,medium
SSHGBPBL,discard,high,"Single-sentence abstract about data commodification provides no evidence of operationalizable content; cannot assess without actual framework content",discard,low
MJDUMWUX,keep,high,"Clause-level compliance crosswalk is directly operationalizable — teams managing multi-framework AI compliance can reuse evidence artifacts; high alignment in human oversight creates actionable corridor",maybe,medium
884ERQST,keep,medium,"Developer/deployer/user responsibility allocation framework maps directly to software AI tool governance decisions; supply chain model provides actionable accountability structure",maybe,medium
X3W5WKB5,discard,medium,"Economic model of verification effort requires substantial re-derivation from economics to engineering practice; software teams cannot directly adopt market equilibrium analysis",maybe,medium
7VXQ4CPI,keep,medium,"Systematic prompt pattern catalog for mission-critical software provides standardizable mechanisms teams can adopt to control AI code generation interactions; directly operationalizable",maybe,medium
XKEY3YYF,keep,medium,"HALIE evaluation framework provides measurement methodology for human-LM interaction quality including code autocomplete; teams can use dimensions to assess AI coding tool effectiveness",maybe,medium
9E8E27L7,keep,low,"Decision boundary constructs (admissibility, escalation, override, accountability) map directly to code review governance design despite effectuation theory origin — translation is non-trivial but concepts are operational; human verify",maybe,medium
C2IDS2XP,discard,medium,"EU AI Act risk classification analysis for agentic AI lacks explicit software/DevSecOps scope; translation to code-generating agent governance requires substantial domain argument not present in abstract",maybe,medium
