item_key,title,abstract,prior_decision,prior_confidence,prior_rationale,source_queue
EPBF85Q9,From output to authority: bridging the decision authority gap in AI-enabled organizations through the DAG framework,"By reframing AI adoption as a challenge of decision architecture rather than technological capability, this paper contributes a novel and actionable perspective / to the discourse on responsible AI. / Artificial Intelligence, Decision Authority, AI Governance, Organizational Decision-Making, Accountability, Decision Architecture, Human-AI Interaction",discard,low,Abstract is essentially keywords with a single-line claim; cannot assess whether the DAG framework provides operationalizable mechanisms for SE teams managing AI-generated code.,keep_queue
Z2EYJP79,AI risk and governance in startups: a study of implementation gaps and founder justifications,"Artificial intelligence (AI) adoption among startups is accelerating, yet systematic understanding of how founders approach AI-related risks, justify implementation decisions, and establish governance frameworks remains limited. This study examines how startup founders interpret AI risks and opportunities, develop justification strategies for adoption, and negotiate boundaries of responsibility through applied sociological analysis. Drawing on survey data from 72 startup founders collected in September 2024, we analyzed quantitative patterns and qualitative insights using sociological frameworks of technological framing, institutional logics, and boundary-work. Founders predominantly view AI through dual lenses, recognizing innovation opportunities while acknowledging operational risks including data privacy, algorithmic bias, and integration challenges. Despite widespread risk awareness (95% have learned or intend to learn about AI risks), actual governance measures remain limited, with 85% having no specific protective measures. Founders primarily employ market-oriented justifications emphasizing efficiency and competitive advantage, while ethical considerations remain largely symbolic. Most favor shared responsibility between AI developers and implementers (39%), though practical boundary-setting is rare. These sociological insights inform technical implementation strategies and governance system design for AI deployment in resource-constrained environments. Our findings offer evidence-based frameworks for risk prioritization, resource allocation, and governance implementation that can inform startup strategies and ecosystem-level support programs. © 2025 IEEE.",maybe,medium,"Empirical study of AI governance gaps in startups (85% lack protective measures) yields risk-prioritization frameworks, but scope is startup founders broadly rather than software engineering teams specifically.",keep_queue
WIFK95JQ,A methodological framework for auditing norm-sensitive behaviour in large language models: research design for employment contexts,"This methodological blueprint addresses a gap in AI auditing: how to assess behaviour in contested, value-laden contexts where correctness is undefined",maybe,medium,"Methodological blueprint for auditing LLM behavior where correctness is undefined — employment domain, but the norm-sensitive auditing approach is plausibly transferable to AI code quality assessment.",keep_queue
3X9FU8H9,Trust and risk asymmetry in AI deployment: game theory solutions to the exploit-proofing problem,"The deployment of artificial intelligence systems in enterprise environments faces a fundamental asymmetry: a single visible failure can eliminate months / These findings overturn the conventional wisdom that AI governance requires heavier oversight. / AI governance, risk asymmetry, mixed-strategy equilibrium, costly monitoring, subgame perfection, compliance deterrence",maybe,medium,Game-theoretic model of AI monitoring cost and risk asymmetry finding that heavier oversight is not always optimal — potentially transferable to code review monitoring strategy design but requires domain argument.,maybe_queue
77GQQEXZ,Law and technological innovations: three reasons to pause,"First, it highlights how exaggerated claims about the benefits of new tools—particularly generative AI—often ignore the functional adequacy of existing / including demanding greater transparency from technology vendors, establishing review and audit mechanisms, and adopting flexible contracts to ensure accountability / legal technology, generative AI, corpus linguistics, risk assessment algorithms, institutional bias, legal innovation, law and technology",maybe,low,"Legal technology paper proposing audit mechanisms, vendor transparency requirements, and accountability contracts for GenAI — operationalizable elements present but domain is legal practice and governance substance is thin.",maybe_queue
FWCGTMFN,"Governing AI agents: risk, compliance, and accountability in law and finance","This chapter proposes a governance framework that can be used to scale oversight requirements to match each system's risk profile, based on factors like / It concludes by outlining a maturity-based adoption path that enables legal and financial institutions to adopt agentic AI while managing liability exposure",maybe,medium,Proposes risk-scaled oversight framework for AI agents in law and finance with maturity-based adoption path — oversight scaling mechanism plausibly transferable to SE code governance but domain translation required.,keep_queue
4A6JE4Z8,Advancing Social Intelligence in AI Agents: Technical Challenges and Open Questions,,discard,low,"No abstract provided and the title indicates social AI capabilities research without governance, oversight, or risk measurement relevance.",maybe_queue
JW9744N2,Principles for the secure integration of artificial intelligence in operational technology,,maybe,low,"CISA secure AI integration principles for industrial OT could transfer to software security practices, but without an abstract the domain applicability and operationalizability cannot be assessed.",keep_queue
YHXNQBEB,AI-driven output checking for official statistics: leveraging LLMs and workflow automation,"Researchers rely on confidential and sensitive microdata provided by national statistical institutes and other organizations, making disclosure control a critical challenge. Manual output checking processes are time-consuming and require expert knowledge, limiting scalability. This paper presents an automated framework that integrates large language models (LLMs), prompt engineering, and workflow automation (n8n) for statistical disclosure control (SDC). The system introduces an AI-driven output validation, including code generation, data processing, and risk assessment, allowing researchers to pre-check their outputs via a Seamless Within-Activity Review (SWAR) approach. Key challenges such as computational costs, confidentiality concerns, and the need for human oversight are addressed, and reinforcement learning is proposed to enhance future risk evaluation. The framework marks a step toward scalable, privacy-compliant, AI-assisted disclosure control in official statistics. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.",maybe,medium,"LLM-driven statistical disclosure control framework with human oversight and scaling via SWAR addresses volume management challenges plausibly transferable to code review, but domain translation is required and not resolvable from the abstract.",maybe_queue
27D36V3E,The ethical concerns raised using AI tools on software development systems,"The advantages, disadvantages, and ethical concerns raised by AI technologies in software creation are the primary foci of this study. It turns out that AI can cut software mistakes in half and boost efficiency by 15% in SMEs, according to an analysis of tools like DeepCode and GitHub Copilot. Intellectual property rights, prejudice, and over-reliance are still problems. Data is gathered via interviews and surveys from developers and specialists, and the research employs both quantitative and qualitative methods, following a case study methodology. For technology to be used sustain, the research suggests building ethical frameworks and combining developers’ abilities with AI. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.",maybe,medium,"Case study of AI code tools (DeepCode, GitHub Copilot) in SMEs with quantitative error-reduction findings, but governance recommendations are too general to confirm operationalizability from the abstract alone.",keep_queue
IMLDX22L,Integrating artificial intelligence in cybersecurity auditing: opportunities and risks,"AI Auditing, Cybersecurity Risk Assessment, Automated Audit Analytics, Cyber Governance",maybe,medium,"AI-assisted cybersecurity auditing with risk assessment is plausibly transferable to software security governance, but domain is security audit practice rather than code review or AI code risk management.",keep_queue
ISFAYYKX,Quality assessment of GPT-3.5 and gemini 1.0 pro for SQL syntax,"Nowadays, GPT-3.5 and Gemini 1.0 Pro are employed for various tasks, both for personal and professional use, in multiple domains like education, economy, computer science, etc. Given the increase in users, knowing the quality level of these artificial intelligence (AI) tools is important. Thus, the paper presents a comparative analysis of syntax accuracy generated for SQL databases utilizing the services of GPT-3.5 and Gemini 1.0 Pro. Firstly, the algorithms for testing GPT-3.5 and Gemini 1.0 Pro were developed. Secondly, five types of tests, which implied 700 queries, were conducted by considering requirements with low and high degrees of difficulty. The tests focus on syntax-generated accuracy using an experimental (NorthWind) database, syntax-generated accuracy study using a user-made database, syntax correction accuracy, different responses to the same question on the same account, and different responses to the same question on other accounts. The accuracy obtained for all tests revealed that the GPT-3.5 service has a value of 87 % for SQL syntax generation or correction, whereas the Gemini 1.0 Pro service has an accuracy of 80 %. These results underscore the effectiveness of GPT-3.5 and Gemini 1.0 Pro in assisting with SQL syntax tasks, albeit with differing levels of precision. The findings highlight the significance of human supervision and validation in ensuring the correctness of AI-generated responses, particularly in database-related tasks. The results affect developers and database administrators when selecting appropriate tools for query requirements. For now, replacing programmers with GPT-3.5 and Gemini 1.0 Pro is impossible. © 2025 The Author(s)",maybe,medium,"Quantitative LLM SQL syntax accuracy assessment with a human supervision finding provides a reproducible methodology, but the scope (syntax-level SQL only) is too narrow to operationalize general AI code governance.",maybe_queue
5EU48D9J,Controlled “black box”,"black box ai, ai governance book, model transparency, mlops security, ai risk management, algorithmic accountability, machine learning drift, explainability",discard,low,Abstract is too thin to assess operationalizability; keywords suggest AI risk management relevance but content is insufficient to confirm an actionable contribution for software engineering governance.,maybe_queue
ZQY67LDF,"Trust and transparency in AI: industry voices on data, ethics, and compliance","The EU Artificial Intelligence (AI) Act directs businesses to assess their AI systems to ensure that they are developed in a way that is human-centred and trustworthy. The rapid adoption of AI in the industry has outpaced ethical evaluation frameworks, leading to significant challenges in accountability, governance, data quality, human oversight, technological robustness, and environmental and societal impacts. Through structured interviews with 15 industry professionals, paired with a literature review conducted on each of the key interview findings, this paper investigates practical approaches and challenges in the development and assessment of Trustworthy AI (TAI). The findings from participants in our study, and the subsequent literature reviews, reveal complications in risk management, compliance and accountability, which are exacerbated by a lack of transparency, unclear regulatory requirements and a rushed implementation of AI. Participants reported concerns that technological robustness and safety could be compromised by model inaccuracies, security vulnerabilities, and an overreliance on AI without proper safeguards in place. Additionally, the negative environmental and societal impacts of AI, including high energy consumption, political radicalisation, loss of culture, and reinforcement of social inequalities, are areas of concern. There is a pressing need not just for risk mitigation and TAI evaluation within AI systems but for a wider approach to developing an AI landscape that aligns with the social and cultural values of the countries adopting those technologies. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2025.",maybe,medium,Empirical industry study on AI governance challenges covering security vulnerabilities and overreliance risks; themes are relevant but scope is general enterprise AI deployment rather than code generation governance.,keep_queue
