item_key,title,abstract,prior_decision,prior_confidence,prior_rationale,source_queue
VLY55FLI,Tracing bias origin and predicting bias emergence across AI platforms via cryptographic provenance graphs and neural granger causal consensus,"This paper presents a unified architecture addressing these provenance, prediction, and governance gaps through four technically distinct contributions / International bias provenance, causal attribution, directed acyclic graph, Granger causality, neural Granger, transfer entropy, blockchain, Shapley attribution, EU / AI Act, bias emergence prediction, proactive alert, remediation playbook, focal loss, sequential probability ratio test, spatiotemporal clustering, event",maybe,medium,"Technical cryptographic provenance framework for tracking and predicting AI bias emergence with remediation playbooks could transfer to code quality audit trails, but domain is general AI bias rather than software-specific code governance.",maybe_queue
9B2RUW73,A human–LLM collaborative problem-solving framework for complex industrial problems,"Under a human-in-the-loop risk control setting, this study provides an operational framework for collaborative human–AI problem solving in complex industrial / Human–LLM collaboration, large language model, complex industrial problems, root-cause diagnosis, human-in-the-loop, knowledge retention",maybe,medium,"Operational HITL framework for LLM-assisted root-cause diagnosis under explicit risk control settings demonstrates structural patterns such as human override and confidence gating that could transfer to software debugging governance, though industrial domain re-derivation is required.",maybe_queue
82JCG2LM,Evaluating large language models for graphical PLC programming: a temperature control case study,"This study investigates the use of large language models (LLMs), specifically ChatGPT-4o, to support Programmable Logic Controller (PLC) programming using graphical languages. Existing solutions focus mainly on Structured Text (ST), with limited exploration of Ladder Diagram (LAD) and Function Block Diagram (FBD). This work addresses the gap in evaluating LLM-generated control logic for complex systems, such as temperature cascade control. Two strategies for interacting with the model were tested: incremental refinement and full task representation. A laboratory test bench with a PLC controller was used to implement and verify the generated programs. Results show that LLM adequately handles single-loop control but encounters challenges with cascade control, including logical inconsistencies. Manual feedback and corrections were necessary to achieve a working code. The results suggest that while LLMs can support PLC development, they require human oversight and could benefit from improved adaptation to graphical languages.  © 2025 IEEE.",maybe,medium,Evaluates LLM-generated code quality for industrial PLC control with human oversight finding — transferable signal but specialized embedded domain requires argument to generalize to SE governance.,keep_queue
24ZVGAAA,Embedding ethical AI risks in public sector risk management practice an explorative analysis using the three lines of defense risk management model,"Artificial intelligence (AI) adoption by public sector organizations (PSOs) introduces various ethical risks stemming from a lack of integrating human values into AI design. Addressing these ethical risks is a complex collective responsibility among designers, developers, risk experts, and public sector managers. Embedding these risks in existing risk management practices is crucial for responsible AI adoption, as emphasized by the legal requirements of the EU AI Act. However, the responsibility for managing these ethical risks is often unclear. Public sector organizations face unique challenges due to the complex, uncertain, and rapidly evolving nature of AI technologies, further complicating the management of ethical risks. This paper explores using the Three Lines of Defense (TLoD) risk management model to understand and address these ethical risks in public sector AI adoption. The TLoD model structures risk management across three lines: operational management, risk oversight and compliance, and internal audit. This framework helps to distribute and integrate the collective responsibility for ethical AI risk management within public sector organizations, emphasizing alignment and collaboration among different actors. Through an exploratory study involving a survey and semi-structured interviews with professionals responsible for AI-related risk management in Dutch public sector organizations, we assess the TLoD model’s usefulness in addressing ethical AI risks. The study examines the challenges and opportunities in applying the TLoD model to manage ethical risks and identifies the potential gaps in responsibility and oversight. The findings suggest that while the TLoD model offers a valuable lens for distributing risk management responsibilities, there are limitations in addressing the emergent and complex nature of ethical risks in AI adoption. © 2024 Copyright held by the owner/author(s).",maybe,medium,Empirical TLoD risk management framework study with Dutch public sector orgs — governance distribution mechanism is operationalizable but requires domain re-derivation from public sector ethical AI to software code risk.,keep_queue
BT4UHCN5,From intent to code: an AI-powered paradigm for translating declarative specifications into optimized implementations,"present ""Decrypt,"" a novel intent-aware programming paradigm that directly addresses the critical misalignment between a user's expressed goal and the code / Current conversational AI for code often fails to capture the full nuance of a user's intent, leading to frustration and inefficient feedback loops. / intent-aware programming, AI code generation, natural language to code, program synthesis, semantic programming, human-in-the-loop AI, context-aware optimization / , reinforcement learning for code, declarative programming, low-code AI, intent compiler, Decrypt language",maybe,low,Proposes intent-aware AI code generation paradigm with HITL design addressing intent-code misalignment — concept is relevant to code governance but abstract is truncated and methodology is unclear.,keep_queue
GZ5SIYRL,"Policy provenance pattern a pattern for governed, versioned, and auditable business rules in enterprise systems",", enterprise architecture governance, and permissioned blockchain incentive systems. / The paper concludes by identifying agentic AI systems with autonomous decision agents retrieving knowledge from un-versioned document stores, as the most / policy governance, audit trail, versioning, business rules, enterprise architecture, compliance, pattern language, immutability, provenance, agentic AI",maybe,medium,"Enterprise governance pattern for versioned, auditable business rules with agentic AI as identified target — pattern could apply to software pipeline governance but enterprise architecture framing limits direct SE applicability.",maybe_queue
QF8E45VG,"Modelling the collapse of ideation costs, epistemic inversion, knowledge abundance, and a possible transition to the post science paradigm of human-AI alignment over scarcity-based optimisation",,discard,low,Abstract is empty — cannot evaluate operationalizability or relevance.,maybe_queue
F4G9XXBR,SysTradeBench: an iterative build-test-patch benchmark for strategy-to-code trading systems with drift-aware diagnostics,"Large language models (LLMs) are increasingly used as quantitative research copilots to translate natural-language strategy specifications into executable trading code. Yet most existing evaluations either focus on static financial knowledge or summarize performance with a single profitability metric, leaving a gap for benchmarking strategy-to-code trading systems as governed, auditable software. We introduce SysTradeBench (SysTB), an iterative build-test-patch benchmark that evaluates LLM-generated trading systems under drift-aware diagnostics. Given a standardized Base Strategy Doc and frozen semantics, each model must produce (i) a strategy card, (ii) executable code, and (iii) mandatory audit logs. A sandboxed harness runs determinism and anti-leakage checks, detects rule drift across iterations, and returns evidence bundles to support constrained patches. SysTradeBench reports multi-dimensional scorecards for spec fidelity, risk discipline, reliability, and out-of-sample robustness indicators, together with cost-effectiveness signals. We evaluate 17 models across 12 strategies. Top models achieve validity above 91.7 percent with strong aggregate scores, but evidence-driven iteration also induces code convergence by Iter2. These findings suggest that LLM iteration complements rather than replaces human quantitative researcher governance: LLMs excel at rapid prototyping and shallow bug fixes, while human oversight remains essential for critical strategies requiring solution diversity and ensemble robustness.",maybe,medium,"Trading-system benchmark embeds audit logs, drift detection, and mandatory human oversight requirements for LLM-generated code — governance mechanisms are structurally parallel to code review governance but domain translation from financial trading is required",maybe_queue
WXBIUBXG,AI certification: advancing ethical practice by reducing information asymmetries,"Certification offers a method to both incentivize adoption of these principles and substantiate that they have been implemented in practice. / Overall, certification can play a valuable mix in the portfolio of AI governance tools.",maybe,medium,"AI certification as an information-asymmetry-reducing governance tool is plausibly transferable to certifying AI code generation tools, but the abstract presents the general case without software-specific application",keep_queue
5T4I8VCK,The delegation dilemma:  why agentic AI requires organizational redesign,"This whitepaper argues that the central challenge of agentic AI adoption is organizational rather than technical. / By reframing agentic AI adoption as an organizational design problem, this paper explains why many initiatives stall after experimentation and clarifies / Organizational Redesign, Workflow Management, Agentic AI",maybe,medium,"Organizational redesign argument for agentic AI adoption with workflow management implications is plausibly applicable to software engineering organizations, but whitepaper format lacks empirical grounding to confirm operationalizability",keep_queue
R29ICVM3,AI and auditing,"This literature review examines how artificial intelligence (AI) is transforming the auditing profession by reshaping its methods, ethics, and / Furthermore, the review discusses how explainable AI and ethics-based auditing frameworks can ensure fairness and auditability in AI systems. / Artificial Intelligence, Auditing, Explainable AI, Audit Quality, Ethical Governance, Algorithm Aversion, Continuous Assurance",maybe,medium,"AI auditing framework covering algorithm aversion and continuous assurance has structural parallels to developer trust calibration in code review, but domain is accounting/financial auditing requiring translation",keep_queue
LW8L9PT2,The alignment fingerprint: RLHF conditioning creates universal compliance-stability tension detectable through behavioral profiling,"Artificial Intelligence, RLHF, AI, LLM, AI Alignment, language model evaluation, behavioral profiling, instruction compliance, belief stability, preference",maybe,medium,"Behavioral profiling approach for detecting RLHF compliance-stability tension could inform LLM monitoring in code review pipelines, but transferability from alignment research to software engineering governance requires argument not resolvable from the abstract.",keep_queue
I2T6JYHJ,"Who produces? AI, delegation, and the collapse of managerial boundaries","Recent advances in generative AI have made a broader AI-mediated reorganization of knowledge work newly visible. / In human organizations, execution may be delegated while accountability remains shared across recognized persons and roles. / AI-mediated work, generative AI, large language models, delegation, expertise, professions, infrastructure, accountability, software, STS",maybe,medium,"Delegation-accountability framework for AI-mediated work explicitly includes software in scope, but STS/sociological framing requires translation to engineering practice not resolvable from the abstract.",keep_queue
HRNE69MA,Large language models as products,"This Article argues that products liability law should govern LLMs. / Products liability law emerged as a tool to address the doctrinal shortcomings that allowed companies to escape liability for defective products / AI Governance, LLMs, Consumer Protection, Children and Technology, Products Liability, First Amendment, Torts, Generative AI, AI Psychosis",maybe,medium,"Products liability framework for LLMs could extend to liability for AI-generated code defects, but translation from consumer protection law to software engineering practice is required and not demonstrated in the abstract.",keep_queue
ZZLFGHQX,AI-assisted coding (vibe coding): the paradox of productivity as aesthetic homogenization,,maybe,low,"Title directly names vibe coding but abstract is absent, making it impossible to determine whether the paper presents governance or risk implications versus a purely aesthetic or definitional critique.",keep_queue
HY22ES2P,Algorithmic incompetence: forgotten diligence and the adolescence of power,"A comparative survey of governance models-the EU's risk based AI Act, Singapore's ""principal hierarchy"" for agentic AI, Japan's ""circuit breaker"" mechanism / The paper identifies the NIST AI RMF, ISO/IEC 42001 and ICGN Guidance on AI as operationally convergent parameters that render measurable obligations already / algorithmic governance, fiduciary duty, AI Act, board liability, duty of care, human oversight, corporate governance, NIST AI RMF, ICGN, Caremark doctrine",maybe,medium,"Identifies NIST AI RMF, ISO 42001, and Singapore agentic AI principal hierarchy as operationally convergent with measurable governance obligations, but primary framing around corporate board fiduciary duty makes direct software engineering team applicability uncertain",keep_queue
VPAPF53G,A scientific human-agent reproduction pipeline,"Reproducing scientific analyses is essential for preserving knowledge, building extensible codebases, and deepening researcher understanding - yet the effort often outweighs its academic recognition. We argue that the reproduction of scientific data analyses is fundamentally a translation task: converting human-readable knowledge (papers, documentation) into machine-readable analysis code. This makes it uniquely well-suited for AI agents. We present SHARP (Scientific Human-Agent Reproduction Pipeline), a structured framework for reproducing scientific analyses through human-agent collaboration. SHARP decomposes a reproduction task into discrete steps, which an AI agent executes autonomously using specialized subagents for code generation, testing, and quality assurance. At defined checkpoints, the researcher reviews progress, provides feedback, and steers the analysis - keeping the human firmly in control of scientific judgment while the agent handles implementation. We demonstrate SHARP by reproducing a jet classification task in particle physics from a published paper. We evaluate the reproduction along three axes: analysis performance against the original results, code quality and faithfulness, and the nature of the human-agent conversation. The latter is evaluated with a novel framework for characterizing human-agent interactions. Our work highlights a practical model for AI-assisted scientific reproduction where the researcher's role shifts from writing code to understanding, evaluating, and directing - elevating human understanding rather than replacing it.",maybe,medium,"SHARP human-agent collaboration framework for scientific code reproduction includes structured human oversight checkpoints potentially transferable to code review governance, but particle physics domain may require derivation to apply to general software engineering",keep_queue
KV3Q92R8,Adversarial artificial intelligence in industrial control systems: a consequence-oriented gap analysis of MITRE ATLAS,"ATLAS provides the leading public taxonomy for adversarial behaviors targeting AI systems; however, its structure remains primarily method centric and enterprise / Intelligence, Cyber Physical Systems, MITRE ATLAS, Operational Technology Security, Artificial Intelligence Governance, Critical Infrastructure Protection, AI / Risk Management",maybe,medium,"Consequence-oriented MITRE ATLAS gap analysis for adversarial AI in ICS could transfer to software AI risk governance, but ICS/OT domain specificity requires substantial derivation to apply to software engineering contexts",maybe_queue
2YXS7NDD,Generative AI in supply chain security: unseen threats and resilient solutions,"Generative artificial intelligence (AI) is reshaping supply chain security, providing innovative tools for risk management while introducing formidable new threats. This chapter dissects AI-generated phishing, deepfakes, malicious code, and data poisoning, revealing how attackers compromise workflows, finances, and strategic decisions. It also shows how organizations can adopt anomaly detection, zero-t rust architectures, and robust governance to block infiltration. Real-world scenarios illustrate the interplay of advanced tactics and effective defenses, emphasizing how staff training, multi-factor verification, and policy oversight curtail these threats. Generative AI can enhance resilience, but only if firms integrate secure AI pipelines and collaborate across the chain. Consequently, holistic planning and vigilant coordination among stakeholders are essential to ensure that AI-driven innovations bolster, rather than undermine, supply chain stability. © 2025 by IGI Global Scientific Publishing. All rights reserved.",maybe,medium,Covers AI-generated malicious code as supply chain threat with governance responses including anomaly detection and policy oversight — potentially transferable to software engineering but supply chain security management framing requires translation,maybe_queue
9K45FHAG,Human-in-command: governing agentic AI in customer service,"The rapid integration of autonomous and generative artificial intelligence into the customer service and support sector has fundamentally altered the relationship / As organizations shift from simple rule-based automation to semi-autonomous ""agentic"" AI, the requirement for effective human oversight has moved from / Artificial Intelligence Governance, Human-in-Command, Customer Service, EU AI Act, Cognitive Load, Human-Machine Teaming, Automation Bias, Agentic AI",maybe,medium,"Human oversight mechanisms (automation bias, cognitive load, EU AI Act) for agentic AI are structurally transferable to code review contexts but domain anchor is customer service",keep_queue
