item_key,decision,confidence,rationale,prior_decision,prior_confidence
VLY55FLI,discard,medium,"Provenance graphs track AI bias emergence generally — mechanism is about bias attribution across AI platforms, not code review or oversight scaling; translation to software governance would require substantial re-derivation of what 'bias' means in code context",maybe,medium
9B2RUW73,discard,medium,"HITL patterns (override, confidence gating) are relevant but domain is industrial root-cause diagnosis in manufacturing/operations; applying to software debugging governance requires substantial re-derivation not demonstrated in abstract",maybe,medium
82JCG2LM,keep,high,"Direct empirical finding: LLM-generated code for complex control systems requires human oversight and manual corrections to achieve working code — this is exactly the oversight signal software teams need; PLC domain is specialized but finding transfers directly",maybe,medium
24ZVGAAA,discard,low,"TLoD framework distributes risk management responsibility operationally, but application is to ethical AI risks in public sector adoption broadly — translation to code quality governance in software teams requires re-derivation the paper doesn't perform",maybe,medium
BT4UHCN5,keep,low,"Addresses intent-code misalignment in AI code generation with explicit HITL design — problem statement is exactly vibe coding's core challenge; methodology unclear from truncated abstract but concept warrants inclusion",maybe,low
GZ5SIYRL,discard,medium,"Versioned audit trail pattern targets agentic AI but domain is enterprise business rules governance, not software pipeline; abstract too truncated to confirm transferable mechanism exists",maybe,medium
QF8E45VG,discard,high,"Empty abstract — cannot evaluate operationalizability, relevance, or methodology; title suggests philosophical critique rather than actionable framework",discard,low
F4G9XXBR,keep,high,"Benchmark embeds mandatory audit logs, drift detection, anti-leakage checks, and explicit human oversight requirements for LLM-generated code; governance mechanisms are directly transferable regardless of trading domain application context",maybe,medium
WXBIUBXG,discard,medium,"Certification as governance tool is plausible but abstract presents general case only — no specific mechanism, no software application demonstrated; descriptive rather than operationalizable",maybe,medium
5T4I8VCK,discard,medium,"Whitepaper argues organizational challenge thesis but lacks empirical grounding or specific operational framework; 'explains why initiatives stall' is analysis, not actionable mechanism for software teams",maybe,medium
R29ICVM3,discard,medium,"Literature review in financial auditing domain; algorithm aversion parallels exist but paper synthesizes existing work rather than presenting transferable mechanism for code review contexts",maybe,medium
LW8L9PT2,discard,medium,"Behavioral profiling detects RLHF tension in model training — alignment research contribution without connection to code review governance or software engineering practice",maybe,medium
I2T6JYHJ,discard,medium,"Delegation-accountability framing includes software in scope but STS approach examines rather than operationalizes; no mechanism provided, conceptual analysis only",maybe,medium
HRNE69MA,discard,medium,"Products liability argument for LLMs is legal framework without demonstrated application to code — liability incentives are relevant to governance but paper doesn't provide operationalizable mechanism for software teams",maybe,medium
ZZLFGHQX,discard,low,"Title directly names vibe coding but empty abstract prevents assessment; 'aesthetic homogenization' suggests quality critique rather than governance framework — cannot confirm operationalizability",maybe,low
HY22ES2P,keep,medium,"Identifies NIST AI RMF, ISO 42001, Singapore principal hierarchy as operationally convergent with measurable governance obligations — these frameworks are directly applicable to software engineering organizations despite board liability framing",maybe,medium
VPAPF53G,keep,medium,"SHARP framework provides structured human oversight checkpoints for AI-generated code with evaluation along code quality and human-agent interaction axes — checkpoint mechanism transfers directly to code review governance",maybe,medium
KV3Q92R8,discard,medium,"MITRE ATLAS gap analysis is ICS/OT-specific; consequence-oriented approach could inform software AI risk but industrial control system security domain requires substantial re-derivation",maybe,medium
2YXS7NDD,discard,medium,"Covers AI-generated malicious code as adversarial threat with defensive responses — domain is supply chain security against external attackers, not governance of your own AI code generation",maybe,medium
9K45FHAG,keep,medium,"Human oversight mechanisms (automation bias, cognitive load, human-machine teaming) are structurally transferable to code review — the customer service domain application doesn't limit the mechanism's applicability to SE contexts",maybe,medium
