item_key,decision,confidence,rationale
22JBEZNK,keep,high,"Empirical study demonstrating that non-technical users systematically fail to detect critical errors in LLM-generated analyses provides operationalizable oversight failure signal directly applicable to AI code governance."
VYRFCCU8,keep,high,"Systematic benchmark comparison of five LLM adaptation strategies for vulnerability detection provides reproducible performance data directly operationalizable for selecting and evaluating AI security tooling in engineering organizations."
USKQ2MIS,discard,medium,"Ontology audit-stability framework addresses knowledge graph provenance in enterprise knowledge management, not AI-generated code governance or software engineering oversight."
2TCH3CHI,discard,high,"EU startup regulatory policy analysis covering AI Act carve-outs lacks any operationalizable mechanism for software engineering organizations managing AI-generated code at scale."
UVI9JUR6,discard,high,"Content authenticity and liability verification framework for generative AI media outputs is digital media domain with no software development or code governance angle."
6J57M74S,discard,high,"Policy instrument analysis for AI innovation diffusion offers macro-level governance theory without operationalizable mechanism for software engineering teams managing AI-generated code."
SZJ8RUAI,discard,medium,"GDPR DPIA framework for algorithmic accountability focuses on data protection compliance law rather than software engineering code governance, requiring substantial re-derivation to apply."
PA68SM3U,keep,high,"Multi-cycle research roadmap explicitly identifying governance, oversight, and quality challenges of GenAI-augmented SE processes is directly operationalizable for engineering organizations planning AI integration."
CWR8TLNN,discard,high,"EU regulatory sandbox analysis is policy/legal governance theory without operationalizable mechanism for software engineering organizations managing AI-generated code."
2SDBF78T,maybe,medium,"Multi-layered governance framework with HITL escalation protocols and immutable audit trails in digital banking context is potentially transferable to software engineering governance but the domain requires explicit argument."
R9J5U8IA,maybe,medium,"Unified account of AI sycophancy as institutional failure mechanism drawing on alignment literature and human factors research may inform trust calibration design for AI-assisted code review, but remains theoretical synthesis without operational implementation."
QCSDLD5F,discard,high,"EU AI Act critique applied exclusively to migration governance and border control secrecy with no software engineering, code development, or DevSecOps angle."
Y7IQAAGB,discard,high,"Process-based copyright framework for structural-rhythmic patterns in AI creative outputs addresses artistic expression rights with no code or software engineering governance angle."
VFJ8V2Z4,discard,high,"Artist opt-out from generative AI training data addresses creative content copyright and knowledge spillover economics with no software or code governance angle."
EPHPTBA2,keep,high,"Governance framework specifying execution authority, Zero Trust controls, and prompt injection mitigations for LLM agents in enterprise infrastructure is directly operationalizable for software engineering organizations deploying AI coding tools."
TZCU5SDD,discard,high,"California AI law analysis focused on algorithmic bias in financial and employment decisions addresses non-software high-risk AI systems without code generation governance angle."
GAD5Z8PV,keep,high,"Empirical multi-LLM arbitration framework rejecting 68% of harmful AI-generated code fixes with measurable 83–90% code surface reduction provides directly operationalizable governance mechanism for AI code review quality."
4VQFSP3M,discard,high,"ML/AI in banking for customer experience and risk management is domain-specific financial services content without transferable framework for software engineering code governance."
MNYMCZE7,discard,high,"AI-driven game safety oversight concerns in ARG/AR gaming domain have no structural parallel to software engineering code review governance."
2DGTDW4E,maybe,low,"High-level EU AI Act summary with no abstract available — relevant if software system compliance provisions such as Article 14 are addressed, but scope cannot be assessed from available metadata."
AF5MJ8TE,discard,medium,"HITL review for knowledge graph construction in virtual assistant context operates on a knowledge management loop that is not structurally parallel to software code review governance."
6PJFHPYD,discard,medium,"LLM security and privacy survey extends to ethical considerations but lacks an operational detection signal or governance mechanism beyond descriptive risk enumeration."
UHWNFLT2,maybe,medium,"Directly addresses vibe coding risks and impact on developer oversight capacity including junior developer skill erosion, but abstract suggests labor market and role-reshaping focus over actionable governance mechanisms."
3GWTRHQF,discard,high,"International AI agreement verification focused on unauthorized compute and data center detection is geopolitical governance with no structural transferability to software engineering code oversight."
5JJ3NA4D,discard,high,"Behavioral science ethics paper arguing against removal of human oversight from critical processes is philosophical advocacy without operational mechanism for software engineering teams."
F7RV34Q2,keep,high,"CoRe multi-agent LLM system empirically outperforms state-of-the-art code reviewer recommendation on four projects, directly addressing the reviewer assignment bottleneck in high-volume PR review pipelines."
6Z82ABMA,keep,high,"Empirical proficiency analysis of 5,027 AI-agent-generated Python files provides reproducible complexity distribution metrics that operationalize reviewer skill requirements and workload forecasting for AI code oversight."
V6E7B93A,keep,high,"CR-Bench identifies and quantifies the precision-recall frontier for AI code review agents, providing an operationalizable evaluation framework for managing false-positive burden in production code review workflows."
5GB3K5C2,keep,high,"TRACE governance-first execution framework with cryptographic decision provenance, formal policy-as-code, and NIST AI RMF alignment for autonomous AI agents is directly operationalizable for software engineering organizations."
EZVVZMPM,maybe,medium,"Evaluator Age framework repositioning enterprise roles around human evaluation of AI outputs may transfer to software engineering oversight scaling, but applicability depends on specificity of the governance and analytics models presented."
DTF5RBGY,discard,high,"Copyright analysis of AI stylistic similarity and replication in visual art domain has no software engineering or code generation governance angle."
7CC68X9N,discard,medium,"Board-level right-human-in-the-loop governance framework for corporate AI decision accountability requires substantial re-derivation to apply to software engineering team oversight contexts."
466PYXQJ,keep,high,"Empirical HITL evaluation of three LLM tools for code translation with quantitative precision and performance metrics across increasing complexity provides operationalizable methodology for governing AI-assisted code migration workflows."
9R6TGN82,keep,high,"REAL reinforcement learning framework using automated program analysis to enforce security and maintainability properties in LLM-generated code at scale is directly operationalizable for production code quality governance."
P7HEK487,maybe,medium,"Vericoding benchmark quantifying LLM success rates at formally verified code generation directly contrasts with vibe coding risk levels, but is primarily a benchmarking study without an accompanying governance or oversight mechanism."
5IZXVQS6,maybe,medium,"Randomized trial on automation bias and trust miscalibration in AI-assisted information evaluation could transfer to code review oversight design, but the information evaluation task domain requires explicit transferability argument."
9V6RGZ9G,maybe,medium,"Detailed EU AI Act legal analysis is relevant for software system compliance frameworks if Article 14 and software-specific provisions are substantively addressed, but abstract does not confirm this focus."
MIURMRB9,discard,low,"No abstract available; title suggests conceptual landscape overview of agentic AI that risks being definitional without operationalizable governance or oversight contribution."
7BWUI8XM,discard,medium,"EMERALD-RING AI integration framework for higher education institutions is domain-specific despite CMM reference, requiring substantial re-derivation for software engineering team governance contexts."
8D8HXT6V,discard,high,"Human-centric AI governance conceptual framework for digital HRM applies exclusively to HR management without software engineering or code generation governance angle."
N3SPZGKS,keep,high,"APILOT empirically reduces outdated and vulnerable API recommendations in LLM-generated code by 75% across 17 LLMs via real-time updatable datasets, providing a directly deployable security governance mechanism for AI coding tools."
SZKPQWCC,maybe,medium,"Cloud/IT governance framework positioning AI as decision-support with explicit human oversight accountability could transfer to software engineering governance, but the cloud infrastructure domain may require re-derivation."
MABPHXLK,keep,medium,"Empirical comparison of AI-generated unit test quality across Copilot, ChatGPT, and Tabnine against Test Pyramid criteria provides operationalizable quality benchmarks for governing AI-assisted testing, though the code oversight angle is secondary."
97VBHXLY,discard,high,"Scoping review of GenAI in organizational innovation processes focuses on idea generation productivity and contingent human capabilities rather than governance mechanisms or oversight of AI-generated software artifacts."
FRAWZXKR,discard,high,"Philosophical constitutional AI governance framework for ethical sovereignty and ASI transition offers no operationalizable contribution for software engineering organizations managing AI-generated code."
BRGMNF66,discard,medium,"Constitutional AI framework analysis applied to algorithmic adjudication in governance and legal decision contexts is not transferable to software engineering code oversight without substantial re-derivation."
ZPYV6BKW,discard,high,"Military AI integration governance framework grounded in international humanitarian law and Korean defense operations is domain-specific without transferable contribution to software engineering code governance."
XB3E32WK,discard,high,"AI defamation liability analysis under EU AI Act and US tort law addresses AI content output legal risk without software engineering or code generation angle."
TGUYRFIW,discard,medium,"Profile interview describing a legaltech company's HITL governance-by-design practice is an illustrative commercial example without an operational framework transferable to software engineering contexts."
4AHYLYB9,discard,high,"Algorithmic copyright enforcement accountability analysis for online intermediaries addresses content moderation governance with no software development or code generation angle."
