item_key,decision,confidence,rationale
PWFUMPEV,discard,high,"Focused on copyright law for creative AI outputs (TDM, transparency, content moderation) with no software code governance angle"
NM2DSLZ7,discard,high,"Organizational AI adoption paper on managerial critical thinking and deskilling risk without any risk measurement, oversight, or code governance mechanism"
2VYT4B7G,keep,high,"NIST AI RMF 1.0 is a foundational, use-case-agnostic risk management framework explicitly designed for organizations developing, deploying, or using AI systems including software"
QWHE9EXH,keep,high,"Proposes STELP, a secure transpiler and executor for LLM-generated code, directly filling the governance gap where traditional testing and human review are impractical at scale"
YN8I86TE,discard,high,"Domain-specific autonomous weapons regulation under international humanitarian law with no structural parallel to software code review governance"
5AV6595H,discard,high,"Domain-specific application of GenAI to banking risk measurement with no software/code governance angle"
MZF9GATE,discard,high,"LLM code generation capability paper for niche hardware description languages without governance, oversight, or risk measurement dimension"
A89Y4K9Q,discard,high,"AI crime and money laundering domain paper with no software engineering governance angle"
AB6AAWKZ,discard,medium,"Proposes ethics methods for enterprise AI (fairness, transparency, accountability) but abstract is too thin to confirm an operationalizable mechanism beyond general principles"
IJNY72YE,keep,medium,"Taxonomy explicitly classifies automated code generation as a distinct complexity tier with unique risk management requirements, providing an actionable phased governance roadmap for software organizations"
NIXZGTIB,discard,high,"Organizational AI adoption in L&D focused on change management and employee resistance without risk, oversight, or code governance mechanism"
56GRVSR7,maybe,medium,"Under/over-reliance patterns and trust calibration findings could transfer to AI-assisted code review, but the studied domain is qualitative research coding not software — transferability requires explicit argument"
TCMF6P4P,keep,high,"Directly addresses vibe coding governance: proposes TDD as an executable specification mechanism for controlling LLM code generation quality with test suite selection and reflection-based refinement workflows"
NV5QU9G2,keep,high,"Empirical study of autonomous coding agents authoring production GitHub PRs quantifies the security risks of agentic AI code at scale — directly operationalizable for organizational governance"
AL8AY8G8,discard,high,"EU copyright reform proposal for GenAI training and output licensing with no code or software governance angle"
X5Z3C6AR,discard,medium,"Enterprise AI implementation gap study drawing on Gartner/MIT data but abstract does not confirm operational mechanisms applicable to software/code governance specifically"
QE9HRGRC,discard,high,"EU court case analysis on copyright liability for GenAI outputs with no software code governance angle"
CN54R8RK,discard,medium,"Legal analysis of whether the EU AI Act's risk-based methodology is correctly calibrated — contribution is jurisprudential rather than operational and no software-specific content is confirmed in the abstract"
NS5XQGLV,discard,high,"Domain-specific financial markets AI regulation through IOSCO with no software/code governance angle"
