item_key,title,abstract,authors,year,item_type,sources,source_queue
K52KH2N7,Navigating the legislative dilemma: evaluating the EU AI act’s approach to regulating emerging technologies,"The AI Act employs a risk-based approach, categorising AI systems according to their potential societal risks and introducing a multifaceted regulatory / governance structure incorporating statutory, administrative, and outsourced legislative policy models.",Mauro Zamboni; Stanley Greenstein,2025,journalArticle,ssrn,keep_queue
GFXJD6X5,Autonomous LLM-driven research from data to human-verifiable research papers,"As AI promises to accelerate scientific discovery, it remains unclear whether fully AI-driven research is possible and whether it can adhere to key scientific values, such as transparency, traceability and verifiability. Mimicking human scientific practices, we built data-to-paper, an automation platform that guides interacting LLM agents through a complete stepwise research process, while programmatically back-tracing information flow and allowing human oversight and interactions. In autopilot mode, provided with annotated data alone, data-to-paper raised hypotheses, designed research plans, wrote and debugged analysis codes, generated and interpreted results, and created complete and information-traceable research papers. Even though research novelty was relatively limited, the process demonstrated autonomous generation of de novo quantitative insights from data. For simple research goals, a fully-autonomous cycle can create manuscripts which recapitulate peer-reviewed publications without major errors in about 80-90%, yet as goal complexity increases, human co-piloting becomes critical for assuring accuracy. Beyond the process itself, created manuscripts too are inherently verifiable, as information-tracing allows to programmatically chain results, methods and data. Our work thereby demonstrates a potential for AI-driven acceleration of scientific discovery while enhancing, rather than jeopardizing, traceability, transparency and verifiability.",Ifargan; Hafner; Kern; Alcalay; Kishony,2024,preprint,arxiv,maybe_queue
492FUJKR,Sifting through the slop: how generative AI created a market for lemons for text-based works,"As artificial intelligence becomes seemingly inescapable, its specific implications for copyright law remain to be fully explained and adjudicated. / Artificial intelligence, Copyright, Intellectual Property, Generative Technology, Human Authorship, Market for Lemons, Market Asymmetries, AI, Large Language",Jane Tullis,2025,journalArticle,ssrn,maybe_queue
HPHSE9NG,"Humans, automation, and workflow: seeking balance in service of art","Since the advent of 'workflow' during the Industrial Revolution, companies have been continually seeking to increase efficiency while reducing extraneous tasks or human interaction, including through automation. The media and entertainment (M&E) industry has followed a similar trajectory, accelerated most recently by the transition to digital. While automation is inherent to modern workflows, M&E relies on creativity and the subjectivity of art and therefore requires human intervention. Mitigating issues of algorithm bias, over-reliance on technology, and limited or flawed data inputs creating flawed outputs is vital in promoting healthy collaboration that allows elevated creativity.  © 2002 Society of Motion Picture and Television Engineers, Inc.",Chaet; List; McIntire,2021,journalArticle,,maybe_queue
A2TW9WDF,ChatGPT and generative AI: the new barbarians at the gate,"The integration of artificial intelligence (AI) in financial analysis is transforming the industry, enabling advanced data analysis, risk assessment, portfolio / regulatory considerations associated with AI adoption in financial analysis are also addressed, emphasizing the need for responsible AI usage and human oversight",David Krause,2023,journalArticle,ssrn,maybe_queue
UHM5YKR2,Copyright denied for generative AI: remarks on thaler v perlmutter,"Copyright Office denying the registration of copyright for a piece of AI-generated visual art. / The Court reached this conclusion considering the meaning of 'author' in the Copyright Act of 1976, the Copyright Clause in the United States Constitution / Generative AI, human authorship, copyright law, Copyright Clause, incentive theory",Saleh Al-Sharieh,2025,journalArticle,ssrn,maybe_queue
3L726FGD,"Pixels of power: deepfakes, regulatory uncertainty, and the path toward accountability In the EU’s AI framework","While the General Data Protection Regulation considers deepfakes as personal data requiring consent, the Artificial Intelligence Act (AI Act) classifies / This paper argues for reclassifying deepfakes as high-risk systems under the AI Act, which would prompt stricter transparency, oversight, and auditing / Deepfakes, AI Act, GDPR, Synthetic Media",Thi Ngoc Anh Nguyen; Tamar Navdarashvili,2026,journalArticle,ssrn,maybe_queue
9PT9JZD8,Artificial intelligence in capital markets: a legal scholar’s response to the IOSCO consultation report,"Building on my ongoing research, the letter addresses critical issues such as machine learning (ML), reinforcement learning (RL), agentic AI, market manipulation / It reflects on emerging market practices and argues for a forward-looking, risk-based regulatory framework. / Artificial Intelligence, Capital Markets, Reinforcement Learning, RegTech, Agentic AI, Market Supervision, Algorithmic Trading, Financial Regulation, AI / Governance, IOSCO",Alessio Azzutti,2025,journalArticle,ssrn,maybe_queue
TEDU68CQ,ECONOMICS OF AUTHORITY #7 an infrastructure for governing autonomous economic action,"of the wage channel, the concentration of capital into the energy-compute-hardware complex, the failure of traditional measurement, and the limits of governance / This paper describes the infrastructure layer that addresses what governance can address-the execution layer, where autonomous systems make binding economic / AI governance, autonomous systems, authority layer, AI accountability, enterprise AI, AI regulation, execution governance, machine speed economics",Kevin Fenske,2026,journalArticle,ssrn,maybe_queue
BZ9MF8AF,Beyond universal metrics: a global south-centered framework for ethical AI development,"We introduce ten foundational principles that address critical gaps in current AI governance: contextual fairness over universal metrics, transparent accountability / This work contributes to AI ethics literature by providing actionable guidance for organizations navigating rapid AI adoption while addressing systemic / AI Ethics, Algorithmic Fairness, Global South, Digital Colonialism, AI Governance, Epistemic Justice, Labor Rights, Contextual Fairness, Responsible Innovation",Abdullah X; Fiza Siddiqui,2025,journalArticle,ssrn,maybe_queue
HIG7TK9E,Trust-by-design in proactive E-commerce: human-in-the-loop mechanisms to mitigate automation distrust,"This study advances Trust-by-Design as a core architecture within proactive e-commerce systems, embedding human-in-the-loop (HITL) mechanisms to mitigate / automation distrust through UX protocols like draft-state management, explainable interfaces, and undo/rollback functions. / Trust-By-Design, Automation Distrust, Human-In-The-Loop, UX Protocols, Proactive E-Commerce, Explainable AI, Undo/Rollback, Draft-State Management, Trust / , Multi-Tenant Saas, Digital Transformation, Ethical AI, High-Risk Economies, User Agency, Interpretability, Adoption Metrics, Patent Novelty",Illia Kostenko,2025,journalArticle,ssrn,maybe_queue
G6B6Z2WY,"A cybernetic invariant across biological, digital, and organizational intelligence","The framework yields falsifiable predictions regarding system stability, modularity, and scaling behavior, with direct implications for AI / governance, enterprise control systems, and the design of resilient intelligent infrastructures. / Cybernetics, Intelligent Systems, Control Theory, Neural Dynamics, Transformer Models, Organizational Intelligence, Adaptive Systems, Viable Systems, AI / Governance",Tommy Scillian,2026,journalArticle,ssrn,maybe_queue
Q6SVKUCU,Nondeterministic torts: a technical approach to AI liability,"But modern artificial intelligence (AI) systems, specifically large language models (LLMs) and other types of “generative AI” (GenAI), challenge this assumption / Even as AI applications spread rapidly, liability for AI systems gone awry remains an open question. / tort law, negligence, product liability, artificial intelligence, AI, LLMs, large language models, emerging technology",Trent Kannegieter,2025,journalArticle,ssrn,keep_queue
5Q4G4CQB,AI-driven continuous integration: automating code review and deployment with LLMs,"The integration of a Large Language Models (LLMs) into Continuous Integration (CI) pipelines greatly enhances the efficiency of the software development process. AI-based CI improves code quality by decreasing integration failure rates by 30 % and deployment time by 40 %. These models help in identifying bugs, enforcing coding standards, writing unit tests, and optimizing release management. But AIdriven CI comes with risks of security vulnerabilities, model bias and the need for human supervision. This paper uses case studies, surveys, and interviews to explore the effects of AI on CI/CD pipelines and identifies the pros and cons. The results of this search show that the use of AI in CI improves effectiveness, but it needs better oversight to avoid risks and improve model performance.",D. O. Salem; Y. Alahmed; R. Fnich; M. Mazroub; M. Fnich,2025,conferencePaper,ieee|scopus|wos,keep_queue
XDSFAFAS,Artificial intelligence and the development of business models in the gaming industry – case study,"Ubisoft utilizes generative AI (Ghostwriter, NEO NPC) for NPC dialogue automation and dynamic interactions while preserving creator control, optimizing / CD Projekt avoids generative AI in core projects (e.g., The Witcher 4) due to legal/content quality risks, limiting AI to supportive roles (testing, voice",Beata Barczak; Kamila Kwiatkowska,2025,journalArticle,ssrn,maybe_queue
