item_key,title,abstract,authors,year,item_type,sources,source_queue
ZDQYQ7H7,"The 3C model of AI-driven accountability transitions: chance, choice, and change","This paper introduces the 3C Model of AI-Driven Accountability Transitions, a theoretical framework explaining how AI adoption unfolds through shifts in / By reframing AI diffusion as an accountability transition problem, the 3C model provides an analytical bridge between AI governance, techno-economic modeling / AI-Driven Institutional Transitions, Risk-Triggered Adoption Dynamics, Accountability Reallocation",Songhee Kang,2026,journalArticle,ssrn,keep_queue
IAIRLRU4,": AI and the rule of law, separation of powers, and individual rights",This thought experiment examines a potential post-democratic period when AI overtakes the decision-making roles once held by government / The exercise is meant to raise issues that are likely solvable by adding a human in the loop as it relates to government activities.,DeBrae Kennedy-Mayo; Jake Gord,2025,journalArticle,ssrn,maybe_queue
D3ZU22JC,A survey on code generation with LLM-based agents,"Code generation agents powered by large language models (LLMs) are revolutionizing the software development paradigm. Distinct from previous code generation techniques, code generation agents are characterized by three core features. 1) Autonomy: the ability to independently manage the entire workflow, from task decomposition to coding and debugging. 2) Expanded task scope: capabilities that extend beyond generating code snippets to encompass the full software development lifecycle (SDLC). 3) Enhancement of engineering practicality: a shift in research emphasis from algorithmic innovation toward practical engineering challenges, such as system reliability, process management, and tool integration. This domain has recently witnessed rapid development and an explosion in research, demonstrating significant application potential. This paper presents a systematic survey of the field of LLM-based code generation agents. We trace the technology's developmental trajectory from its inception and systematically categorize its core techniques, including both single-agent and multi-agent architectures. Furthermore, this survey details the applications of LLM-based agents across the full SDLC, summarizes mainstream evaluation benchmarks and metrics, and catalogs representative tools. Finally, by analyzing the primary challenges, we identify and propose several foundational, long-term research directions for the future work of the field.",Dong; Jiang; Qian; Wang; Zhang,2025,preprint,coursework,keep_queue
79668974,Cognitive sovereignty: on the ownership of human judgment in the age of autonomous AI,"cognitive sovereignty, AI alignment, data ownership, human judgment, cognitive assets, provenance, AI ethics",Andres L.,2026,journalArticle,ssrn,keep_queue
H9UCNZ8H,Leveraging artificial intelligence in microfinance in the global south: regulatory insights into AI-based credit underwriting,"Against this backdrop, this essay explores the integration of artificial intelligence (AI) into microfinance in the Global South, focusing on the use of / These principles include: respect for human rights, fairness, transparency, explainability, meaningful human oversight, privacy protection, and institutional / microfinance, credit, creditscoring, creditunderwriting, artificial intelligence, financial inclusion, global south, digital literacy",Ruth Plato-Shinar,2025,journalArticle,ssrn,maybe_queue
D9AGX3KW,BeautyGuard: designing a multi-agent roundtable system for proactive beauty tech compliance through stakeholder collaboration,"As generative AI enters enterprise workflows, ensuring compliance with legal, ethical, and reputational standards becomes a pressing challenge. In beauty tech, where biometric and personal data are central, traditional reviews are often manual, fragmented, and reactive. To examine these challenges, we conducted a formative study with six experts (four IT managers, two legal managers) at a multinational beauty company. The study revealed pain points in rule checking, precedent use, and the lack of proactive guidance. Motivated by these findings, we designed a multi-agent ""roundtable"" system powered by a large language model. The system assigns role-specialized agents for legal interpretation, checklist review, precedent search, and risk mitigation, synthesizing their perspectives into structured compliance advice. We evaluated the prototype with the same experts using System Usability Scale (SUS), The Official NASA Task Load Index (NASA-TLX), and interviews. Results show exceptional usability (SUS: 77.5/100) and minimal cognitive workload, with three key findings: (1) multi-agent systems can preserve tacit knowledge in standardized workflows, (2) information augmentation achieves higher acceptance than decision automation, and (3) successful enterprise AI should mirror organizational structures. This work contributes design principles for human-AI collaboration in compliance review, with broader implications for regulated industries beyond beauty tech.",Li; Wang; Mao; Ni; Xiong,May ,conferencePaper,acm,maybe_queue
HC65I6I8,Regulatory challenges of AI governance in the era of ChatGPT overview,"regulation, addressing the critical challenges that lie ahead, and exploring potential policy directions. / Emphasising transparency, human oversight, and explainability, it advocates for a risk-based approach to regulation. / AI Governance, Large Language Models (LLMs), ChatGPT, Regulatory Challenges",Md. Toriqul Islam,2025,journalArticle,ssrn,keep_queue
CDIM7HIC,Ethical dilemmas in AI: generative models in finance and healthcare,"promise enhanced decision-making, predictive insights, and automation, they raise pressing concerns about fairness, bias, data privacy, transparency, and accountability / Generative AI, Ethics, Financial Technology, Healthcare AI, Bias in Algorithms, Data Privacy, Responsible AI, Algorithmic Accountability, Fairness in AI",Meccy Joy; SRINIVASAN VENKATARAMANAN; Sai Manoj Yellepeddi; Ajay Aakula; Venkata Sri Manoj Bonam,2025,journalArticle,ssrn,maybe_queue
YMXUXDFK,Detection of vulnerabilities in AI-generated java code using random forest algorithm,"The swift integration of AI-powered tools for code generation is transforming the software development process, yielding substantial productivity benefits. Nevertheless, the security of code produced by these Large Language Models (LLMs) poses a significant and escalating risk. This paper introduces a thorough machine learning framework for identifying vulnerabilities within AI-generated Java code. We assemble a balanced dataset comprising vulnerable code snippets and their corrected counterparts to train and assess five classical machine learning classifiers: Random Forest, Logistic Regression, Linear SVM, Decision Tree, and Naive Bayes. Our methodology outlines the complete workflow, covering data preparation, feature engineering with Term Frequency-Inverse Document Frequency (TF-IDF), and methodical hyperparameter optimization. The experimental outcomes confirm the high effectiveness of our strategy, with the Random Forest model showing top-tier performance, achieving 95% accuracy and an Area Under the ROC Curve (AUC) of 0.97. Further analysis of the model includes feature importance, statistical significance testing, a case study, and a review of validity threats. Our research indicates that classical ML models provide a potent and interpretable baseline for detecting common security flaws, offering a viable path for integration into developer workflows to fortify the AI-assisted software development lifecycle.",S. S. Kumakale; A. A; V. S. Badiger; Sheetal; A. D. Jacintha,2026,conferencePaper,ieee,keep_queue
5S7P2A72,KubeIntellect: a modular LLM-orchestrated agent framework for end-to-end kubernetes management,"Kubernetes has become the foundation of modern cloud-native infrastructure, yet its management remains complex and fragmented. Administrators must navigate a vast API surface, manage heterogeneous workloads, and coordinate tasks across disconnected tools - often requiring precise commands, YAML configuration, and contextual expertise. This paper presents KubeIntellect, a Large Language Model (LLM)-powered system for intelligent, end-to-end Kubernetes control. Unlike existing tools that focus on observability or static automation, KubeIntellect supports natural language interaction across the full spectrum of Kubernetes API operations, including read, write, delete, exec, access control, lifecycle, and advanced verbs. The system uses modular agents aligned with functional domains (e.g., logs, metrics, RBAC), orchestrated by a supervisor that interprets user queries, maintains workflow memory, invokes reusable tools, or synthesizes new ones via a secure Code Generator Agent. KubeIntellect integrates memory checkpoints, human-in-the-loop clarification, and dynamic task sequencing into a structured orchestration framework. Evaluation results show a 93% tool synthesis success rate and 100% reliability across 200 natural language queries, demonstrating the system's ability to operate efficiently under diverse workloads. An automated demo environment is provided on Azure, with additional support for local testing via kind. This work introduces a new class of interpretable, extensible, and LLM-driven systems for managing complex infrastructure.",Ardebili; Bartolini,2025,preprint,arxiv,maybe_queue
F5HDRVMQ,Copyright's jagged frontier,"The concept emerges from an unlikely source: the ongoing litigation over whether and when training generative AI models on copyrighted works constitutes / conduct will be jagged rather than smooth: the same computational process applied to a music model and a text model can produce dramatically different copyright / generative AI, copyright, fair use, memorization, filtering, licensing, Coase, Content ID, secondary liability, volition, filtering, monitoring",Matthew Sag,2026,journalArticle,ssrn,maybe_queue
YNZC2G4H,Can the use of images for training generative AI be considered fair use?,"English Abstract: This paper explores the copyright implications of training generative AI models on protected images, / Unlike previous technologies (e.g., in the Sony case) that opened new markets without eliminating the old, generative AI threatens to replace human / Generative AI, Copyright, Fair Use, Image Generation, Transformative Use, Intellectual Property, Fair Use, Differential Regulation, Market Failure, Midjourney / , Generative AI, AI",David Spivak,2026,journalArticle,ssrn,maybe_queue
