item_key,decision,confidence,rationale
8QS39I9Q,discard,high,"Conceptual institutional lag model with illustrative cases offers no operationalizable mechanism for software engineering organizations managing AI-generated code."
BMHS9L9D,discard,high,"Organizational readiness diagnostic tool is specific to financial fraud detection units and requires substantial domain re-derivation before a software engineering team could apply it."
DJ99N4TK,discard,high,"International AI treaty and EU AI Act comparison is a legal governance analysis with no software development or code lifecycle angle."
6AK8UNWG,discard,high,"Citizen survey on AI regulation support produces no actionable measurement or governance mechanism for software engineering organizations managing AI code."
5F2578DV,discard,high,"Algorithmic accountability framework is grounded in judicial adjudication and due process with no transferable mechanism to software code governance."
GK6VHPE8,discard,high,"Defence AI integration ontology is domain-specific to military command authority with no structural parallel to software code governance."
JFJ7L6JT,discard,high,"Laboratory safety HITL review addresses physical industrial hazards with no transferable mechanism to software code review governance."
3IUGMNQS,discard,high,"Copyright conflict-of-laws analysis focuses on creative AI outputs and generative content with no code-specific or software governance angle."
SBDG9GED,discard,high,"AI adoption trust study in accounting uses UTAUT to model user acceptance rather than providing an operationalizable oversight mechanism for software engineering teams."
ZTAQZTUA,discard,high,"Corporate finance AI governance paper addresses financial decision-making and CSR with no software development or code engineering angle."
XJAXB98T,keep,high,"Empirical multi-stage analysis of 67 OSS projects derives 12 GenAI governance strategies addressing review capacity, accountability, code provenance, and verification — directly operationalizable for software engineering organizations."
XK5IZ5JR,discard,high,"Online speech governance paper uses algorithmic accountability framing for content moderation with no software development or code governance angle."
J998BUDB,maybe,medium,"Large-scale simulation measuring epistemic autonomy and HITL scaling thresholds in data governance is structurally parallel to code review oversight scaling, but requires domain re-derivation from data entity-resolution to code review contexts."
5PW4JVKW,discard,high,"IP rights framework for generative AI addresses creative knowledge economy outputs without a software code governance or code liability angle."
SSMKBT8K,discard,high,"Historical nuclear governance lessons applied to AI regulation operate at the international policy level with no software organization or code governance angle."
NMERS7YW,discard,high,"China's iterative AI regulatory policy analysis is national governance with no software engineering organization or code lifecycle angle."
DUBFF52U,maybe,medium,"Quantitative tiered liability model with developer culpability and AI explainability indices is structurally applicable to software AI governance, but operationalization requires substantial re-derivation from the clinical decision support domain."
V4EEV4PB,maybe,medium,"Structured prompt governance framework evaluated for LLM accuracy and hallucination reduction is structurally transferable to code generation quality management, but the evaluation domain (insurance and investment tasks) limits direct adoption."
GDICHQTG,discard,high,"GDPR data sovereignty compliance framework addresses cross-border data protection without a software development pipeline or code governance angle."
C2K75UGE,keep,high,"Empirical causal loop model of automation reliance driving skill erosion and oversight capacity degradation in accounting provides a directly applicable governance risk model for software teams relying on AI-generated code."
7EPMUQ96,discard,high,"Rights-based algorithmic accountability framework grounded in PDPL and Islamic bioethical principles has no software development or code engineering governance angle."
E26FSKPQ,maybe,medium,"Dynamic authority management and decay framework for agentic AI with EU AI Act continuous HITL requirements is structurally applicable to AI coding agent governance, but the legal/cyber law framing requires re-derivation for engineering practice."
GMU2V4QQ,keep,high,"Empirical analysis identifying which ESLint information components and interactions maximize LLM repair performance provides operationalizable signal optimization guidance for integrating static analysis into AI code quality workflows."
CRJIUH6M,discard,high,"Legal and rhetorical framing of GenAI court precedents in IP and evidence law provides no operationalizable mechanism for software engineering organizations."
9CFLGIWV,discard,high,"EU competition law and press publisher copyright analysis has no software development or code governance angle."
YR75LWYL,discard,high,"International corporate and financial law EU regulatory comparison has no software engineering or code governance angle."
V8N5M6B9,discard,medium,"Legal AI transparency paper mentions HITL as a conceptual approach but presents no operationalizable mechanism for software engineering organizations to implement oversight."
DKH7IT48,discard,high,"Copyright analysis of AI training dataset legality addresses data collection practices without a software development governance or code-specific angle."
9IE59LB8,discard,high,"AI resiliency hierarchy focused on network and infrastructure protection layers has no software development pipeline or code governance angle."
WRXR2VTP,keep,high,"Proposes VibeContract paradigm decomposing LLM-generated code into explicit contracts with traceability and runtime verification, directly operationalizing quality assurance governance for vibe coding workflows."
MFD43FCQ,discard,high,"IP infringement and market disruption analysis focuses on creative AI content with no software development governance or code-specific angle."
Z4A98575,maybe,medium,"EU AI Act fine-tuning compliance and liability framework directly addresses when a modifying entity becomes a GPAI provider, relevant for software organizations deploying fine-tuned coding models, but primarily written for legal/policy audiences rather than engineering teams."
P837LJWE,keep,high,"Industrial case study of HITL-governed LLM code migration with quantitative outcomes (50% cycle compression, 67% anomaly reduction, 57% latency reduction) provides a directly replicable human validation framework for AI-generated code."
T2M45G5W,discard,high,"Visual prompt engineering study focuses on creative design collaboration with no software development or code governance angle."
I57K5QRB,discard,high,"Democratic political steering framework for AI governance argues for societal-level regulation with no operationalizable mechanism for software engineering organizations."
