item_key,bin,centrality,reason_code,rationale,title
GPL5G889,context,40,,Foundational theory on automation bias and human-in-the-loop interaction levels that plausibly transfers to AI code oversight.,A model for types and levels of human interaction with automation
49IHA2L9,core,75,,Provides a structured threat-modeling framework for evaluating the security of AI-based coding tools in organizational settings.,How secure is AI-based coding?: a security analysis using STRIDE and data flow diagrams
PG2GXVY8,core,85,,Empirical eye-tracking study demonstrating developer automation bias and reduced visual inspection of LLM-generated code.,How readable is model-generated code? Examining readability and visual inspection of GitHub copilot
PAZT6K56,discard,15,out-of-scope,Purely an LLM capability benchmark evaluating code safety with no focus on human oversight or organizational governance.,"Deploy, but verify: analysing LLM generated code safety"
ZP7AKMBR,core,75,,Multi-case study detailing how generative AI impacts software security practices and introduces sociotechnical risks requiring organizational governance.,Investigating generative AI’s impact on software organizations’ security practices: a multi-case study using gioia methodology
BKSNXFDK,context,35,,Abstract is thin but indicates relevance to AI risk scorecards and continuous compliance governance frameworks.,"Regulatory compliance made easier with AI risk scor the dual imperative in RegTech: leveraging AI-driven risk scorecards for continuous compliance, operational efficiency, and establishing governance frameworks for explainability and ethical accountability"
7B87ZZY9,discard,20,out-of-scope,"Focuses solely on the capability of LLMs to fix maintainability issues, lacking an oversight or governance perspective.",Evaluating the effectiveness of LLMs in fixing maintainability issues in real-world projects
WZSG4ZIT,context,38,,"Thin abstract noting structural limits of explainability and auditability in AI governance, which may transfer to code oversight.",Why probabilistic AI resists auditability: from explainability to verifiable responsibility in high-risk AI systems
NHSTF6EL,discard,15,out-of-scope,Empirical evaluation of code smells in AI training datasets and outputs without addressing human oversight mechanisms.,An empirical study of code smells in transformer-based code generation techniques
JS58YQWN,context,37,,Thin abstract proposing a formal runtime AI governance and human-in-the-loop framework.,Computable trust architecture: a formal framework for runtime AI governance
TW9IB9DE,context,36,,Thin abstract discussing the quantification of enterprise AI risk and regulatory compliance.,The AI governance gap: quantifying enterprise AI risk through the janus protocol
ZX8V7UJS,context,45,,"Examines LLMs in automated root cause analysis, demonstrating that human oversight remains essential despite automation capabilities.",AIOps for reliability: evaluating large language models for automated root cause analysis in chaos engineering
6TZHUCMD,core,70,,Proposes an operationalizable enterprise security guardrail to prevent sensitive source code from leaking to public LLMs.,Source code guardrail: AI driven solution to distinguish critical vs. Generic code for enterprise LLM security
5NY5HVNV,core,95,,"Investigates how LLM-assisted code reviews disrupt traditional accountability mechanisms, directly addressing oversight in software engineering.",Accountability in code review: the role of intrinsic drivers&nbsp;and the impact of LLMs
SDIMSRMI,discard,25,out-of-scope,Proposes metrics for evaluating LLM-generated unit tests but lacks a focus on human review or organizational governance.,An evaluation framework for software unit tests generated by large language models
54383TI5,discard,28,out-of-scope,Presents a conceptual digital twin for software development with minimal emphasis on the governance of AI-generated code.,Code digital twin: empowering LLMs with tacit knowledge for complex software development
WRXR2VTP,core,95,,Introduces a novel quality assurance paradigm to explicitly guide and verify AI-generated code through task-level contracts.,VibeContract: the missing quality assurance piece in vibe coding
VCI7FSVP,context,38,,Thin abstract covering governance-by-design and compiling EU AI Act duties into computable clauses.,Governance-by-design for AI compliance: compiling EU AI act duties into computable operating-agreement clauses
TF2C996H,context,39,,"Thin abstract proposing a scalable human-in-the-loop annotation system via selective review, offering transferable insights for oversight volume.",Human-efficient annotation system via active semi supervised learning and selective review
NZXY7X7U,context,35,,Thin abstract discussing AI governance and pre-execution control in a broader non-software context.,Construction safety management and AI governance: a structural correlation and the case for pre-execution control
JCAQ3AHU,context,35,,Thin abstract focused on practical use of AI assessment catalogues for European AI Act compliance.,AI certification and assessment catalogues: practical use and challenges in the context of the European AI act
82N4MFN7,context,50,,"Presents a situation awareness perspective on human-agent collaboration, relevant to automation bias and over-reliance.",A situation awareness perspective on human-agent collaboration: tensions and opportunities
S7BJA4RD,core,90,,Empirically documents the validation burden and developer experience of verifying output from AI coding assistants in an enterprise setting.,AI-assisted collaboration: exploring developer experience with GitHub copilot and windsurf
S57GJ9VD,discard,25,out-of-scope,Thin abstract focused on using AI to draft compliance documentation rather than governance of AI-generated code.,Simplifying software compliance: AI technologies in drafting technical documentation for the AI act
4AXDVW7J,core,85,,Proposes an interaction-time governance roadmap for ethical prompt engineering and auditable AI toolchain integration in software engineering.,Ethical prompt engineering for AI-driven SE: evidence-informed interaction-time governance roadmap to 2030
