item_key,bin,centrality,reason_code,rationale,title
PQ9JED2I,context,35,,"Abstract is too thin to judge fully, but mentions AI code risks and regulatory mitigation frameworks.","Risks of AI-driven vulnerability identification, exploitation, and code exposure"
C67AT7ZP,discard,28,out-of-scope,"Abstract is too thin to judge fully, but appears focused on general AI compliance and financial risks rather than software-specific oversight.","The hidden cost of AI compliance: why ""build fast, fix later"" can become a financial catastrophe"
GQ5E7RPF,discard,10,out-of-scope,"Focuses on a blockchain-based framework, which is a known out-of-scope false positive class.","Blockchain and AI framework for provenance, semantics, and compliance"
3QUL87JY,context,38,,"Abstract is too thin to judge fully, but addresses governance for agentic AI executing actions in enterprise settings.","Responsible AI In the agentic world governance for AI that acts, not just answers"
NVE5885K,discard,20,wrong-type,Appears to be a descriptive web article or opinion piece lacking a concrete framework or empirical evidence.,"Vibe coding: don't kill the vibe, govern it"
LAKYKVTB,context,45,,"Provides an empirical framework for code generation risks like data leakage, contextually relevant to governance even without a direct oversight focus.",Malicious and unintentional disclosure risks in large language models for code generation
76DYS6RI,core,80,,"Directly provides empirical findings on how software professionals practically manage, oversee, and perceive risks of AI-generated code.",Model-assisted and human-guided: perceptions and practices of software professionals using LLMs for coding
FYU7H5WR,core,75,,"Examines long-term impacts and hidden costs of AI-assisted coding using a simulation model, directly addressing the scaling and quality aspects of oversight.",Beyond productivity: evaluating the hidden costs of generative AI in software development
N3WU6PFG,context,45,,"Measures AI-generated code quality through code smells, providing transferable evidence for the need for oversight without a specific governance framework.",Investigating the smells of LLM generated Code1
FCSXBE4I,context,38,,"Abstract is too thin to judge fully, but proposes a capability maturity and governance framework for AI agent deployment.",Agent reliability maturity model (ARMM) a capabiility framework for production-ready AI agent deployment - moving from 'can we build it' to 'are we ready to run it'
TCMF6P4P,discard,25,out-of-scope,"Focuses purely on improving LLM code generation capabilities through automated testing, lacking an organizational governance or human oversight angle.",TENET: leveraging tests beyond validation for code generation
PZI2IMW6,context,60,,"Offers a concrete assessment framework for agentic systems deployed in production, providing transferable methodologies for evaluating autonomous coding agents.",Beyond task completion: an assessment framework for evaluating agentic AI systems
UIXCRBQX,core,85,,Provides direct empirical findings on the specific risks of AI-generated pull requests and explicitly identifies areas requiring targeted human review.,"Safer builders, risky maintainers: a comparative study of breaking changes in human vs agentic PRs"
RQI8NXJL,context,40,,"Abstract is too thin to judge fully, but explicitly mentions enterprise governance and audit frameworks for code agent teams like Cursor.","Identity-aware governance for autonomous AI agents: a framework for enterprise authorization, delegation, and audit"
R9CDT9KB,core,90,,Directly proposes an operationalizable framework for scalable human-in-the-loop oversight by intelligently routing tasks to human review based on AI confidence.,Trust-calibrated multi-stage large language model pipeline for vulnerability assessment in DevSecOps workflows
A8FT9SZP,context,35,,"Abstract is too thin to judge fully, but maps organizational prerequisites for AI agency across governance and infrastructure.",From autonomy to agency: a 10-level framework for AI's evolution and organisational readiness
7GE63LDE,core,75,,Highlights empirical limitations of automated validation for AI-generated code and the specific need for human-in-the-loop oversight to catch nuanced hallucinations.,Repairing infrastructure-as-code using large language models
B56YY529,context,55,,"Focuses on AI accountability and oversight in low-code platforms, providing transferable hybrid governance concepts.",Algorithmic accountability of low-code/No-code artificial intelligence: a literature review
KWD6CKFR,context,38,,"Abstract is too thin to judge fully, but discusses the structural governance shift needed for agentic AI executing actions.",From monitoring to authorization: the structural shift emerging in agentic AI governance
6VDFSHZW,context,30,,"Abstract is too thin to judge fully, but highlights the need for ongoing post-release evaluation and oversight for generative AI systems.",Beyond algorithmic disclosure for AI
VZN9KJ7H,core,85,,Proposes a concrete technical framework designed to ground and scale human review and AI self-correction of AI-generated code security.,Compile-time security analysis and optimization of sensitive string producers
EPHPTBA2,context,38,,"Abstract is too thin to judge fully, but discusses a protocol-mediated execution governance framework for LLM agent systems.",Protocol-mediated execution governance for LLM agent systems
4F5PX7PE,context,65,,"While outside the software domain, it provides methodologically strong and transferable empirical evidence on automation bias and human-in-the-loop oversight.",Decision-making with human-in-the-loop: a field experiment of explained AI in public administration
QLMUYYQ3,context,60,,"Explores using LLMs to generate risk explanations to assist human code reviewers, offering a transferable mechanism for scaling the oversight process itself.",Explaining code risk in OSS: towards LLM-generated fault prediction interpretations
PFC45HM7,context,32,,"Abstract is too thin to judge fully, but discusses auditing frameworks for generative AI models and applications.",A blueprint for auditing generative AI
