item_key,bin,centrality,reason_code,rationale,title
SWUDMFQ4,discard,20,out-of-scope,This is a broad survey on developer productivity and perceptions of AI without actionable findings on scalable oversight mechanisms.,An insight into the impact of generative artificial intelligence tools on software development practices
BPL78SWJ,discard,10,out-of-scope,"This paper focuses on algorithmic bias and compliance in employment decisions, which is unrelated to the governance of AI-generated code.",Deterministic bias detection for NYC local law 144: why reproducibility matters more than accuracy a technical framework for compliance-grade AI auditing
9D9QSWGZ,core,95,,This study directly investigates how human reviewers interact with and oversee AI-generated pull requests in real-world agentic workflows.,These aren't the reviews you're looking for how humans review AI-generated pull requests
8L2G3J4Q,context,50,,"This research explores using LLMs to enhance static analysis for vulnerability detection, offering an automated mechanism relevant to scaling code review.",♪ with a little help from my (LLM) friends: enhancing static analysis with LLMs to detect software vulnerabilities
P868GNU7,core,85,,This paper provides empirical data on the acceptance rates and necessary human revisions for pull requests generated by autonomous coding agents.,On the use of agentic coding: an empirical study of pull requests on GitHub
M964K4XX,context,35,,"The abstract is too thin to fully judge, but it indicates a focus on general AI governance frameworks that may transfer to AI-generated code.","Comparative analysis of AI governance, assurance, and administrative oversight NIST AI RMF 1.0, ISO/IEC 42001, SOC 2, OMB memoranda M-24-10 and M-25-21, and U.S. copyright office guidance"
TNLQ857W,core,80,,This proposes an actionable governance and authorization framework specifically designed to constrain autonomous AI coding agents.,Toward agentic IAM: a probabilistic authorization framework for least privilege AI workflows
XQ2858YZ,discard,10,too-old,"The abstract is thin and the paper predates modern generative AI coding workflows, focusing instead on general machine learning procurement.",Algorithmic transparency and decision-making accountability: thoughts for buying machine learning algorithms
VZ9H37V5,core,95,,"This directly explores practical vibe coding, highlighting the necessary shift towards constraint specification and architectural oversight for AI-generated code.",Context before code: an experience report on vibe coding in practice
WBS9U5N7,context,35,,"The abstract is very thin and truncated, but suggests findings on the limitations of evaluating AI-generated code against specification gaming.",Cognitive camouflage: specification gaming in LLM-generated code evades holistic evaluation but not adversarial execution
4VXJUF5I,context,60,,This outlines a broader enterprise governance model for generative AI that explicitly includes software development and human-in-the-loop operational layers.,From tokens to tactics: operationalizing generative AI in enterprise workflows
VYRHTLLM,context,65,,"This offers transferable empirical insights into automation bias and human overreliance on AI, which is central to the efficacy of human code review.",Turning off your better judgment -algorithmic conformity in AI-human collaboration
C4DWC33F,core,75,,"This research models developer trust in generative AI coding tools, addressing the human factors that directly impact the rigor of AI code oversight.",What guides our choices? Modeling developers' trust and behavioral intentions towards genai
GD3RMX4R,core,70,,This details specific architectural patterns to facilitate human oversight and error resilience in LLM-assisted modeling and code generation.,On integrating resilience and human oversight into LLM-assisted modeling workflows for digital twins
YBHHYR4P,core,90,,This empirically demonstrates the risks of developer overtrust in AI coding assistants and how critical engagement is required for secure code generation.,Do users write more insecure code with AI assistants?
ETHYCZEC,core,85,,"This analyzes pull request acceptance rates and failure modes for autonomous coding agents, providing data on how AI contributions fare under human oversight.",Different by design: understanding human-AI collaboration through GitHub pull requests
VFZXPDJX,context,55,,"This proposes a framework for augmenting human code inspection, which is conceptually transferable to the challenge of scaling human oversight.",Enhancing human-machine pair inspection with risk number and code inspection diagram
6SILTI7B,context,35,,"The abstract is very thin but suggests a practitioner-focused AI governance playbook translating to engineering, which may hold transferable insights.",Responsible AI: a practitioner playbook for trustworthy AI governance
7V7SRG43,context,65,,"This explores LLM-as-judge multi-agent systems for automating code review, representing a key technical approach to scaling oversight for large code volumes.",CodeAgent: autonomous communicative agents for code review
UDT3AA4A,core,85,,"This comprehensively surveys the risks of LLM-based software development, explicitly calling out developer over-reliance and the necessity of governance.",A survey on the role of LLMs in AI-based software development: augmentation and latent risks
QK577S3K,discard,15,out-of-scope,"The abstract is thin and explicitly focuses on blockchain-based AI verification, which is an excluded false-positive domain for this review.",Verifiable AI: the strategic imperative for trustworthy artificial intelligence a technical and business analysis of blockchain-based AI verification
DG6LWQJU,context,60,,"This presents a methodologically rigorous eye-tracking study on cognitive load and bias in human code review, providing baseline context for human oversight capabilities.",Exploring the effects of urgency and reputation in code review an eye-tracking study
GCZQTNBD,core,80,,"This investigates LLM-as-a-judge methodologies specifically for validating LLM-generated code, evaluating a direct mechanism for scaling oversight.",LLM4VV: exploring LLM-as-a-judge for validation and verification testsuites
VG8PSMM7,core,95,,"This presents a concrete, layered validation pipeline combining LLM-in-the-loop and human-in-the-loop mechanisms to oversee AI-generated industrial code.",Benchmarking and validation of prompting techniques for AI-assisted industrial PLC programming
Y7ZWF7GT,context,40,,"The abstract is thin but outlines a relevant architectural governance engine for controlling agentic AI in regulated domains, warranting further human review.",How regulated financial institutions will tame agentic AI through architectural determinism
