item_key,bin,centrality,reason_code,rationale,title
8TD7PXM7,context,60,,"Discusses agentic support to help authors reflect before code review, which is adjacent and transferable to keeping humans effectively in the loop during AI-assisted development.",Toward author-guided review: an agentic architecture for reflective code review
RPHK78A9,core,95,,"Provides a comprehensive practitioner guide documenting organizational governance structures, case studies, and accountability mechanisms directly addressing the scaling of GenAI coding.","Vibe Coding: Building Production-Grade Software with GenAI, Chat, Agents, and Beyond"
QBZTPWQR,context,55,,"Proposes an infrastructure for context engineering that emphasizes governance, traceability, and human verification of GenAI artifacts, which is highly transferable to code governance.",Everything is context: agentic file system abstraction for context engineering
M26KA89J,context,50,,Offers a strong theoretical framing of human-in-the-loop workflows in knowledge work that transfers well to understanding human oversight modes in AI-assisted coding.,"Cyborgs, centaurs and self-automators: the three modes of human-GenAI knowledge work and their implications for skilling and the future of expertise"
2ATF53D2,discard,10,out-of-scope,An LLM capability benchmark focusing purely on code quality metrics without any link to human oversight or governance.,Can LLMs generate higher quality code than humans? An empirical study
9S7TPW3X,discard,20,out-of-scope,Evaluates an AI tool's ability to detect API misuse rather than exploring human oversight of AI-generated code.,Can we trust the AI pair programmer? Copilot for API misuse detection and correction
TLLPXSB5,context,65,,"Addresses the evolution of cloud security assessment frameworks to incorporate AI-specific governance and adversarial testing, providing transferable organizational practices.",Enhancing cloud security assessment frameworks for the generative AI era: an action design research approach
UU8XQFGB,core,80,,Presents an operationalizable tool designed specifically to visualize agent trajectories and facilitate human feedback and oversight of autonomous agentic systems.,Agent trajectory explorer: visualizing and providing feedback on agent trajectories
5HT7MJV3,context,55,,"Develops a risk taxonomy and governance framework for agentic AI workflows in financial services, which is methodologically transferable to software engineering.",Agentic workflow drift and agentic workflow subversion: a new risk taxonomy for the governance of agentic AI in financial services
8IQR9PNB,core,75,,Provides empirical findings on how autonomous coding agents shift developer workflows and highlights the challenges of ensuring adequate human understanding and oversight.,Code with me or for me? How increasing AI automation transforms developer workflows
XBK7KB3E,context,45,,Outlines a pipeline approach to generative AI evaluation that emphasizes auditing model explanations and requiring human-in-the-loop oversight.,From annotation to oversight: a pipeline approach to generative AI evaluation
MQ5KZQTX,context,65,,"Explores the cognitive load and trust dynamics when humans review AI-generated feedback, offering empirical insights highly relevant to the human side of AI-code oversight.",Human and machine: how software engineers perceive and engage with AI-assisted code reviews compared to their peers
HDVEI6LK,discard,5,out-of-scope,"Focuses entirely on measuring data leakage and memorization in LLM bug benchmarks, lacking any relevance to governance or oversight.",Are large language models memorizing bug benchmarks?
SHAIEC8U,discard,10,out-of-scope,"A performance comparison of transformer models for generating code review comments, with no angle on human oversight or organizational processes.",Transformer models for code review comment generation: a performance comparison on GitHub data
HCQSZWZR,context,40,,"Proposes an AI-driven automation framework for security operations that includes an active monitoring stage for continuous human oversight, providing a transferable model.",Toward robust security orchestration and automated response in security operations centers with a hyper-automation approach using agentic artificial intelligence
5Q4G4CQB,core,75,,"Empirically explores the integration of LLMs in CI/CD pipelines, explicitly identifying the risks of automated deployment and the necessity for human supervision.",AI-driven continuous integration: automating code review and deployment with LLMs
YJLK5FPA,context,35,,"Discusses the constitutional case for AI governance infrastructure and automation bias, providing broad policy context transferable to code governance.",Ethics for oversight and protection the constitutional case for AI governance infrastructure
EVIRWHTD,core,85,,"Formalizes the vibe coding paradigm and proposes an architecture with an interactive feedback loop, directly examining the challenges of human-AI collaboration and maintainability.",Vibe coding: toward an AI-native paradigm for semantic and intent-driven programming
YXKHSW6S,context,45,,"Analyzes the legal and regulatory requirement for meaningful human control over algorithms, offering a transferable framework for human oversight.",Meaningful human control to detect algorithmic errors
KGAV77U3,discard,25,out-of-scope,Evaluates the self-diagnostic capabilities of LLMs in vibe coding scenarios but lacks an operationalizable angle on human oversight or organizational governance.,VIBEPASS: can vibe coders really pass the vibe check?
QNHBEIHD,discard,15,out-of-scope,Conducts a security vulnerability evaluation of AI-generated PHP code without proposing any scalable oversight mechanism or governance framework.,LLMs in web development: evaluating LLM-generated PHP code unveiling vulnerabilities and limitations
TJH7QFAX,core,85,,Provides an operationalizable framework using CodeHealth metrics to determine AI intervention risks and trigger appropriate levels of human oversight.,"Code for machines, not just humans: quantifying AI-friendliness with code health metrics"
GPPK8TWP,context,40,,"Explores meaningful human control and accountability gaps in AI-mediated management, which informs the broader governance of autonomous systems.","Agency without liability: rule-evading optimization, the deterrence gap, and the synthetic outlaw in AI-mediated management"
QTJPLBYR,discard,15,out-of-scope,A controlled experiment evaluating the security of LLM-generated code without addressing scalable human oversight or organizational governance.,Evaluating security and inclusivity in LLM-generated code: a controlled experiment
5BAZZWHG,core,90,,Directly investigates developer over-reliance on agentic coding assistants and identifies design mechanisms to force cognitive engagement and sustain human oversight.,"""I'm not reading all of that"": understanding software engineers' level of cognitive engagement with agentic coding assistants"
