item_key,bin,centrality,reason_code,rationale,title
M74M3RFJ,core,75,,Proposes an operationalizable layered framework for assurance and regulatory compliance in LLMs applied to code tasks.,Developing assurance cases for adversarial robustness and regulatory compliance in LLMs
5GB3K5C2,context,60,,Provides a strong governance-first execution framework for autonomous AI agents that is highly transferable to AI coding oversight.,TRACE: a governance-first execution framework providing architectural assurance for autonomous AI operations
62S6DFXY,context,55,,"Presents a methodologically robust protocol for optimizing monitoring thresholds and permission boundaries in AI governance, applicable to oversight contexts.","Computable design space exploration via governance frameworks: joint optimisation of permission boundaries, monitoring thresholds and user transparency policies (for proxy AI)"
TQGFG8YC,discard,15,out-of-scope,Focuses on evaluating AI-generated code specifically for digital forensics tasks rather than addressing human oversight or governance in a software engineering pipeline.,AutoDFBench 1.0: a benchmarking framework for digital forensic tool testing and generated code evaluation
6UQMFSB8,context,45,,"Proposes an architectural control mechanism to constrain AI generation at the repository level, addressing the volume/quality problem in vibe coding, though lacking a direct human-oversight focus.",Contract-coding: towards repo-level generation via structured symbolic paradigm
T72TU8B5,core,95,,Directly investigates and operationalizes dynamic developer oversight and autonomy calibration for AI coding agents based on empirical software engineer interactions.,Hedwig: dynamic autonomy for coding agents under local oversight
I8R2LX86,context,50,,Offers theoretical frameworks on human participation and oversight in AI-mediated systems that can inform the structural design of AI code governance.,The geometry of human participation: the structural conditions of legitimacy in AI-mediated systems
WZXSSGRL,discard,25,out-of-scope,Primarily a descriptive survey of generative AI applications for cybersecurity in the SDLC without an operationalizable framework for human oversight of AI-generated code.,Exploring the role of generative AI in enhancing cybersecurity in software development life cycle
MJDUMWUX,context,45,,"Details broad AI regulatory and governance frameworks, providing a policy context transferable to the compliance and oversight of AI-generated code.","Passporting compliance for AI: operationalising governance via a clause-level crosswalk across EU, ISO/IEC, NIST, and CoE frameworks"
VQTXS6R4,context,55,,"Presents an agent-based framework for automated code review, which offers a transferable mechanism for LLM-as-judge oversight in software engineering pipelines.",Issue-oriented agent-based framework for automated review comment generation
SI9LR7W3,context,65,,Provides empirically backed theory on human-in-the-loop decision-making and automation bias that directly informs the limitations of human oversight for AI systems.,"Why providing humans with interpretable algorithms may, counterintuitively, lead to lower decision-making performance"
58FAJ59D,context,60,,"Analyzes real-world risks and governance needs for autonomous coding agents, highlighting the urgency of robust oversight mechanisms.",The infrastructure gap: why platform security cannot protect against agentic attacks
98A3UITB,context,40,,A systematic review highlighting the need for professional oversight and adaptive governance of generative AI within enterprise software architecture contexts.,Impact and implications of generative AI for enterprise architects in agile environments: a systematic literature review
PD297DUM,core,85,,Empirically investigates developer over-reliance on AI coding tools and the subsequent impact on security review practices and oversight workload.,My code is less secure with gen AI: surveying developers' perceptions of the impact of code generation tools on security
RLCF33SM,context,40,,Proposes a machine-readable governance and auditability standard that could be transferred to the authorization and oversight of AI code generation pipelines.,AI deployment authorisation: a global standard for machine-readable governance of high-risk artificial intelligence
WEWQ9NTT,context,55,,Introduces an operationalizable multi-agent adversarial verification framework that is highly transferable to automated oversight triggers for AI-generated code.,Verified adversarial reasoning intelligence (VARI): multi-agent adversarial verification for regulated AI decision-making
EB9PFYBS,context,35,,"Analyzes the legal and regulatory definitions of human oversight in the EU AI Act, establishing the broader policy context for governing automated systems.",From 'human control' in international law to 'human oversight' in the new EU act on artificial intelligence
PMSYQJQQ,discard,25,wrong-level,Focuses on a specific code clone refactoring tool rather than addressing the broader organizational practices or scalability of human oversight for AI-generated code.,"Towards just-In-time, inclusive clone refactoring"
GMU2V4QQ,discard,10,out-of-scope,"Focuses purely on optimizing LLM prompt engineering for automated program repair using linter data, lacking any connection to human oversight or governance.",An empirical analysis of ESLint information components and their interactions in LLM-based program repair
SMHWVB9J,context,68,,"Provides robust behavioral evidence on automation shirking and overreliance in human-in-the-loop systems, highly transferable to the pitfalls of manual AI code review.","Designing human-automation redundancy: overreliance, automation shirking, and the operator’s dilemma"
Y4TIF9KW,core,80,,"Operationalizes a multi-agent framework for automated, auditable code review tailored to regulatory compliance, directly addressing the scalability of oversight.","Code prism: a multi-agent, multi-LLM, semantic indexing artifact for regulatory code audits — a design science research study"
VYRFCCU8,discard,20,out-of-scope,A descriptive survey of LLM capabilities for static vulnerability detection that does not address organizational governance or human oversight practices.,Large language models for vulnerability detection in static code analysis: a survey
ML88MC4H,context,45,,"Offers a comprehensive taxonomy of enterprise AI governance and authorization approaches, providing foundational terminology for structuring AI code oversight policies.","A taxonomy of AI governance approaches: distinguishing visibility, alignment, and authorization"
JVBZNVW8,context,35,,"This piece proposes formal verification for vibe coding, placed at the border due to a thin abstract requiring human review.",AI for software engineering: from probable to provable
LKCDAMLF,context,30,,"Discusses legal liability and compliance for AI tools in a specific security context (penetration testing), offering some transferable insights for organizational AI policy.","Legal, policy, and compliance issues in using AI for security: using taiwan's cybersecurity management act and penetration testing as examples"
