item_key,bin,centrality,reason_code,rationale,title
IZQGW3IU,context,60,,Provides a non-code-specific regulatory framework for human oversight of AI systems that can inform governance of AI-generated code.,
MFSZPSPU,core,85,,Proposes an operationalizable human-in-the-loop and LLM-as-a-judge framework for scaling the evaluation of code patches.,Towards a human-in-the-loop framework for reliable patch evaluation using an LLM-as-a-judge
WBFBCN9G,core,75,,"Synthesizes empirical evidence on developer over-reliance and trust calibration when using AI coding tools, highlighting key oversight challenges.","Large language models in programming: a meta-analysis of tools, users, and human-computer interaction themes"
JKLSQ57B,context,40,,The abstract is thin but suggests a principal-agent governance framework for agentic AI that could inform organizational AI-code oversight.,No skin in the game: why agentic AI requires principal-agent governance
QB7MGVK4,context,35,,The thin abstract outlines a general authority framework for organizational AI execution that is plausibly transferable to code-generation governance.,ECONOMICS OF AUTHORITY EoA #8 federated authority and inter-organizational AI execution the unsolved boundary problem and a dual-authorization mechanism
BEFM3MT6,discard,20,wrong-level,"Provides only a broad, descriptive overview of AI in software engineering without specific operationalizable frameworks or empirical findings on human oversight.",AI in the software development lifecycle: insights and open research questions
3IH4PUPA,context,55,,"Examines human oversight and trust in a broader machine learning context through XAI, offering transferable insights on decision-making accuracy.","Evaluating the impact of explainable artificial intelligence (XAI) techniques on trust, transparency, and decision-making accuracy in high-stakes machine learning applications"
XXRRYDKZ,context,35,,"Provides a thin description of a framework for AI integration in knowledge work with human oversight, which may transfer to software engineering.","AI will replace functions, not persons: a function-level framework for AI integration in knowledge work"
LBBJ3LGD,discard,15,out-of-scope,Focuses entirely on code generation methodologies using modeling languages and lacks any discussion of human oversight or governance.,LLM as a code generator in agile model driven development
ZJYYPLA7,discard,10,out-of-scope,"Evaluates an LLM's ability to fix its own code smells without addressing human oversight, governance, or organizational scalability.",Copilot-in-the-loop: fixing code smells in copilot-generated python code using copilot
NAS4ZSWE,core,80,,Introduces an intermediate structured representation specifically designed to enable effective human-in-the-loop correction during code generation.,A modular code generation method for industrial automation systems based on large-language models
RNSNBXYH,context,65,,"Discusses organizational governance design and observability for high-speed agentic AI, offering strong theoretical transfer to scaling code oversight.","Institutions, organizations, and the bounded agency imperative; rethinking governance design in the age of agentic AI"
D5RXSP2P,discard,25,wrong-type,"Primarily presents an autonomous coding framework and benchmark with basic security sandboxing, rather than addressing the scaling of human oversight.",AutoDev: automated AI-driven development
I2J69IHM,context,50,,Presents an operationalizable diagnostic framework for organizational AI governance maturity that can broadly inform AI-code governance strategies.,The governance-to-production gap (G2P): a diagnostic model for AI adoption in mid-tier banks
2NRJ4FXR,core,85,,Provides empirical enterprise data on code review acceptance rates and the shifting role of human oversight in highly AI-augmented developer workflows.,One developer is all you need: a case study of an AI-augmented one-person squad in a brownfield enterprise
XJAXB98T,core,95,,"Directly maps out concrete governance strategies, review capacity challenges, and accountability mechanisms for AI-generated code within software communities.",Beyond banning AI: a first look at GenAI governance in open source software communities
7UASJDLI,discard,15,out-of-scope,Focuses entirely on evaluating LLM capabilities for generating test cases locally and lacks any mechanism or discussion related to human oversight.,Leveraging pre-trained large language models (LLMs) for on-premises comprehensive automated test case generation: an empirical study
J998BUDB,context,55,,"Explores the scalability limits of human-in-the-loop oversight models in data systems, which is highly transferable to the AI-code volume problem.",Lights-off data factory: measuring epistemic autonomy in governance-first data systems
SGJU94AS,core,70,,Directly addresses the concept of vibe coding and explicitly explores the limitations that necessitate governance frameworks for its application.,Academic vibe coding: opportunities for accelerating research in an era of resource constraint
N8HSZ7BC,core,80,,"Provides an empirical measurement of license compliance risks in AI-generated code, directly informing organizational risk recognition and governance policies.",Licoeval: evaluating LLMs on license compliance in code generation
NS3L4YKR,context,35,,"Despite a thin abstract, the paper discusses a governance-first approach and NIST risk frameworks that could inform code-generation oversight policies.","SOC 2.0: less triage, more treachery"
H38TX28S,discard,20,wrong-level,Explores prompt engineering to reduce vulnerabilities in generated code but does not address organizational governance or human review processes.,Balancing security and correctness in code generation: an empirical study on commercial large language models
ZPDCIE7J,discard,20,out-of-scope,"Proposes an automated prompt optimization framework without addressing the human oversight, review, or governance of the resulting AI-generated code.",REprompt: prompt generation for intelligent software development guided by requirements engineering
E3E5YA2E,core,90,,"Qualitatively investigates developer over-reliance on AI, the necessity of rigorous human oversight for security, and the need for organizational governance policies.","Redefining the programmer: human-AI collaboration, LLMs, and security in modern software engineering"
CI93QRUH,core,85,,Empirically evaluates a novel human-in-the-loop mechanism designed to combat developer over-reliance and improve oversight during code generation.,HiLDE: intentional code generation via human-in-the-loop decoding
