item_key,bin,centrality,reason_code,rationale,title
24ZVGAAA,context,40,,"Explores organizational AI risk management using a Three Lines of Defense model, which is broadly transferable to AI code oversight frameworks.",Embedding ethical AI risks in public sector risk management practice an explorative analysis using the three lines of defense risk management model
6EKVYBCD,discard,20,out-of-scope,"Focuses on integrating conversational agents and chatbots in service firms, lacking direct transferability to software engineering pipelines.",Generative AI in responsible conversational agent integration: guidelines for service managers
ZVDJ5J88,context,45,,Proposes an organizational framework for responsible AI adoption that is broadly applicable but not specifically focused on the mechanics of overseeing AI-generated code.,Towards a responsible AI adoption/adaptation (RAA) ecosystem: vision and model to keep socio-technological balance
JZ64WDLQ,context,55,,Provides a methodologically strong organizational model for human-agent teams and governance that transfers well to human-AI coding teams.,The fluid triad: a decision-first organizational model for human-agent teams
Q8F6WBGU,discard,10,wrong-type,A descriptive opinion statement lacking an empirical evidence base or operationalizable framework.,AI audit washing and accountability
WXBMMVX9,context,60,,"Discusses autonomous AI governance, human-in-the-loop oversight, and AI trust calibration, which offers strong transferability to code-generation oversight despite the finance domain.",Agentic AI governance in private equity: a behavioral framework for autonomous decision systems
52PTUFU8,core,85,,"Directly addresses technical debt, maintainability, and governance challenges introduced by AI-generated code artifacts within software engineering pipelines.",The evolution of technical debt from DevOps to generative AI: a multivocal literature review
ZKKBHG9W,context,40,,"Proposes an artefact-based framework for evaluating AI transparency, offering general AI governance mechanisms that could transfer to code generation oversight.",Evaluating transparency in artificial intelligence systems with the Z-inspection® process for trustworthy assessment
PH6HQ5XG,discard,15,out-of-scope,Focuses on corporate liability and algorithmic misconduct from a legal theory perspective without an operationalizable oversight mechanism for software engineering.,Algorithms acting badly: a solution from corporate law
MFSG8J76,context,35,,"An established AI management system standard that likely provides transferable organizational governance frameworks, though the abstract is missing.",ISO/IEC 42001:2023 — Artificial Intelligence Management System
LBACUG6X,context,40,,"Uses the principal-agent framework to discuss liability in agentic systems, offering theoretical transferability to developers delegating coding tasks to AI agents.",Inherent and emergent liability issues in LLM-based agentic systems: a principal-agent perspective
BC33U2MU,context,50,,"Examines AI audit trails and accountability architecture, providing transferable mechanisms for tracking and overseeing enterprise AI systems.",AI audit trails and the architecture of accountability
5257HHP3,discard,25,out-of-scope,"Focuses on general trust, safety, and content risk assessment without a clear transferable link to overseeing high-volume AI code generation.","Intersections between trust, safety, and responsible AI how trust & safety and AI auditing can learn and evolve together"
4CR8GVNV,context,65,,"Proposes a framework for human-in-the-loop calibration of persistent AI agents to prevent cognitive drift, highly transferable to overseeing continuous AI code generation.",Recalibrate: metacognitive monitoring for persistent AI agents
2Z4PZABF,core,90,,Directly critiques and analyzes regulatory frameworks and development lifecycle controls for governing AI-driven code transformation.,Regulatory gap: why model risk management is structurally ill-suited to govern AI-driven code transformation
NKY6T5G9,context,45,,"Highlights enterprise AI governance and liability related to input quality, transferring to the broader context of managing risk in AI software pipelines.",Negligent poisoned environments: how cumulative input negligence undermines enterprise AI
BISE8375,core,85,,Provides an empirical case study of scaling agentic AI in software testing pipelines with a specific focus on the necessity of human review and governance.,Human-AI collaboration for scaling agile regression testing: an agentic-AI teammate from manual to automated testing
MVWFAXDW,core,75,,Proposes an operationalizable approach to mitigating security risks in AI-generated code by rectifying prompts in the software development process.,Securing AI code generation - a prompt rectification approach for mitigating cyber risks
L28YKLVD,context,50,,"Addresses artifact authenticity and audit decoupling in AI governance, offering concepts that transfer to maintaining the integrity of AI-generated code pipelines.",Artifact authenticity governance
QMKQC7SC,core,80,,"Directly investigates the reliability of delegating long workflows like vibe coding to LLMs, exposing the risk of silent corruption without effective oversight.",LLMs corrupt your documents when you delegate
VEEEW3K9,core,75,,Presents a framework for integrating generative AI into the software development lifecycle with an emphasis on automated security scanning and continuous assessment.,Generative AI-assisted framework for secure and autonomous software development lifecycle optimization
CAXNTRJF,core,80,,Describes an automated governance and machine learning-based code analysis tool designed to ensure compliance and security in the software development lifecycle.,Machine learning solutions to automated governance and code analysis to compliance
C2K75UGE,context,60,,"Methodologically strong study on automation reliance, complacency, and skill erosion, which translates directly to developer over-reliance in AI coding oversight.",The vicious circles of skill erosion: a case study of cognitive automation
8PPIW9Q5,core,75,,Reviews prompt engineering in software engineering and proposes a framework integrating human-in-the-loop design for AI code generation.,Unlocking the potential of the prompt engineering paradigm in software engineering: a systematic literature review
TLJPGLK9,context,55,,"Discusses the broad challenges and regulatory frameworks of human oversight in AI systems, providing relevant organizational and policy context for code oversight.",AI CHAOS! 2nd workshop on the challenges for human oversight of AI systems
