item_key,bin,centrality,reason_code,rationale,title
IZQGW3IU,context,58,,"Concrete statutory human-oversight requirements are transferable to AI-code governance, though not specific to software engineering pipelines.",
MFSZPSPU,core,90,,Directly proposes and measures a scalable human-in-the-loop LLM-as-judge mechanism for evaluating generated software patches.,Towards a human-in-the-loop framework for reliable patch evaluation using an LLM-as-a-judge
WBFBCN9G,core,74,,"Synthesizes empirical evidence on LLM programming tools, including trust calibration, over-reliance, user control, and correctness risks.","Large language models in programming: a meta-analysis of tools, users, and human-computer interaction themes"
JKLSQ57B,context,38,,Thin abstract suggests a transferable principal-agent governance framing for agentic AI but lacks code-specific or empirical detail.,No skin in the game: why agentic AI requires principal-agent governance
QB7MGVK4,context,43,,A dual-authorization authority mechanism for enterprise AI execution is transferable to oversight design but not code-specific.,ECONOMICS OF AUTHORITY EoA #8 federated authority and inter-organizational AI execution the unsolved boundary problem and a dual-authorization mechanism
BEFM3MT6,context,52,,"Addresses AI risks and human oversight across the software development lifecycle, but appears broad and agenda-setting rather than operationally specific.",AI in the software development lifecycle: insights and open research questions
3IH4PUPA,context,44,,"XAI findings on trust, transparency, and oversight in high-stakes AI are transferable but outside AI-generated code.","Evaluating the impact of explainable artificial intelligence (XAI) techniques on trust, transparency, and decision-making accuracy in high-stakes machine learning applications"
XXRRYDKZ,context,39,,"A function-level human-oversight framework for knowledge work is adjacent and transferable, but only lightly connected to developer workflows.","AI will replace functions, not persons: a function-level framework for AI integration in knowledge work"
LBBJ3LGD,discard,24,out-of-scope,Primarily evaluates an LLM code-generation method and complexity outcomes without a human oversight or governance mechanism.,LLM as a code generator in agile model driven development
ZJYYPLA7,context,55,,"Empirically measures quality risks in Copilot-generated code and automated remediation, but lacks an organizational human-oversight frame.",Copilot-in-the-loop: fixing code smells in copilot-generated python code using copilot
NAS4ZSWE,core,78,,Presents a staged LLM code-generation workflow with human-in-the-loop correction and measured accuracy in an industrial setting.,A modular code generation method for industrial automation systems based on large-language models
RNSNBXYH,context,46,,"Broader agentic-AI governance concepts such as bounded agency and observability transfer to oversight-at-speed, but the abstract is thin and non-code-specific.","Institutions, organizations, and the bounded agency imperative; rethinking governance design in the age of agentic AI"
D5RXSP2P,core,72,,"Describes an autonomous software-development framework with operational guardrails, permissions, sandboxing, and evaluation results.",AutoDev: automated AI-driven development
I2J69IHM,context,45,,"An AI governance-to-production diagnostic framework is transferable to organizational oversight maturity, but domain-specific to banking and not code generation.",The governance-to-production gap (G2P): a diagnostic model for AI adoption in mid-tier banks
2NRJ4FXR,core,76,,"Reports an enterprise AI-augmented software delivery case with review acceptance, test outcomes, staffing effects, and workflow constraints.",One developer is all you need: a case study of an AI-augmented one-person squad in a brownfield enterprise
XJAXB98T,core,97,,"Directly studies GenAI governance for OSS contribution, review, verification, accountability, provenance, and review-capacity burdens.",Beyond banning AI: a first look at GenAI governance in open source software communities
7UASJDLI,discard,22,out-of-scope,Focuses on automated test-case generation capability and on-prem deployment without human oversight or governance of AI-generated code.,Leveraging pre-trained large language models (LLMs) for on-premises comprehensive automated test case generation: an empirical study
J998BUDB,context,60,,"Provides metrics for scalable governance and human-in-the-loop limits in enterprise data systems, transferable despite being outside software code.",Lights-off data factory: measuring epistemic autonomy in governance-first data systems
SGJU94AS,context,47,,"Discusses vibe coding workflows and governance needs in academic settings, but appears largely descriptive and toolchain-oriented.",Academic vibe coding: opportunities for accelerating research in an era of resource constraint
N8HSZ7BC,core,73,,"Empirically benchmarks license-compliance risks in LLM-generated code, supplying measurable governance-relevant risk evidence.",Licoeval: evaluating LLMs on license compliance in code generation
NS3L4YKR,context,34,,"Cybersecurity governance recommendations around AI risk frameworks are transferable, but the abstract is thin and not code-generation-specific.","SOC 2.0: less triage, more treachery"
H38TX28S,core,71,,"Empirically studies vulnerability reduction in LLM-generated code through prompting guidance, offering measurable oversight-relevant risk controls.",Balancing security and correctness in code generation: an empirical study on commercial large language models
ZPDCIE7J,context,57,,"Targets vibe-coding prompt control through requirements engineering, but emphasizes prompt optimization rather than human oversight outcomes.",REprompt: prompt generation for intelligent software development guided by requirements engineering
E3E5YA2E,core,77,,"Qualitatively studies professional experiences with AI coding, automation bias, hidden vulnerabilities, and the need for organizational oversight policies.","Redefining the programmer: human-AI collaboration, LLMs, and security in modern software engineering"
CI93QRUH,core,89,,Directly tests a human-in-the-loop code-generation interface that reduces vulnerabilities and over-reliance in security-related tasks.,HiLDE: intentional code generation via human-in-the-loop decoding
