item_key,bin,centrality,reason_code,rationale,title
5H6KQCJM,core,82,,Empirical survival analysis of AI-authored code directly informs organizational oversight of maintenance risk and post-generation governance.,Will it survive? Deciphering the fate of AI-generated code in open source
79JAXRME,context,35,,The abstract is thin but offers a transferable conceptual governance frame for agentic AI failure modes rather than code-specific oversight.,Self-suppressing correction in agentic AI platforms: a conceptual framework for coupled epistemic degradation
VFE9BX2T,core,86,,"It evaluates AI-generated IaC with deployability, security, iterative feedback, and human-in-the-loop mechanisms closely tied to DevOps oversight.","Deployability-centric infrastructure-as-code generation: fail, learn, refine, and succeed through LLM-empowered DevOps simulation"
LJA5AH6N,discard,24,out-of-scope,This is mainly an educational and capability evaluation of test-skeleton generation without a governance or scalable oversight mechanism.,Comparative evaluation of large language models for test-skeleton generation
AYGMC9Y4,context,58,,"It provides transferable evidence on code quality and security review of LLM-generated CRUD applications, though not an organizational oversight framework.","Analyzing the impact of prompt engineering on efficiency, code quality, and security in CRUD application development"
TUYBSBZ2,context,55,,LLM-based change-intent classification is relevant to scaling code review workflows but is not specific to AI-generated code governance.,On the performance of large language models for code change intent classification
TUE9R2PH,core,75,,"A risk-gated protocol with drafts, approvals, auditability, and human review is highly relevant to governing AI agents in production workflows.",OpenPort protocol: a security governance specification for AI agent tool access
NKII6YDD,context,44,,The cognitive-resource allocation framework is transferable to human oversight scaling but is general AI delegation rather than software-specific.,When to delegate to artificial intelligence: a constrained resource optimization framework
FEJLI262,context,32,,"The thin abstract concerns output safeguards and regulatory compliance, which transfer weakly to AI-code oversight but are not code-pipeline focused.",A decontextualized LLM-based safeguard technique for automated jailbreak mitigation
VCI88UZD,core,88,,"It proposes a concrete human-certification, provenance, security-review, and governance architecture for AI-assisted software assembly.",Human-certified module repositories for the AI age
YRBG342S,discard,28,wrong-type,This position paper discusses human oversight in AI-assisted testing but appears agenda-setting rather than evidence-based or operationally validated.,"Synergizing human-AI cooperation in automated software testing: a balance for enhanced efficiency, reliability, and trust"
Y5LGJ7L7,context,42,,A child-welfare case study on corrective overrides and automation bias offers transferable evidence on human discernment of AI errors.,Human discernment of algorithmic errors: a case study in child welfare
DY2Y5QE3,context,45,,Agentic AI liability and governance risks are relevant to organizational policy but only indirectly connected to AI-generated code oversight.,"Rogue AI agents won't be testifying-you will: agentic AI, IP and liability risks, and a path forward"
EB9D98W5,core,78,,It addresses AI-assisted industrial code generation with LLM-in-the-loop and human-in-the-loop validation across safety and quality dimensions.,Benchmarking and validation of prompting techniques for AI-assisted industrial PLC programming
MPU6HLPS,context,46,,"The production-scale engineering copilot deployment offers organizational evidence, but it centers on technical support productivity rather than code oversight.",ENCO: deploying production-scale engineering copilots
Q6SVKUCU,context,34,,AI liability theory is policy-relevant background but lacks a software-pipeline or human-oversight mechanism.,Nondeterministic torts: a technical approach to AI liability
5I2W8IC6,core,74,,"Its review and expert survey on trust, overtrust, and metrics for LLMs in software engineering directly supports oversight design.",Mapping the trust terrain: LLMs in software engineering - insights and perspectives
4YKMK4ZI,context,40,,"The abstract is thin but discusses auditability, evidence standards, and ex-ante AI governance that may transfer to AI-code oversight.",On the impossibility of observability-based authorization: a formal impossibility result for ex-ante AI governance
TFZ594LZ,context,48,,"It offers a concrete governance-framework interpretation for AI risk management, but is not specific to software engineering or generated code.","Intention, integration, and the implementation gap: why AI governance frameworks are misread as risk checklists"
BP8HVTMW,core,83,,AI coding-agent fingerprinting provides an operational method for repository governance and attribution of AI-generated contributions.,Fingerprinting AI coding agents on GitHub
TI4RF68X,context,65,,"This SLR synthesizes LLM integration risks and mitigation strategies across SDLC workflows, though it is broader than oversight of generated code.",Towards the integration of large language models into the software development life cycle: a systematic literature review
XKEY3YYF,context,39,,The interactive evaluation framework is methodologically transferable to human-AI oversight but is general and not software-pipeline specific.,Evaluating human-language model interaction
I7X7LTNR,context,54,,"Multi-LLM self-negotiation is a transferable automated oversight pattern for code tasks, though it lacks human or organizational governance focus.",A preliminary study on large language models self-negotiation in software engineering
TTEUEB9V,context,52,,NIST AI 600-1 is a relevant generative-AI governance framework despite the missing abstract and non-code-specific scope.,NIST AI 600-1: Generative Artificial Intelligence Profile
CWUPRIIQ,core,93,,"This industrial study directly measures LLM-based automated code review effects, developer responses, quality benefits, delays, and review failure modes.",Automated code review In practice
