item_key,bin,centrality,reason_code,rationale,title
GPL5G889,context,52,,"Foundational automation-level framework is transferable to human oversight design, but it is general, old, and not software-code specific.",A model for types and levels of human interaction with automation
49IHA2L9,core,84,,Directly provides an operational STRIDE/DFD threat-modeling method for organizational security oversight of AI-based coding tools.,How secure is AI-based coding?: a security analysis using STRIDE and data flow diagrams
PG2GXVY8,core,86,,"Direct empirical evidence shows reduced visual inspection of AI-generated code, linking Copilot use to automation bias and oversight risk.",How readable is model-generated code? Examining readability and visual inspection of GitHub copilot
PAZT6K56,discard,24,wrong-type,This is mainly an LLM code-quality benchmark with no operational governance or human-oversight mechanism.,"Deploy, but verify: analysing LLM generated code safety"
ZP7AKMBR,core,78,,"Multi-case organizational study identifies GenAI security-practice changes, risks, and a framework-grounded adoption model for secure development workflows.",Investigating generative AI’s impact on software organizations’ security practices: a multi-case study using gioia methodology
BKSNXFDK,context,38,,"Thin abstract suggests a general AI risk-scorecard compliance framework that may transfer, but it is not code-specific and needs human review.","Regulatory compliance made easier with AI risk scor the dual imperative in RegTech: leveraging AI-driven risk scorecards for continuous compliance, operational efficiency, and establishing governance frameworks for explainability and ethical accountability"
7B87ZZY9,context,50,,"The study gives measurable evidence on errors introduced by LLM maintainability fixes, useful for oversight triggers but not governance-focused.",Evaluating the effectiveness of LLMs in fixing maintainability issues in real-world projects
WZSG4ZIT,context,42,,"General high-risk AI auditability discussion is transferable to AI-code governance, but the abstract is thin and not software-pipeline specific.",Why probabilistic AI resists auditability: from explainability to verifiable responsibility in high-risk AI systems
NHSTF6EL,context,58,,"Empirical measurement of code and security smells in generated code is relevant for AI-code risk detection, though it lacks organizational oversight mechanisms.",An empirical study of code smells in transformer-based code generation techniques
JS58YQWN,context,46,,"Runtime AI governance and human-in-the-loop audit concepts are transferable, but the thin abstract is general and not code-generation specific.",Computable trust architecture: a formal framework for runtime AI governance
TW9IB9DE,context,40,,"Enterprise AI risk quantification is relevant background governance, but the abstract is thin and not tied to software engineering or generated code.",The AI governance gap: quantifying enterprise AI risk through the janus protocol
ZX8V7UJS,context,55,,"AIOps RCA evidence supports transferable lessons on LLM limitations and human oversight in technical operations, though not code-generation oversight.",AIOps for reliability: evaluating large language models for automated root cause analysis in chaos engineering
6TZHUCMD,core,82,,Proposes and evaluates a scalable source-code guardrail for preventing sensitive code exposure to public LLMs in enterprise workflows.,Source code guardrail: AI driven solution to distinguish critical vs. Generic code for enterprise LLM security
5NY5HVNV,core,90,,Directly studies how LLM-assisted code review disrupts accountability mechanisms central to human oversight of AI-influenced software quality.,Accountability in code review: the role of intrinsic drivers&nbsp;and the impact of LLMs
SDIMSRMI,context,61,,"Provides an operational evaluation framework for LLM-generated tests that can support oversight, though governance and human review are not central.",An evaluation framework for software unit tests generated by large language models
54383TI5,core,72,,Proposes an enterprise software framework with human-in-the-loop feedback and traceable knowledge structures for governing complex LLM-assisted development.,Code digital twin: empowering LLMs with tacit knowledge for complex software development
WRXR2VTP,core,88,,"Directly addresses vibe-coding QA through validated contracts, traceability, testing, runtime verification, and auditable workflows.",VibeContract: the missing quality assurance piece in vibe coding
VCI7FSVP,context,48,,"Computable EU AI Act compliance mechanisms are transferable governance-by-design concepts, but the abstract is thin and not code-oversight specific.",Governance-by-design for AI compliance: compiling EU AI act duties into computable operating-agreement clauses
TF2C996H,context,36,,"Selective review via confidence thresholds is transferable to scalable oversight, but the domain is annotation and the abstract is thin.",Human-efficient annotation system via active semi supervised learning and selective review
NZXY7X7U,context,39,,"Pre-execution control is a potentially transferable AI-governance idea, but the construction-safety domain is distant from AI-generated code.",Construction safety management and AI governance: a structural correlation and the case for pre-execution control
JCAQ3AHU,context,35,,"AI Act assessment catalogues may inform compliance frameworks, but the abstract is very thin and not software-code specific.",AI certification and assessment catalogues: practical use and challenges in the context of the European AI act
82N4MFN7,context,52,,"Situation-awareness framing for organizational human-agent collaboration is transferable to oversight design, but it is theoretical and non-code-specific.",A situation awareness perspective on human-agent collaboration: tensions and opportunities
S7BJA4RD,core,84,,"Empirical organizational study of Copilot and Windsurf identifies validation burdens, verification work, and socio-technical monitoring needs.",AI-assisted collaboration: exploring developer experience with GitHub copilot and windsurf
S57GJ9VD,discard,22,out-of-scope,AI-assisted drafting of AI Act documentation concerns compliance paperwork rather than oversight of AI-generated code or software pipelines.,Simplifying software compliance: AI technologies in drafting technical documentation for the AI act
4AXDVW7J,core,87,,"Provides an evidence-informed SDLC governance roadmap for auditable prompts, provenance, checks, evaluation, and escalation in AI-driven software engineering.",Ethical prompt engineering for AI-driven SE: evidence-informed interaction-time governance roadmap to 2030
