item_key,bin,centrality,reason_code,rationale,title
8TD7PXM7,core,72,,"Directly targets AI-supported code review with a human-in-the-loop agentic architecture, though the abstract is more conceptual than empirical.",Toward author-guided review: an agentic architecture for reflective code review
RPHK78A9,core,96,,"Directly addresses vibe-coding oversight, governance, organizational scaling, empirical cases, and concrete mechanisms for maintaining quality.","Vibe Coding: Building Production-Grade Software with GenAI, Chat, Agents, and Beyond"
QBZTPWQR,context,58,,"Provides an operational framework for governed GenAI context management with developer-tool exemplars, but is not specifically about oversight of generated code.",Everything is context: agentic file system abstraction for context engineering
M26KA89J,context,39,,"The thin abstract suggests transferable evidence on human-GenAI work modes, but it is broad knowledge-work theory rather than software-code oversight.","Cyborgs, centaurs and self-automators: the three modes of human-GenAI knowledge work and their implications for skilling and the future of expertise"
2ATF53D2,discard,24,wrong-level,"It benchmarks LLM code quality against human code but lacks a governance, oversight, or organizational control mechanism.",Can LLMs generate higher quality code than humans? An empirical study
9S7TPW3X,context,62,,"Empirically measures Copilot’s strengths and limits for API misuse detection, offering transferable evidence for AI-code risk assessment despite limited human-oversight focus.",Can we trust the AI pair programmer? Copilot for API misuse detection and correction
TLLPXSB5,core,80,,Develops and evaluates AI-specific security assessment enhancements for GenAI-era software development governance in organizational cloud settings.,Enhancing cloud security assessment frameworks for the generative AI era: an action design research approach
UU8XQFGB,context,57,,"Offers concrete tooling for human oversight of agent behavior, transferable to coding agents but not specific to AI-generated code pipelines.",Agent trajectory explorer: visualizing and providing feedback on agent trajectories
5HT7MJV3,context,53,,"Presents a governance risk taxonomy for agentic AI workflows in finance, transferable to agentic coding oversight but outside software engineering.",Agentic workflow drift and agentic workflow subversion: a new risk taxonomy for the governance of agentic AI in financial services
8IQR9PNB,core,82,,Empirically studies developer interaction with autonomous coding agents and identifies adoption risks around understanding agent behavior.,Code with me or for me? How increasing AI automation transforms developer workflows
XBK7KB3E,context,45,,"Provides a general generative-AI evaluation pipeline with human review and oversight components, but is not code- or organization-specific.",From annotation to oversight: a pipeline approach to generative AI evaluation
MQ5KZQTX,core,86,,"Directly studies how engineers engage with LLM-assisted code reviews, including trust, cognitive load, context limits, and feedback adoption.",Human and machine: how software engineers perceive and engage with AI-assisted code reviews compared to their peers
HDVEI6LK,context,44,,"Benchmark leakage findings are useful for evaluating AI coding tools, but the paper lacks a direct oversight or governance mechanism.",Are large language models memorizing bug benchmarks?
SHAIEC8U,discard,23,wrong-level,"It evaluates automated review-comment generation performance but does not address human oversight, governance, or scaling review quality.",Transformer models for code review comment generation: a performance comparison on GitHub data
HCQSZWZR,context,61,,"The IVAM framework operationalizes validation and monitoring of AI-generated code in SOC automation, but the domain is cybersecurity operations rather than software development governance.",Toward robust security orchestration and automated response in security operations centers with a hyper-automation approach using agentic artificial intelligence
5Q4G4CQB,core,78,,"Directly examines LLM-enabled CI/CD code review and deployment with reported benefits, risks, and need for human supervision.",AI-driven continuous integration: automating code review and deployment with LLMs
YJLK5FPA,context,42,,"The thin abstract describes AI governance infrastructure and automation bias at a policy level, transferable but not specific to generated code.",Ethics for oversight and protection the constitutional case for AI governance infrastructure
EVIRWHTD,context,50,,"It frames vibe coding and responsible-AI challenges conceptually, but appears mostly definitional and lacks empirical or operational oversight mechanisms.",Vibe coding: toward an AI-native paradigm for semantic and intent-driven programming
YXKHSW6S,context,47,,Legal analysis of meaningful human control for algorithmic error detection is transferable to AI-code oversight but not software-specific.,Meaningful human control to detect algorithmic errors
KGAV77U3,core,84,,"Directly evaluates failure modes in vibe-coding self-diagnosis and repair, identifying measurable limits relevant to human oversight triggers.",VIBEPASS: can vibe coders really pass the vibe check?
QNHBEIHD,core,75,,Empirically measures vulnerabilities in deployed LLM-generated code and argues for thorough testing and evaluation in software development.,LLMs in web development: evaluating LLM-generated PHP code unveiling vulnerabilities and limitations
TJH7QFAX,core,81,,Operationalizes risk-based oversight for AI coding agents using CodeHealth metrics to identify where additional human review is warranted.,"Code for machines, not just humans: quantifying AI-friendliness with code health metrics"
GPPK8TWP,context,49,,"Offers a governance and verifiability framework for AI-mediated management, transferable to oversight design but outside software engineering.","Agency without liability: rule-evading optimization, the deterrence gap, and the synthetic outlaw in AI-mediated management"
QTJPLBYR,core,77,,Controlled evaluation of LLM-generated code by human experts and LLM-based criteria directly informs oversight of security and quality.,Evaluating security and inclusivity in LLM-generated code: a controlled experiment
5BAZZWHG,core,91,,Directly studies over-reliance and declining cognitive engagement with agentic coding assistants and proposes concrete design mechanisms for verification.,"""I'm not reading all of that"": understanding software engineers' level of cognitive engagement with agentic coding assistants"
