19:41:38 INFO    === OpenAlex URL/title pass START | polite-pool mailto=sthurlow@purdue.edu ===
19:41:41 INFO    collection 4WMXV36M: 58 items
19:41:45 INFO    collection TJTE4QWX: 179 items
19:41:45 INFO    183 unique items; 136 need OpenAlex upgrade (missing/weak URL or rough title)
19:41:45 INFO    [1/136] no OpenAlex match (0.5s) :: De-v GPT: studying developer-Chat GPT conversations
19:41:46 INFO    [2/136] matched, nothing to fill :: Multi-objective code reviewer recommendations: balancin
19:41:46 INFO    [3/136] no OpenAlex match (0.4s) :: Proposal: adoption of official AI contri-bution & copyr
19:41:47 INFO    [4/136] no OpenAlex match (0.4s) :: Exploring Gen AI in Software Development: Insights from
19:41:47 INFO    [5/136] no OpenAlex match (0.2s) :: What Guides Our Choices? Modeling Developers’ Trust and
19:41:47 INFO    [6/136] no OpenAlex match (0.5s) :: How to review code written by AI
19:41:48 INFO    [7/136] no OpenAlex match (0.1s) :: Trust in LLM in SE
19:41:48 INFO    [8/136] no OpenAlex match (0.4s) :: AIDev: dataset for AI development analytics
19:41:48 INFO    [9/136] no OpenAlex match (0.4s) :: A synthesis of pain points and strategies , including c
19:41:49 INFO    [10/136] no OpenAlex match (0.2s) :: “If the system didn’t show me how it performed on the t
19:41:49 INFO    [11/136] no OpenAlex match (0.4s) :: Write clear and structured prompts that capture functio
19:41:49 INFO    [12/136] no OpenAlex match (0.2s) :: Run regression checks and compare results before accept
19:41:49 INFO    [13/136] no OpenAlex match (0.2s) :: Maintain traceability by linking prompts, generated cod
19:41:50 INFO    [14/136] no OpenAlex match (0.4s) :: Update BDD or acceptance scenarios whenever requirement
19:41:50 INFO    [15/136] no OpenAlex match (0.1s) :: Request senior review for high-impact regenerated compo
19:41:50 INFO    [16/136] no OpenAlex match (0.2s) :: Track data and IP sources and keep records needed for c
19:41:50 INFO    [17/136] no OpenAlex match (0.4s) :: Strengthen pipelines by ensuring reproducible builds, f
19:41:51 INFO    [18/136] no OpenAlex match (0.1s) :: Based on these criteria, evaluate the code and determin
19:41:51 INFO    [19/136] no OpenAlex match (0.2s) :: and encourage contributions from the community to promo
19:41:51 INFO    [20/136] no OpenAlex match (0.2s) :: We provide an online appendix with all of our data and 
19:41:51 INFO    [21/136] no OpenAlex match (0.4s) :: self-IEEE TRANSACTIONS ON SOFTWARE ENGINEERING verifica
19:41:52 INFO    [22/136] no OpenAlex match (0.2s) :: Protect your code against licensing risks
19:41:52 INFO    [23/136] no OpenAlex match (0.2s) :: Agents.md community. 2024. AGENTS.md: a simple, open fo
19:41:52 INFO    [24/136] no OpenAlex match (0.2s) :: Benchmarking the text-to-sql capability of large langua
19:41:52 INFO    [25/136] no OpenAlex match (0.2s) :: Ci/cd for vibe coding: or how i learned to stop worryin
19:41:52 INFO    [26/136] no OpenAlex match (0.2s) :: Greptile: the AI code reviewer
19:41:53 INFO    [27/136] no OpenAlex match (0.4s) :: Harness engineering: leveraging codex in an agent-first
19:41:53 INFO    [28/136] no OpenAlex match (0.2s) :: I algorithmic description of CodeAgent pipeline with QA
19:41:53 INFO    [29/136] no OpenAlex match (0.1s) :: . Integrating artificial intelligence with DevOps: adva
19:41:53 INFO    [30/136] no OpenAlex match (0.4s) :: “Introducing AURI: security intelligence for AI coding 
19:41:54 INFO    [31/136] no OpenAlex match (0.2s) :: . Orchestrate teams of claude code sessions
19:41:54 INFO    [32/136] no OpenAlex match (0.2s) :: PREFACE: property-driven reinforcement for automated co
19:41:54 INFO    [33/136] no OpenAlex match (0.2s) :: “The great vibecoding debate: do typed languages really
19:41:54 INFO    [34/136] no OpenAlex match (0.2s) :: The vibe coding trap: how AI accelerates delivery - and
19:41:55 INFO    [35/136] no OpenAlex match (0.5s) :: Why I’m declining your AI-generated MR
19:41:55 INFO    [36/136] no OpenAlex match (0.2s) :: Why "vibe coding" fails in enterprise: AI’s real limits
19:41:55 INFO    [37/136] matched, nothing to fill :: Fine-tuning large language models to improve accuracy a
19:41:55 INFO    [38/136] matched, nothing to fill :: Vibe coding in practice: motivations,challenges, and a 
19:41:55 INFO    [39/136] no OpenAlex match (0.2s) :: Position: Humans are Missing from AI Coding Agent Resea
19:41:56 INFO    [40/136] matched, nothing to fill :: SecureVibeBench: Benchmarking Secure Vibe Coding of AI 
19:41:56 INFO    [41/136] no OpenAlex match (0.2s) :: let’s make every pull request meaningful: an empirical 
