item_key,bin,centrality,reason_code,rationale,title,authors,abstract
YWP5VZD3,context,56,,Automation-bias theory and a critique of human-oversight adequacy for generative LLMs — transferable to AI-code over-reliance though not code-specific.,"Human, all too human: accounting for automation bias in generative large language models",Irina Carnat,"It also critiques the regulatory optimism in human oversight, challenging its adequacy in effectively addressing automation bias, by comparing the Artificial / The paper cautions against overemphasizing human oversight as a panacea and instead advocates for implementing accountability measures along the entire / Accountability, Automated Decision-Making, Automation Bias, Cognitive Automation, Large Language Models, Generative Artificial Intelligence"
PH5NTI5G,context,50,,Legal analysis of automation bias and mandated human oversight under the AI Act — general regulatory framework transferable to AI-code oversight.,Automation bias in the AI act: on the legal implications of attempting to de-bias human oversight of AI,Johann Laux; Hannah Ruschemeier,"This paper examines the legal implications of the explicit mentioning of automation bias (AB) in the Artificial Intelligence Act (AIA). / The AIA mandates human oversight for high-risk AI systems and requires providers to enable awareness of AB, i.e., the human tendency to over-rely on AI / AI Act, AI Regulation, Human Oversight, Automation Bias, AI Governance, Human-AI Interaction"
MJQHCCGP,context,47,,Doctrinal analysis of Article 14 human-oversight requirement — non-code-specific governance framework with transferable oversight concepts.,Human oversight under article 14 of the EU AI act,Melanie Fink,"This chapter analyses the human oversight requirement for high-risk AI systems under Article 14 AI Act, a provision that marks a significant development / Human oversight in the AI Act serves a number of purposes. / Human oversight, EU AI Act, Human-in-the-loop, artificial intelligence regulation, algorithmic governance, algorithmic accountability, algorithmic decision-making / , automation bias, risk management, effective human oversight, meaningful human oversight"
NGIH5T4C,core,76,,"Directly on AI-augmented code review, software quality, and human-oversight safeguards with firm case examples — central to scaling oversight of AI code.",The evolving landscape of code review: leveraging artificial intelligence for enhanced software quality and developer productivity,Benjamin Batte,"This paper explores how artificial intelligence (AI) reshapes code review by enabling automation, improving accuracy, and promoting coding standardization / Case examples from leading tech firms underscore AI's transformative potential while emphasizing the need for ethical safeguards and human oversight."
YL2JD5B6,context,45,,Human-oversight-by-design and technical standardization for AI generally — transferable governance angle but not code-specific.,Human oversight of artificial intelligence and technical standardisation,Marion Ho-Dac; Baptiste Martinez,"Intelligence (AI) systems, for example by placing a human being in charge of supervising the system and, upstream, by developing the AI system to enable / These include the development of human oversight-by-design AI systems and their implementation by deployers."
X4WH2HG2,context,43,,Policy challenges of reduced oversight in agentic AI networks — adjacent governance analysis transferable to autonomous coding agents.,Does agentic AI require new policy frameworks?,Sarah Oh Lam; Nathaniel Lovin,"Does the emergence of agentic AI — systems capable of autonomous interaction and decision-making — require entirely new policy frameworks, or can / This analysis uniquely examines how reduced human oversight in autonomous agent networks creates new policy challenges particularly when agents collaborate / artificial intelligence, agentic ai, ai policy, open source ai, open weights, prompt injection, autonomous agents, ai agents"
ZEKUAGN6,context,38,,Argues layered human oversight is not a safe harbor and favors augmentation — transferable oversight-limitation thesis but largely conceptual/economics.,"The human-machine paradox: why a dual skill strategy may not be the safest harbor when surprise is the norm, and why focusing on augmentation is key to resolving it",Riccardo Zanardelli,"When deploying artificial skills, decision-makers often assume that layering human oversight is a safe harbor that mitigates the risks of full automation / Artificial Intelligence, Human-Machine, Augmentation, Decision-making, Economics of AI"
XXRRYDKZ,context,48,,"Function-level framework for deploying AI agents with human oversight, explicitly including the Developer role — concrete transferable framework.","AI will replace functions, not persons: a function-level framework for AI integration in knowledge work",Javier Rayon Encinas,"Developer, and Financial Analyst—and provide technology-agnostic architectural principles for deploying function specific AI agents with appropriate human / oversight. / Artificial Intelligence, Future of Work, Human-AI Collaboration, Task Automation, Knowledge Work, Organizational Design"
PPTEB7TI,context,54,,AI-AI assurance/auditing assemblages eroding human judgment — relevant to LLM-as-judge/AI-oversight mechanisms though not code-specific.,How AI-AI assurance assemblages reshape trust and erode human judgment,Khoi Nguyen,"This study examines the AI-AI auditability assemblage, defined as configurations in which artificial intelligence systems generate and assess evaluative / signals about other artificial intelligence systems."
9K45FHAG,context,46,,Human-in-command governance of agentic AI with oversight/automation-bias framing — transferable governance model in a non-code (customer service) domain.,Human-in-command: governing agentic AI in customer service,Naveen Sundaresan,"The rapid integration of autonomous and generative artificial intelligence into the customer service and support sector has fundamentally altered the relationship / As organizations shift from simple rule-based automation to semi-autonomous ""agentic"" AI, the requirement for effective human oversight has moved from / Artificial Intelligence Governance, Human-in-Command, Customer Service, EU AI Act, Cognitive Load, Human-Machine Teaming, Automation Bias, Agentic AI"
7KEUNEP4,core,70,,"Organizational GenAI code transformation coupled with human oversight, validation, and governance — code-specific with empirical results.",Next-generation code transformation for legacy .NET systems with generative AI,Hema Latha Boddupally,"Generative AI powered code transformation techniques for legacy .NET systems address the long standing challenges encountered by organizations that depend / The results indicate that generative AI can act as a powerful catalyst when combined with human oversight, validation, and governance. / Generative AI, code transformation, legacy .NET systems, software modernization, automated refactoring, AI assisted development, monolithic to modular"
