item_key,bin,centrality,reason_code,rationale,title,authors,abstract
9NA8TTTH,context,36,,"Aggregate governance-framework mapping (EU AI Act, NIST, ISO 42001) transferable to the policy landscape but generic and not code-specific.","Responsible by design: ethical AI ecosystems for governance, risk, and delivery",Pabitra Saikia; Uttam Kumar,"Based on an aggregate of research from multiple disciplines, international regulations for AI (EU AI Act, NIST AI RMF, IEEE 7000-2021, and ISO/IEC 42001 / help develop mechanisms for oversight and control. / Ethical AI, AI Governance Frameworks, Risk Management, Responsible Innovation, Algorithmic Accountability, Human-Centered AI, Bias Mitigation, Enterprise"
N9825KAC,discard,24,out-of-scope,"Concerns evidentiary records for AI-generated narratives in banking/pharma, no oversight mechanism for AI code.",The reconstructability gap: how AI-generated narratives acquire authority without records,Timothy de Rosen,"AI Governance, Reconstructability, Records, AI Reliance Logging\, AI Reliance Evidentiary System, AIVO, AIVO Standard, Banking, Pharma, EU AI Act, SEC,"
3TUJG87T,context,33,,Cryptographic provenance/verifiable-logging framework for generative AI is a concrete accountability mechanism weakly transferable to code provenance.,CAP: a cryptographically verifiable provenance framework for creative and generative AI systems,Tokachi Kamimura,"Existing AI governance approaches largely rely on policy statements, internal logs, or post-hoc explanations that are not independently verifiable and / verify what an AI system did—and crucially, what it did not do—CAP provides a practical foundation for accountability, dispute resolution, and regulatory compliance / Artificial Intelligence Governance, Generative AI, Creative AI, Cryptographic Provenance, AI Auditability, Verifiable Logging, AI Accountability, EU AI / Act"
DQM82F3L,discard,26,wrong-type,Research-vision/opinion piece on responsible-AI implementation with no operationalizable oversight evidence.,Research vision for Co-designing responsible AI,Daniele Quercia,"Responsible AI principles are everywhere, but implementation is stuck between box-ticking compliance / Responsible AI principles are everywhere, but implementation is stuck between box-ticking compliance / Responsible AI principles are everywhere, but implementation is stuck between box-ticking compliance / Responsible AI principles are everywhere, but implementation is stuck between box-ticking compliance / Responsible AI principles are everywhere, but implementation is stuck between box-ticking compliance / Responsible AI principles are everywhere, but implementation is stuck between box-ticking compliance / Responsible AI principles are everywhere, but implementation is stuck between box-ticking compliance / AI Act–aligned risks, and NLP Guard to reduce harmful reliance on protected attributes after launch."
62S6DFXY,context,45,,"Computable joint optimization of permission boundaries and monitoring thresholds is a concrete, transferable oversight-tuning mechanism, though for proxy AI not code.","Computable design space exploration via governance frameworks: joint optimisation of permission boundaries, monitoring thresholds and user transparency policies (for proxy AI)",Wei Meng,"To support reproducible and auditable evaluation, this paper constructs a NIST-grade trajectorylevel hyper-simulation data protocol aligned with the NIST / AI RMF and GenAI Profile's 'governance-measurement-management' closed loop. / Proxy Artificial Intelligence, Constrained Bayesian Optimisation, Compliance Risk Control, Distribution Shift, Cognitive Graphs"
WZSG4ZIT,context,42,,"Analyzes structural limits of auditability for non-deterministic high-risk AI, transferable to the limits of overseeing probabilistic AI code.",Why probabilistic AI resists auditability: from explainability to verifiable responsibility in high-risk AI systems,Thomas Gessler,"Current approaches to AI governance assume that accountability can be achieved through explainability, documentation, and post-hoc controls. / The aim is to inform regulatory, legal, and governance discussions on the structural limits of explainability and the requirements for audit-ready AI infrastructure / AI accountability, Auditability, AI governance, Non-deterministic AI, High-risk AI systems, Liability, AI regulation, Decision systems, Explainability"
7VIJQWBF,context,43,,"Distinguishes compliance instrumentation from runtime authorization enforcement, a transferable oversight-architecture distinction not specific to code.",Observability is not enforcement: a doctrinal and architectural framework for distinguishing compliance instrumentation from runtime authorization in AI governance,Edward Meyman,"This paper introduces a doctrinal and technical framework for distinguishing evidence-routing compliance systems from authorization governance / Drawing on reference monitor theory and regulatory contexts including GDPR Article 22 and the EU AI Act, the paper argues that governance without / AI governance, enforcement, authorization, compliance, deterministic governance, cryptographic signing, proof-carrying decisions, regulatory compliance / , EU AI Act, GDPR, runtime authorization, fail-closed systems, reference monitor, policy enforcement point, non-bypassable controls, automated decision-making"
SEVQQF2T,context,58,,"Tunable human-AI decision-boundary model addressing automation bias and the machine-speed/oversight gap—strongly transferable oversight framework, just not code-scoped.",Decision architecture - a tunable governance model for human-AI decision boundaries,Daniel Hettrick,"The resulting gap between machine-speed execution and human oversight exposes organizations to automation bias, accountability failures, and increasing / (decision rights theory), and emerging AI regulation (including the EU AI Act and NIST AI RMF), the paper argues that while no unified academic field / Decision Architecture, AI governance, human–AI decision boundaries, automation bias, decision rights theory, choice architecture, confidence calibration"
CEQVR92V,context,35,,"Cybernetic requisite-variety governance layer for agentic AI security, a broad structural framework with weak code-oversight transfer.",Requisite variety for ai security,Matthias Muhlert,"The framework aligns with and complements NIST AI RMF, the EU AI Act, ETSI EN 304 223, and OWASP vulnerability taxonomies, positioning itself as a structural / governance layer rather than a replacement for existing approaches. / AI security, agentic AI, requisite variety, cybernetics, Viable System Model, systems theory, AI governance, prompt injection, Policy Enforcement Point / , autonomous systems, security architecture, EU AI Act, NIST AI RMF, threat modelling, adaptive cyber resiliency"
B8CIYLXF,context,33,,"Maps EU/Korea AI regimes into provider governance texts—relevant to the policy landscape but a legal/contractual mapping, not an oversight mechanism.",Platform constitutions and algorithmic rule of law in generative AI: translating the EU AI act and korea’s AI trust framework into provider governance texts,Sung Hee Yoo; Hyo-Joong Suh,"Generative AI services increasingly mediate search, writing, learning, and coordination, yet their governance is enacted through a hybrid of contractual / To examine how public AI regimes shape private ordering, we map obligations under the EU AI Act and Korea’s AI trust framework to platform clauses and / digital constitutionalism, platform governance, rule of law, algorithmic governmentality, EU AI Act, Korea AI Basic Act"
RX9I52KT,context,40,,"Formal execution-time authorization framework with conformance criteria, a transferable deterministic-governance mechanism for agents rather than code.",Execution-time authorization for AI agents: a formal framework for deterministic governance boundaries,Edward Meyman,"This paper formalizes execution-time authorization as a distinct architectural category within AI governance. / Third, it establishes testable conformance criteria that distinguish conforming execution-time authorization systems from adjacent governance categories / execution-time authorization, AI governance, deterministic governance, pre-execution authorization, AI agent security, fail-closed AI, authorization boundaries / , proof-carrying decisions, AI regulation, deterministic authorization, AI compliance, governance architecture, algorithmic accountability, autonomous"
WEWQ9NTT,context,56,,"Multi-agent adversarial verification for human oversight (EU AI Act Art.14) matches a core oversight-mechanism type but is applied to employment/insurance AI, not code.",Verified adversarial reasoning intelligence (VARI): multi-agent adversarial verification for regulated AI decision-making,Eric Swidey,"We previously demonstrated VARI as a reference architecture for EU AI Act Article 14 compliance in employment AI (Swidey, 2025). / The regulatory trajectory, including Article 14 of the EU AI Act, the Colorado AI Act (effective June 30, 2026), and the NAIC Model Bulletin, demands both / AI Governance, Adversarial Verification, Multi-Agent Systems, Legal AI, Insurance AI, Hallucination Detection, Algorithmic Discrimination, Per-Decision / Verification, EU AI Act Article 14"
KWD6CKFR,context,38,,"Argues a monitoring-to-authorization shift in agentic AI governance, a transferable enforcement-architecture thesis not specific to code.",From monitoring to authorization: the structural shift emerging in agentic AI governance,Edward Meyman,"systems transition from generating content to executing real-world side effects—writing to databases, initiating transactions, modifying infrastructure—the governance / It argues that traditional compliance mechanisms—deterrence, accountability, escalation, and documentation—are structurally mismatched to autonomous systems / Agentic AI, AI governance, authorization boundary, enforcement architecture, AI regulation, regulatory compliance, algorithmic accountability, AI risk / management, deterministic governance, evidence-grade governance, independent verification, policy-state binding"
