seq,item_key,title,year,item_type,abstract,bin,centrality,reason_code,rationale
1,5H6KQCJM,Will it survive? Deciphering the fate of AI-generated code in open source,2026,preprint,"The integration of AI agents as coding assistants into software development has raised questions about the long-term viability of AI agent-generated code. A prevailing hypothesis within the software engineering community suggests this code is ""disposable"", meaning it is merged quickly but discarded shortly thereafter. If true, organizations risk shifting maintenance burden from generation to post-deployment remediation. We investigate this hypothesis through survival analysis of 201 open-source projects, tracking over 200,000 code units authored by AI agents versus humans. Contrary to the disposable code narrative, agent-authored code survives significantly longer: at the line level, it exhibits a 15.8 percentage-point lower modification rate and 16% lower hazard of modification (HR = 0.842, p < 0.001). However, modification profiles differ. Agent-authored code shows modestly elevated corrective rates (26.3% vs. 23.0%), while human code shows higher adaptive rates. However, the effect sizes are small (Cramér's V = 0.116), and per-agent variation exceeds the agent-human gap. Turning to prediction, textual features can identify modification-prone code (AUC-ROC = 0.671), but predicting when modifications occur remains challenging (Macro F1 = 0.285), suggesting timing depends on external organizational dynamics. The bottleneck for agent-generated code may not be generation quality, but the organizational practices that govern its long-term evolution.",,,,
2,79JAXRME,Self-suppressing correction in agentic AI platforms: a conceptual framework for coupled epistemic degradation,2026,journalArticle,"Agentic AI systems do not simply answer prompts. They select, sequence, and execute actions across workflows, tools, and institutional settings. / agentic AI, platform governance, reinforcement learning from human feedback, sycophancy, epistemic degradation, market failure",,,,
3,VFE9BX2T,"Deployability-centric infrastructure-as-code generation: fail, learn, refine, and succeed through LLM-empowered DevOps simulation",2025,preprint,"Infrastructure-as-Code (IaC) generation holds significant promise for automating cloud infrastructure provisioning. Recent advances in Large Language Models (LLMs) present a promising opportunity to democratize IaC development by generating deployable infrastructure templates from natural language descriptions. However, current evaluation focuses on syntactic correctness while ignoring deployability, the critical measure of the utility of IaC configuration files. Six state-of-the-art LLMs performed poorly on deployability, achieving only 20.8$\sim$30.2% deployment success rate on the first attempt. In this paper, we construct DPIaC-Eval, the first deployability-centric IaC template benchmark consisting of 153 real-world scenarios cross 58 unique services. Also, we propose an LLM-based deployability-centric framework, dubbed IaCGen, that uses iterative feedback mechanism encompassing format verification, syntax checking, and live deployment stages, thereby closely mirroring the real DevOps workflows. Results show that IaCGen can make 54.6$\sim$91.6% generated IaC templates from all evaluated models deployable in the first 10 iterations. Additionally, human-in-the-loop feedback that provide direct guidance for the deployability errors, can further boost the performance to over 90% passItr@25 on all evaluated LLMs. Furthermore, we explore the trustworthiness of the generated IaC templates on user intent alignment and security compliance. The poor performance (25.2% user requirement coverage and 8.4% security compliance rate) indicates a critical need for continued research in this domain.",,,,
4,LJA5AH6N,Comparative evaluation of large language models for test-skeleton generation,2025,conferencePaper,"This paper explores the use of Large Language Models (LLMs) to automate the generation of test skeletonsstructural templates that outline unit test coverage without implementing full test logic. Test skeletons are especially important in test-driven development (TDD), where they provide an early framework for systematic verification. Traditionally authored manually, their creation can be timeconsuming and error-prone, particularly in educational or large-scale development settings. We evaluate four LLMs-GPT-4, DeepSeek-Chat, Llama4-Maverick, and Gemma2-9Bon their ability to generate RSpec skeletons for a real-world Ruby class developed in a university software engineering course. Each model's output is assessed using static analysis and a blind expert review to measure structural correctness, clarity, maintainability, and conformance to testing best practices. The study reveals key differences in how models interpret code structure and testing conventions, offering insights into the practical challenges of using LLMs for automated test scaffolding. Our results show that DeepSeek generated the most maintainable and well-structured skeletons, while GPT-4 produced more complete but conventionally inconsistent output. The study reveals prompt design and contextual input as key quality factors.",,,,
5,AYGMC9Y4,"Analyzing the impact of prompt engineering on efficiency, code quality, and security in CRUD application development",2025,conferencePaper,"This research evaluates the capabilities of Large Language Models (LLMs) in generating CRUD applications using Python Flask framework, focusing on code quality, security, and UI design. The study analyzes five prominent LLMs: Claude 3.5 Sonnet, Gemini, GitHub Copilot, GPT-4, and Perplexity, through automated static code review tools including Code Factor, Codacy, and Code Scene. The evaluation reveals consistently high performance across models, with GitHub Copilot and Gemini achieving superior code health metrics (9.5-10.0) and 100% green code ratings. While all models maintained Grade A ratings in Code Factor, common security vulnerabilities, particularly in Flask debug mode configuration, persisted across implementations. UI evaluation through professional interviews indicated that while generated interfaces were functionally complete, they lagged behind human-designed UIs in aesthetic appeal. The research demonstrates that LLMs can automate 60-90% of CRUD development tasks, though human intervention remains essential for environment setup and security configuration. The findings suggest a shift toward human-AI hybrid development approaches, where entry-level developers can effectively manage LLM-generated code while focusing on strategic implementation decisions.",,,,
6,TUYBSBZ2,On the performance of large language models for code change intent classification,2025,conferencePaper,"Modern Code Review (MCR) is an essential practice in software engineering, supporting early defect detection, enhancing code quality, and fostering knowledge. To manage code review tasks effectively, developers need to understand the intent behind code changes, such as a bug fix, test, refactoring, or new feature. Traditional methods for categorizing code changes in MCR rely on rule-based heuristics with predefined keywords. However, these methods lack context regarding the code changes, leading to limited generalizability, particularly when dealing with sparsely documented changes. This paper addresses these limitations by investigating the potential of Large Language Models (LLMs) for changes' intent classification. We introduce LLM Change Classifier (LLMCC), an LLM-based approach that classifies code changes based on their underlying intent. We evaluate the effectiveness of LLMCC by conducting an empirical study on three open-source projects: Android, OpenS tack, and Qt. The performance of LLMCC was benchmarked against traditional heuristic methods, conventional machine learning algorithms (including Decision Trees and Random Forests), and state-of-the-art transformer models (including BERT and RoBERTa). Results show that LLMCC significantly enhances code change intent classification accuracy, achieving up to a 33 % improvement in F1 score over heuristic-based methods. Additionally, LLMCC outperformed both traditional machine learning and transformer models, achieving an average 77% improvement in terms of Matthew Correlation Coefficient (MCC). These findings underscore the potential of LLMCC to streamline code change intent classification.",,,,
7,TUE9R2PH,OpenPort protocol: a security governance specification for AI agent tool access,2026,journalArticle,"AI agents increasingly require direct, structured access to application data and actions, but production deployments still struggle to express and verify / For write operations, OpenPort specifies a risk-gated lifecycle that defaults to draft creation and human review, supports time-bounded auto-execution / AI agents, tool exposure, authorization, least privilege, risk-gated writes, drafts and approvals, rate limiting, auditability, protocol specification, / WebMCP, MCP, CHATGPT, CLAUDE, OPENCLAW, LLM, deepseek, qwen, AI, Artificial intelligence",,,,
8,NKII6YDD,When to delegate to artificial intelligence: a constrained resource optimization framework,2025,journalArticle,"As Artificial Intelligence (AI) systems reshape industries, organizations must decide how best to deploy finite human cognition while enhancing / This paper develops a unified framework for allocating limited cognitive resources between direct human tasks and the refinement of AI systems. / Artificial Intelligence, Resource Allocation, Constrained Optimization, Diminishing Returns, Strict Concavity, Bounded Rationality AMS subject classifications",,,,
9,FEJLI262,A decontextualized LLM-based safeguard technique for automated jailbreak mitigation,2025,journalArticle,"Emerging regulation (e.g., the EU AI Act) demands proactive controls that verify outputs before delivery. / AI Act and provider policies. / Ai, Compliance, Large Language Model, Jailbreak, Software",,,,
10,VCI88UZD,Human-certified module repositories for the AI age,2026,preprint,"Human-Certified Module Repositories (HCMRs) are introduced in this work as a new architectural model for constructing trustworthy software in the era of AI-assisted development. As large language models increasingly participate in code generation, configuration synthesis, and multi-component integration, the reliability of AI-assembled systems will depend critically on the trustworthiness of the building blocks they use. Today's software supply-chain incidents and modular development ecosystems highlight the risks of relying on components with unclear provenance, insufficient review, or unpredictable composition behavior. We argue that future AI-driven development workflows require repositories of reusable modules that are curated, security-reviewed, provenance-rich, and equipped with explicit interface contracts. To this end, we propose HCMRs, a framework that blends human oversight with automated analysis to certify modules and support safe, predictable assembly by both humans and AI agents. We present a reference architecture for HCMRs, outline a certification and provenance workflow, analyze threat surfaces relevant to modular ecosystems, and extract lessons from recent failures. We further discuss implications for governance, scalability, and AI accountability, positioning HCMRs as a foundational substrate for reliable and auditable AI-constructed software systems.",,,,
