seq,item_key,title,year,item_type,abstract,bin,centrality,reason_code,rationale
1,IZQGW3IU,,,statute,"Article 14 of Regulation (EU) 2024/1689 of the European Parliament and of the Council (the EU Artificial Intelligence Act) establishes requirements for human oversight of high-risk AI systems. It obliges providers to design systems enabling effective human monitoring and intervention, including the ability to understand capabilities and limitations, detect and address anomalies, override or interrupt system outputs, and ensure that human oversight persons have appropriate competence and authority.",,,,
2,MFSZPSPU,Towards a human-in-the-loop framework for reliable patch evaluation using an LLM-as-a-judge,2025,preprint,"Reliable evaluation is crucial for advancing Automated Program Repair (APR), but prevailing benchmarks rely on execution-based evaluation methods (unit test pass@k), which fail to capture true patch validity. Determining validity can require costly manual annotation. To reduce this cost, we introduce a human-in-the-loop approach to LLM-based patch validity judgment. Inspired by the observation that human judgment is better aligned when using a shared rubric, we first employ an LLM to generate a per-bug rubric, followed by a one-time human review and optional refinement to this rubric, and then employ an LLM to judge patches using the refined rubric. We apply this approach to assign binary validity labels to patches for issues found by Google sanitizer tools. Our results show that this approach yields substantial agreement with human consensus (Cohen's kappa 0.75), high recall (0.94) and high precision (0.80), when considering patches that have unanimous agreement from 3 human raters on the validity labels. On the full dataset including patches where human raters disagree, we find this approach can still be further improved (Cohen's kappa 0.57, recall 0.93, precision 0.65) and identify possible future directions.",,,,
3,WBFBCN9G,"Large language models in programming: a meta-analysis of tools, users, and human-computer interaction themes",2025,journalArticle,"The integration of Large Language Models (LLMs) such as OpenAI’s Codex and ChatGPT into programming environments has significantly transformed software development practices, influencing productivity, education, and user experience. This meta-analysis integrates findings from empirical studies and product-level evaluations of widely adopted commercial tools (e.g., GitHub Copilot, Amazon CodeWhisperer, Tabnine, Sourcegraph Cody) alongside innovative academic prototypes. We explore how different user groups, including novice programmers, expert developers, researchers, and computer science educators, engage with and experience these LLM-based programming tools. The synthesis highlights key human-computer interaction (HCI) themes including trust calibration, cognitive load management, interface modalities (inline versus chat interactions), and balancing automation with user control. While findings indicate substantial productivity benefits, improved workflow integration, and enhanced learning support, persistent challenges related to code correctness, user over-reliance, and ethical concerns remain significant. This integrated analysis offers comprehensive design recommendations and outlines implications for future development, research practices, and education. © 2025. Published by AHFE Open Access. All rights reserved.",,,,
4,JKLSQ57B,No skin in the game: why agentic AI requires principal-agent governance,2026,journalArticle,"The deployment of Agentic AI creates governance challenges that existing frameworks cannot adequately address. / The training pipeline of large language model-based Agentic AI produces these asymmetries: The pretraining process optimizes prediction over truth. / Agentic AI, AI Agents, AI Governance, LLM vulnerability, Principal-Agent Theory",,,,
5,QB7MGVK4,ECONOMICS OF AUTHORITY EoA #8 federated authority and inter-organizational AI execution the unsolved boundary problem and a dual-authorization mechanism,2026,journalArticle,"Authority framework described in EoA #7 establishes a durable, enforceable, predetermined authority layer that governs autonomous execution within a single organization / AI governance, federated systems, cross-organizational AI, AI accountability, enterprise AI, AI regulation, data sovereignty, interoperability",,,,
6,BEFM3MT6,AI in the software development lifecycle: insights and open research questions,2025,conferencePaper,"The rapid advancements in Artificial Intelligence (AI) and Large Language Models (LLMs) are reshaping software engineering and automating tasks such as code generation, debugging, testing, and maintenance. AI-powered tools (i.e. ChatGPT, DeepSeek), have demonstrated significant potential in enhancing developer productivity and accelerating software development processes. Integrating AI and LLMs into software engineering presents notable challenges despite these advancements. Concerns regarding the reliability of AI-generated code, security vulnerabilities, and the propagation of biases in training data pose substantial risks. Additionally, ethical considerations, including intellectual property rights, transparency, and the need for human oversight, highlight the complexities of AI adoption in critical software systems. The rapid evolution of these technologies requires continuous adaptation of software engineering methodologies to mitigate risks while maximizing benefits. This paper analyzes AI’s role in software engineering, identifying key applications, challenges, and future research directions. We examine AI’s impact across various phases of the software development lifecycle, This paper contributes to the ongoing discussion on AI-driven software engineering and outlines a research agenda for navigating this rapidly evolving field. © 2025 Copyright held by the owner/author(s).",,,,
7,3IH4PUPA,"Evaluating the impact of explainable artificial intelligence (XAI) techniques on trust, transparency, and decision-making accuracy in high-stakes machine learning applications",2026,journalArticle,"Explainable Artificial Intelligence (XAI) has emerged as a critical solution to address the opacity of complex models by providing human-interpretable / The findings highlight that while XAI can enhance transparency and foster informed human oversight, the effectiveness of explanations is highly context-dependent / Explainable Artificial Intelligence (XAI), Machine Learning Transparency, Algorithmic Trust, High-Stakes AI Systems, Decision-Making Accuracy, SHAP, LIME",,,,
8,XXRRYDKZ,"AI will replace functions, not persons: a function-level framework for AI integration in knowledge work",2026,journalArticle,"Developer, and Financial Analyst—and provide technology-agnostic architectural principles for deploying function specific AI agents with appropriate human / oversight. / Artificial Intelligence, Future of Work, Human-AI Collaboration, Task Automation, Knowledge Work, Organizational Design",,,,
9,LBBJ3LGD,LLM as a code generator in agile model driven development,2026,conferencePaper,"Leveraging Large Language Models (LLM) like GPT-4 in the auto-generation of code represents a significant advancement, yet it is not without its challenges. The ambiguity inherent in natural language descriptions of software poses substantial obstacles to generating deployable, structured artifacts. This research champions Model-Driven Development (MDD) as a viable strategy to overcome these challenges, proposing an Agile Model-Driven Development (AMDD) approach that employs GPT-4 as a code generator. This approach enhances the flexibility and scalability of the code auto-generation process and offers agility that allows seamless adaptation to changes in models or deployment environments. We illustrate this by modeling a multi-agent Unmanned Vehicle Fleet (UVF) system using the Unified Modeling Language (UML), significantly reducing model ambiguity by integrating the Object Constraint Language (OCL) for code structure meta-modeling, and the FIPA ontology language for communication semantics meta-modeling. Applying GPT-4’s auto-generation capabilities yields Java and Python code that is compatible with the JADE and PADE frameworks, respectively. Our thorough evaluation of the auto-generated code verifies its alignment with expected behaviors and identifies enhancements in agent interactions. Structurally, we assessed the complexity of code derived from a model constrained solely by OCL meta-models, against that influenced by both OCL and FIPA-ontology meta-models. The results indicate that the ontology-constrained meta-model produces inherently more complex code, yet its cyclomatic complexity remains within manageable levels, suggesting that additional meta-model constraints can be incorporated without exceeding the high-risk threshold for complexity. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.",,,,
10,ZJYYPLA7,Copilot-in-the-loop: fixing code smells in copilot-generated python code using copilot,2024,conferencePaper,"As one of the most popular dynamic languages, Python experiences a decrease in readability and maintainability when code smells are present. Recent advancements in Large Language Models have sparked growing interest in AI-enabled tools for both code generation and refactoring. GitHub Copilot is one such tool that has gained widespread usage. Copilot Chat, released in September 2023, functions as an interactive tool aimed at facilitating natural language-powered coding. However, limited attention has been given to understanding code smells in Copilot-generated Python code and Copilot Chat’s ability to fix the code smells. To this end, we built a dataset comprising 102 code smells in Copilot-generated Python code. Our aim is to first explore the occurrence of code smells in Copilot-generated Python code and then evaluate the effectiveness of Copilot Chat in fixing these code smells employing different prompts. The results show that 8 out of 10 types of code smells can be detected in Copilot-generated Python code, among which Multiply-Nested Container is the most common one. For these code smells, Copilot Chat achieves a highest fixing rate of 87.1%, showing promise in fixing Python code smells generated by Copilot itself. In addition, the effectiveness of Copilot Chat in fixing these smells can be improved by providing more detailed prompts.CCS CONCEPTS• Software and its engineering → Software maintenance tools.",,,,
