item_key,decision,confidence,rationale,prior_decision,prior_confidence
QJJ39LEG,discard,high,"Framework automates requirements engineering tasks with HITL validation — software-adjacent but the oversight mechanism is for RE artifact quality, not governance of AI-generated code or oversight scaling for code review.",maybe,medium
AEL4R9HU,discard,high,"Conceptual model for embedding GenAI into organizational decision architecture — provides decision authority framing but no operationalizable mechanism; business strategy abstraction without software/DevSecOps specificity.",maybe,medium
HGJKZM6W,discard,high,"Empirical survey classifying RAI practices by organizational maturity under EU AI Act — describes what firms do but provides no governance mechanism for AI-generated code; general business practices without SE-specific contribution.",maybe,medium
XXUVA5JU,discard,high,"LLM framework automates BDD test generation with HITL for stakeholder validation — testing productivity tool where HITL validates test artifacts, not governance of AI-generated production code or oversight scaling.",maybe,medium
H9476IZF,discard,high,"Four LLM-driven BPM use cases with auditable workflows in manufacturing, pharma, modeling, and textile design — all four domains are non-software; mechanisms would require substantial re-derivation for code review context.",maybe,medium
LMJ2VUXH,discard,medium,"Governance pathways (provenance tagging, HITL, auditing) for AI-generated content quality are transferable concepts but paper anchors entirely in creative industries and management — domain translation to code governance is non-trivial.",maybe,medium
XDRGCG6V,discard,high,"Multi-layered governance architecture with GNN/LLM anomaly reasoning and HITL for financial fraud detection — mechanisms are deeply domain-specific to financial transaction patterns with no structural parallel to code review.",maybe,low
EZ2YGNSM,discard,high,"Frames enterprise AI adoption as systemic strategic risk requiring organizational control systems — high-level risk categorization without software/DevSecOps specificity or actionable governance mechanism for code teams.",maybe,medium
4F5PX7PE,keep,medium,"Field experiment measuring automation bias when humans vet AI outputs — empirical findings on human-AI decision dynamics and situational automation bias directly inform how to structure HITL oversight in any domain including code review.",maybe,medium
JW4GVHIG,discard,high,"Theoretical analysis of cognitive vigilance burden and accountability decoupling under AI delegation — captures the oversight problem conceptually but provides no operational measurement method or governance mechanism.",maybe,medium
RNGYBTS7,discard,medium,"AI governance maturity model with lifecycle traceability for enterprise/government — operationalizable framework structure but abstract lacks any software/DevSecOps focus; would require substantial adaptation for code governance.",maybe,medium
EVZAIJTY,discard,low,"Methods for evaluating generative AI including memorization quantification could inform code generation risk assessment, but abstract conflates technical evaluation with copyright legal scholarship leaving operational scope unclear.",maybe,medium
6JSXPFZ7,discard,medium,"Survey of AI ethics operationalization progress and auditing tools — abstract is keywords only with no detail confirming software-specific applicability or actionable mechanism for code governance.",maybe,medium
MI86B4XX,discard,low,"LLM generates BDD artifacts merged via human PR review with measured efficiency gains — demonstrates working HITL for AI-generated software artifacts but contribution is productivity measurement, not governance framework or risk assessment.",maybe,medium
HNM5GF5D,discard,high,"AI ethics assessment blueprint with KPIs mapped to ethics frameworks — explicitly operationalizable but targets general AI ethics across all sectors; pilot is generative AI in education, not software engineering.",maybe,medium
Y86E5WF5,discard,medium,"Literature review synthesizing GenAI across Agile phases identifies security vulnerabilities and calls for human oversight frameworks — software context but no original governance mechanism; future research direction rather than present contribution.",maybe,medium
```
