item_key,title,abstract,authors,year,item_type,sources,source_queue
J4XAMJAE,When AI governs the state: a NIST-guided framework for managing generative AI risk in U.S. public institutions,"studies of automation bias, human-AI interaction, and deskilling to state that governance should predate innovation. / In the absence or feebleness of governance, innovation silently constitutes governance by implementing unquestioned value selections into automated procedures / Generative AI, Government Governance, NIST AI RMF, Automation Bias, Knowledge in an Organization, California SIMM, AI Risk Management",Rayve Manu Malhotra,2025,journalArticle,ssrn,keep_queue
A6QYNZ5R,"When we outsourced thinking: AGI, oversight, and the business of artificial intelligence","oversight capacity are converging toward a critical failure condition the author terms the Safety Inversion: the point at which the systems most requiring human oversight will be evaluated by populations measurably less equipped to provide it. Artificial General Intelligence, AI Safety, Cognitive Outsourcing, Human Oversight, PIAAC, Persistent Memory, AI Governance, Safety Inversion, Digital Transformation SSRN Classification: Artificial Intelligence -Law, Policy, & Ethics, Information Technology & Systems, Science, Technology &",Glenn Rowe,2026,journalArticle,ssrn,keep_queue
TCKV3IKN,"Hallucination in generative artificial intelligence: challenges, causes, and mitigation strategies","This phenomenon poses significant challenges for reliability, trust, and safe adoption of generative AI systems. / nbsp;


Finally, the paper surveys existing and emerging mitigation strategies, such as retrieval-augmented generation, human-in-the-loop / Finally, the paper surveys existing and emerging mitigation strategies, such as retrieval-augmented generation, human-in-the-loop / Generative Artificial Intelligence, AI Hallucination, Large Language Models, AI Reliability, Trustworthy AI, AI Safety, AI Ethics, AI Governance",Himanshu Saxena,2025,journalArticle,ssrn,keep_queue
32GIHF3E,A unified intelligence-augmented framework for building audits via physical and virtual inspection,"The pipeline leverages human-AI collaboration for building inventory tasks, such as geometry measurement, visual inspection, and hazard inference. / By aligning machine learning capabilities with domain requirements, this research establishes a foundation for designing and implementing a scalable, human-in-the-loop",Pei-Yu Wu; Mennatallah El-Assady; Catherine De Wolf,2025,journalArticle,ssrn,maybe_queue
MBKP4DCY,The widespread adoption of large language model-assisted writing across society,,Liang; Zhang; Codreanu; Wang; Cao,2025,journalArticle,cao|wos,keep_queue
J6EK92AF,A systematic review and analysis of ethical challenges of generative ai: an interdisciplinary perspective,AI. / This urgent analysis advocates for thoughtful responses to the ethical concerns raised by generative AI.,Mousa Al-kfairy; Dheya Mustafa; Nir Kshetri; Mazen Insiew; Omar Alfandi,2024,journalArticle,ssrn,maybe_queue
7NMPU5Z8,Keeping ChatGPT a trade secret while selling it too,"However, based on decades of precedents established for software, generative AI companies will be able to rely on trade secret law instead-maintaining / This is what many companies did with closed-source software, and this is what developers of some generative AI models-including ChatGPT-are doing today / trade secrets, AI, ChatGPT, generative AI, intellectual property, patents, secrecy, contracts, noncompetes, non-compete agreements, confidentiality agreements",Camilla Alexandra Hrdy,2024,journalArticle,ssrn,maybe_queue
MDBC4DRK,Understanding how super-intelligent AI systems pose risks and raise complex ethical dilemmas,"This paper explores the multifaceted ethical and legal concerns of super-intelligent artificial intelligence (AI) systems, emphasizing emerging risks and / It begins by analyzing the 2021 EU Artificial Intelligence Act and its classification of AI into four risk categories, highlighting the restrictions imposed",Benjamin Batte,2025,journalArticle,ssrn,keep_queue
YFCXCC74,The juridical and ontological crisis of the artificial mind: a theoretical analysis of AI in clinical decision-making and social governance,"The paper concludes that the 'human in the loop' risks reduction to a ritualistic liability transfer mechanism, and proposes a shift from individual negligence / to enterprise liability, mandatory explainability thresholds for clinical AI, and a reconceptualisation from 'human in the loop' to 'human on the loop / Artificial Intelligence, Medical Negligence, Algorithmic Governance, Philosophy of Mind, Informed Consent, Liability Gap, Explainable AI, Foucault, Pearl",Daniela Oehring,2026,journalArticle,ssrn,keep_queue
LDVXFBJP,Quantum-fractal neurosymbolic governance (Q-FENG): a cybernetic architecture for ontological friction mitigation in sociotechnical systems of critical infrastructure,"The deployment of AI systems in critical public infrastructure-from healthcare resource allocation to regulatory compliance-has produced a systemic governance / Existing governance approaches-including risk management frameworks (NIST AI RMF, ISO 42001), static guardrails, and post-hoc auditingintervene only after / Neurosymbolic AI, AI Governance, Quantum Decision Theory, Viable System Model, Cybernetics, dPASP, Ontological Friction, EU AI Act, Public Health",Ricardo Da Silva Kaminski,2026,journalArticle,ssrn,maybe_queue
