item_key,title,abstract,authors,year,item_type,sources,source_queue
3HB47RXP,Unpacking copyright infringement issues in the GenAI development lifecycle and a peek into the future,"Generative AI (“GAI”) refers to deep learning models that ingest input data and “learn” to produce output that mimics such data when duly prompted. / , TDM and fair use exceptions (where available) may yet exonerate developers from copyright liability under the right conditions. / Generative AI (GenAI), Training GenAI, Copyright infringement, Memorisation, Text and data mining (TDM) exception, Fair use exception, Fair compensation",Cheng Lim Saw; Bryan Zhi Yang Tan,2025,journalArticle,ssrn,maybe_queue
2XV8ZVM8,Multi-agent teams hold experts back,"Multi-agent LLM systems are increasingly deployed as autonomous collaborators, where agents interact freely rather than execute fixed, pre-specified workflows. In such settings, effective coordination cannot be fully designed in advance and must instead emerge through interaction. However, most prior work enforces coordination through fixed roles, workflows, or aggregation rules, leaving open the question of how well self-organizing teams perform when coordination is unconstrained. Drawing on organizational psychology, we study whether self-organizing LLM teams achieve strong synergy, where team performance matches or exceeds the best individual member. Across human-inspired and frontier ML benchmarks, we find that -- unlike human teams -- LLM teams consistently fail to match their expert agent's performance, even when explicitly told who the expert is, incurring performance losses of up to 37.6%. Decomposing this failure, we show that expert leveraging, rather than identification, is the primary bottleneck. Conversational analysis reveals a tendency toward integrative compromise -- averaging expert and non-expert views rather than appropriately weighting expertise -- which increases with team size and correlates negatively with performance. Interestingly, this consensus-seeking behavior improves robustness to adversarial agents, suggesting a trade-off between alignment and effective expertise utilization. Our findings reveal a significant gap in the ability of self-organizing multi-agent teams to harness the collective expertise of their members.",Pappu; El; Cao; Nolfo; Sun,2026,preprint,cao|wos,keep_queue
US4QK5NK,Automated decision-making in UK SMEs: operational compliance challenges under article 22 UK GDPR,"application of Article 22 of the UK GDPR and identifies compliance gaps created by vendor opacity, limited audit visibility, and the absence of structured human / review processes. / automated decision-making, UK GDPR, , article 22, SME compliance, algorithmic governance, data protection regulation, ai accountability.",Daramola Joseph Omoyele,2026,journalArticle,ssrn,keep_queue
MUPCFD96,"The wretched and the machine: work, meaning, and the political economy of artificial intelligence","Artificial Intelligence, Political Economy, Labor Displacement, Developing Economies, Peru, Algorithmic Governance, AI Regulation, Work and Meaning",Jesus Fernando Vargas Humani,2026,journalArticle,ssrn,maybe_queue
NTVIURHC,"Artificial intelligence, legal professional negligence and the rise of AI-covered indemnity risk","The paper explores how Artificial Intelligence (AI), especially generative AI, is influencing lawyer professional negligence, focusing on changes to the / With AI increasingly prevalent in legal practice, liability may arise from either failing to use these tools or employing them incorrectly.",Anurag Bana,2026,journalArticle,ssrn,keep_queue
AWT7Q84R,The paradox validation protocol: a transparency framework for arrow's impossibility theorem,"PVP™ bridges Arrow’s theorem with Gödelian logic, offering real-world applications in governance, auditing, AI alignment, and ethical system design — domains",Tawan Wetayavigromrat,2025,journalArticle,ssrn,maybe_queue
QSJ5YBX4,Revisiting big data optimism: risks of data-driven black box algorithms for society,"This paper critically examines the growing use of big data algorithms and AI in science, society, and public policy. While these tools are often introduced with the goal of increasing efficiency, the results do not always lead to greater empowerment or fairness for individuals or communities. Persistent issues such as bias, measurement error, and over-reliance on prediction can undermine success and produce outcomes that are neither fair nor transparent, especially when automated decisions replace human judgment. Beyond technical limitations, the widespread use of data-driven methods also shapes the distribution of power, influences public trust, and raises questions about the health of techno-socio-economic institutions. We argue that the pursuit of optimality cannot succeed without careful evaluation of ethical risks and societal side effects. Responsible innovation demands open standards, ongoing scrutiny, and a focus on human values alongside technical performance. Our goal is to encourage a fundamental reorientation of the big data paradigm away from a focus on short-term optimization and towards a framework of “systemic resilience” and “participatory oversight” or even co-creation. We propose specific pathways to achieve this, arguing that responsible innovation requires considering complexity science while integrating constitutional and cultural values to achieve technologies that are not just efficient, but symbiotic with human self-organization. © The Author(s) 2026.",Mahajan; Helbing,2026,journalArticle,,keep_queue
FPRP7Y8D,Demystifying AI for the workforce: the role of explainable AI in worker acceptance and management relations,"In the digital era, organizations are increasingly leveraging artificial intelligence (AI) to optimize their operations and decision-making. However, the opaqueness of AI processes raises concerns over trust, fairness, and autonomy, especially in the gig economy, where AI-driven management is ubiquitous. This study investigates how explainable AI (xAI), through the comparative use of counterfactual versus factual and local versus global explanations, shapes gig workers’ acceptance of AI-driven decisions and management relations, drawing on cognitive load theory. Using experimental data from 1107 gig workers, we found that both counterfactual (relative to factual) and local (relative to global) explanations increase the acceptance of AI decisions. However, the combination of local and counterfactual explanations can overwhelm workers, thereby reducing these positive effects. Furthermore, worker acceptance mediated the relationship between xAI explanations and management relations. A follow-up study using a simplified scenario and additional procedural controls confirmed the robustness of these effects. Our findings underscore the value of carefully tailored xAI in fostering equitable, transparent, and constructive organizational practices in digitally mediated work environments. © 2025 Society for the Advancement of Management Studies and John Wiley & Sons Ltd.",Yang; Lu; Cooke,2026,journalArticle,,maybe_queue
J8CVB9HI,"When AI fails, who do we blame? Attributing responsibility in human-AI interactions","While previous studies of trust in artificial intelligence have focused on perceived user trust, the paper examines how an external agent (e.g., an auditor) assigns responsibility, perceives trustworthiness, and explains the successes and failures of AI. In two experiments, participants (university students) reviewed scenarios about automation failures and assigned perceived responsibility, trustworthiness, and preferred explanation type. Participants' cumulative responsibility ratings for three agents (operators, developers, and AI) exceeded 100%, implying that participants were not attributing trust in a wholly rational manner, and that trust in the AI might serve as a proxy for trust in the human software developer. Dissociation between responsibility and trustworthiness suggested that participants used different cues, with the kind of technology and perceived autonomy affecting judgments. Finally, we additionally found that the kind of explanation used to understand a situation differed based on whether the AI succeeded or failed. © 2020 IEEE.",Schoenherr; Thomson,2024,journalArticle,wos,keep_queue
Y2C5NBTX,The new frontier: regulating artificial intelligence in Singapore,"It goes on to posit the future direction of AI regulation and governance in Singapore, highlighting key considerations that must be taken into account / Artificial Intelligence, Technology, Regulation, Risk, AI Governance, Regulatory Theory",Noah Lim; Kay Shin Tan,2026,journalArticle,ssrn,keep_queue
