item_key,decision,confidence,rationale
XZK6TTQP,discard,medium,"Abstract is too thin to assess operationalizability, and the organizational AI adoption framing suggests change management focus without a software-specific governance or oversight mechanism."
N3C6GQ7F,discard,high,"Domain-specific governance framework for financial regulators overseeing algorithmic credit scoring; no software engineering or code governance angle."
QZIJERMG,discard,high,"General AI bias/fairness legal review without operational mechanism for software engineering governance; human oversight is mentioned only as an EU AI Act compliance requirement."
P98IH47I,discard,high,"MNC strategic AI decision-making case study focused on business outcomes and over-reliance risks; no software/code governance angle despite generic governance recommendations."
3DPMH9VL,discard,high,"Non-software HITL in aviation domain (single pilot operations); trust and complacency findings don't transfer to code review without substantial domain re-derivation."
RHDN5JQ3,discard,high,"ML alignment paper focused on training-time reward structure, not on runtime governance, oversight mechanisms, or software engineering risk management."
QQSEGEUB,discard,high,"General AI ethics and governance guidance brief with a multi-tiered framework; no software development, DevSecOps, or code governance angle."
Y45IBT5Q,discard,high,"Blockchain transparency mechanism for GenAI decision-making opacity; no connection to software engineering governance or code review context."
63R44352,discard,high,"Descriptive comprehensive review of AI regulation weighing ethics against innovation; no operational mechanism for software engineering risk management."
5WVXZ6H5,discard,high,"General AI ethics commentary focused on human dignity and institutional governance with no operational mechanism applicable to software engineering teams."
MJDUMWUX,maybe,medium,"Clause-level compliance passporting across EU AI Act/NIST/ISO is operationalizable, but the abstract does not confirm software engineering or DevSecOps applicability despite potential relevance to teams managing AI regulatory compliance."
TI4RF68X,keep,high,"SLR synthesizes LLM integration risk mitigation strategies across SDLC phases including code generation, testing, and CI/CD, directly operationalizable for software engineering teams governing AI adoption at scale."
CCPX4XZ9,discard,medium,"EU AI Act GPAI governance analysis focused on regulatory incompleteness, human capital, and environmental impacts; no software engineering or code governance connection."
A8FUW44D,keep,high,"Empirical workshop study with 22 professional software engineers identifies human oversight requirements, role allocation challenges, and security considerations when using AI for code generation."
NEAJDBWA,discard,high,"Legal theory on AI personhood for agentic systems; no operational mechanism for software engineering governance or code oversight."
VIFISPV4,discard,high,"Organizational management theory for structural stability with AI governance platforms mentioned incidentally; no software or code engineering angle."
9WXT2ID6,discard,high,"EU AI Act constitutional and normative analysis without engagement with software system compliance implications or code governance."
MCLBW4ZR,discard,high,"HITL agentic workflow for CAD/geometric modeling in manufacturing; domain-specific with no transferable mechanism to software code review contexts."
PPTEB7TI,keep,medium,"Examines how AI-AI auditability configurations erode human judgment and reshape trust, directly applicable to governance design where AI tools review AI-generated code."
L9XSU8JH,discard,high,"General regulatory theory about governing digital technology with no actionable mechanism for software engineering organizations managing AI-generated code."
ERTAIL7R,discard,high,"Regulatory framework for GenAI platform copyright (DMCA, EU AI Act) focused on creative content IP; no software code governance angle."
QQTVPFWE,discard,high,"Meta-analysis of AI governance metaphors and their policy implications; no operational mechanism for software engineering organizations."
VH7JAZ5E,discard,high,"Structural persuasion and text governance theory; AI governance compliance mentions are incidental with no software or code engineering angle."
KAIALY7B,discard,medium,"Risk management framework for agentic AI in commercial purchasing contexts; limited human oversight is a relevant theme but the domain is too specific for direct transfer to software engineering governance."
M8S5W77R,discard,high,"Counter-framework for algorithmic contestation focused on democratic and participatory governance; no operational mechanism for software engineering oversight."
ZNHBKYGV,discard,high,"Copyright analysis for AI-assisted creative content under EU and US law; no software code governance angle."
SUY5T39G,discard,high,"Legal and commercial framework for AI-generated music copyright; creative content domain with no code angle."
EDQYSVF4,discard,high,"Constitutional and legal analysis of GenAI epistemic harms under First Amendment; no software engineering governance angle."
Z73A5LTJ,discard,high,"AI governance reframed as labor market equilibrium management; institutional lag focus with no software or code engineering application."
DXJUZYDX,discard,high,"EU AI Act compliance support measures for SMEs in AI development; no software-specific code governance or risk measurement mechanism."
WBD54YA5,discard,high,"Enterprise AI governance framework analyzed for performance and resilience outcomes; productivity-focused without risk, oversight, or code governance angle."
PD6DQ9TG,discard,high,"Multi-agent systems normative constraints and knowledge transfer theory; no governance mechanism applicable to software engineering code oversight."
J2LP5JRB,discard,medium,"Copilot vs. Autopilot LLM framework demonstrates human oversight value in environmental modeling, but the domain (hydrological modeling) requires significant re-derivation to apply to software engineering contexts."
WYL7N9W9,discard,high,"Copyright authorship theory for GenAI creative content grounded in neuroscience; no code governance angle."
8EEKFTQL,keep,high,"Characterizes verification bias in human supervision of machines—where belief updates occur only when the human acts on a task—providing a directly applicable mechanism for understanding oversight failures in AI code review."
FNYHYWT2,discard,high,"Political economy analysis of big tech power concentration in AI; no operational mechanism for software engineering governance."
884ERQST,maybe,medium,"Responsibility allocation framework across the GenAI supply chain (developer/deployer/user) is operationalizable and maps to software AI tool governance, but the paper is primarily legal analysis of existing terms-of-service rather than engineering practice."
