item_key,decision,confidence,rationale
RQU3CPU6,discard,high,"Legal personhood as AI governance instrument addresses AGI responsibility gaps with no software engineering or code angle."
PQV7HI4S,discard,high,"Global AI governance framed through political science and international relations with no software or code connection."
DEM6NUGX,discard,high,"Gen AI for telecom customer complaint handling is a domain-specific deployment case with no software engineering governance angle."
CCK5J3JH,discard,high,"CLO governance and AI-driven product risk analysis focuses on legal organizational roles without software engineering or code angle."
5DI9B43K,keep,high,"Formal verification method for automatically validating LLM code reasoning steps directly reduces manual developer verification burden in code review contexts."
ZYWHNXIT,keep,high,"Cross-model empirical evaluation quantifies CWE vulnerability rates under six prompting strategies using two static analysis tools — operationalizable for org-level secure code generation policy."
VCI7FSVP,maybe,medium,"Technical transpilation of EU AI Act obligations (logging, human oversight) into computable clauses could transfer to software pipeline compliance, but whether the target systems are software development pipelines is unresolvable from the abstract."
C2NGCKRZ,discard,medium,"DPIA methodology for AI adoption in SMEs addresses regulatory compliance process but not software engineering code governance or AI-generated code risk specifically."
LWRI8XZK,discard,high,"Reconceptualizing reproduction rights for AI training data is a creative content copyright argument with no code generation or software engineering angle."
5FIURLK2,discard,high,"Survey of LLM post-training techniques (RLHF, DPO, instruction tuning) addresses model development methodology with no software engineering governance or oversight angle."
KUZLUKQF,discard,high,"Lab experiment on AI agent team trust, satisfaction, and conflict operates in virtual team collaboration domain with no code review or software oversight angle."
AGHKYDSJ,discard,medium,"HITL agentic framework targets UI design workflow with LLMs; the loop is UI design iteration, not code governance or code review oversight."
F4U3MQ7N,maybe,medium,"EU AI Act compliance framework covering planning, development, and post-market phases could apply to software engineering orgs, but abstract does not confirm scope extends to software development pipelines specifically."
5NY5HVNV,keep,high,"Empirical two-phase qualitative study finds LLM-assisted code review disrupts collective accountability mechanisms — directly operationalizable for software engineering teams adopting AI review tooling."
5K2F6QZZ,discard,high,"Copyright policy comments on AI training dataset transparency focus on IP and data investigation tools with no software engineering governance or code generation angle."
Q9BL4SXH,discard,high,"Plural governance design for public decision-making via quadratic funding has no software engineering or code oversight connection."
R233Z3FN,keep,medium,"Empirical evaluation quantifies when LLM-generated code diversity and correctness improve N-version programming reliability — operationalizable finding for fault-tolerant AI-assisted software development, though NVP context limits directness."
45HAKLMU,discard,high,"Framework for identity stability and collapse-free reasoning in advanced LLMs addresses AGI alignment philosophy with no software engineering governance angle."
QTCISRQP,discard,high,"AI governance in city administrations is a public-sector domain study with no software engineering or code connection."
9SWGI2RY,keep,low,"Addresses AI model backdoor detection with named tools (Neural Cleanse, STRIP) and EU AI Act audit compliance, but the one-sentence abstract prevents confirming operationalizable methodology scope for software engineering orgs."
7U3UTYLM,discard,high,"Regional social impact study of AI adoption generational divide with no software engineering governance or code angle."
SY3EG4BR,keep,high,"Large-scale empirical study quantifies typosquatting threats in Hugging Face ecosystem across 1M+ models with malicious intent classification — directly operationalizable for software supply chain security governance."
RNS7K946,discard,medium,"Philosophical examination of AI anthropomorphism and automation bias in human-AI interaction lacks an operationalizable mechanism transferable to software engineering oversight."
YBI4K3YX,discard,high,"Game-theoretic model of US-EU AI regulatory competition addresses macroeconomic policy with no software engineering governance angle."
