item_key,title,abstract,prior_decision,prior_confidence,prior_rationale,source_queue
FRVGRNQA,ChatGPT and Open-AI Models: A Preliminary Review,,discard,low,Preliminary review with no abstract provided — insufficient information to assess relevance or operationalizability.,maybe_queue
LBWH5PTC,Minimal ethical governance (MEG) for artificial intelligence,"Abstract: This document introduces the Minimal Ethical Governance (MEG), a universal technical and legal standard designed to address the global / governance challenges of Artificial Intelligence. / AI Governance, AI Ethics, AI Safety, Technical Standard, Trustworthy AI, AI Regulation, AI Certification, AI Audit, AI Regulation, Minimal Ethical Governance",maybe,medium,"Universal AI governance standard with audit and certification mechanisms could apply to software AI systems, but the abstract does not specify software or code applicability and transferability requires argument.",keep_queue
NZ36ZISH,Human-AI collaboration models in organizational decision-making,"The integration of artificial intelligence (AI) into organizational decision-making has transformed how businesses analyze data, forecast trends, and allocate / This study contributes to organizational theory by providing a framework for deploying AI in decision-making while maintaining human oversight and accountability",maybe,medium,Framework for human-AI collaboration in organizational decision-making with explicit human oversight and accountability components — transferability to software engineering org governance is plausible but requires domain argument not resolvable from abstract.,keep_queue
E8ZDG9MY,Agentic AI governance in SAP finance: a new control paradigm for autonomous enterprises,"As enterprise finance functions increasingly adopt artificial intelligence for automation, forecasting, and decision-making, a new class of risk / As enterprise finance functions increasingly adopt artificial intelligence for automation, forecasting, and decision-making, a new class of risk / The framework defines governance layers across agent design, financial decision boundaries, explainability requirements, human-in-the-loop escalation, / Agentic AI, AI Governance, SAP S/4HANA Finance, Autonomous Finance Systems, Financial Controls, Explainable AI in Finance, Enterprise Risk Management, / CFO Leadership, AI Auditability, Intelligent Finance Architecture, SAP Finance Governance",maybe,medium,"Agentic AI governance framework for SAP finance includes HITL escalation, agent design boundaries, and explainability layers that have structural parallels to software agent governance, but finance domain specificity requires explicit transferability argument.",keep_queue
BAQXVTG8,Inside the scaffold: a source-code taxonomy of coding agent architectures,"LLM-based coding agents can localize bugs, generate patches, and run tests with diminishing human oversight, yet the scaffolding code that surrounds the language model (the control loop, tool definitions, state management, and context strategy) remains poorly understood. Existing surveys classify agents by abstract capabilities (tool use, planning, reflection) that cannot distinguish between architecturally distinct systems, and trajectory studies observe what agents do without examining the scaffold code that determines why. This paper presents a source-code-level architectural taxonomy derived from analysis of 13 open-source coding agent scaffolds at pinned commit hashes. Each agent is characterized across 12 dimensions organized into three layers: control architecture, tool and environment interface, and resource management. The analysis reveals that scaffold architectures resist discrete classification: control strategies range from fixed pipelines to Monte Carlo Tree Search, tool counts range from 0 to 37, and context compaction spans seven distinct strategies. Five loop primitives (ReAct, generate-test-repair, plan-execute, multi-attempt retry, tree search) function as composable building blocks that agents layer in different combinations; 11 of 13 agents compose multiple primitives rather than relying on a single control structure. Dimensions converge where external constraints dominate (tool capability categories, edit formats, execution isolation) and diverge where open design questions remain (context compaction, state management, multi-model routing). All taxonomic claims are grounded in file paths and line numbers, providing a reusable reference for researchers studying agent behavior and practitioners designing new scaffolds.",maybe,medium,"Source-code-level taxonomy of 13 coding agent scaffolds characterizes architectural dimensions (control loops, tool isolation, context compaction) relevant to oversight design, but contribution is descriptive without a governance mechanism — transferability depends on how the taxonomy is used.",maybe_queue
MCP8IBR2,"Dimind-hope: a hierarchical, human-guided cognitive AI architecture for safe and scalable agent systems author",") layer, the Compile layer for verification, and the downstream execution layers composed of memory-enabled and action-oriented AI agents. / The architecture embraces zero autonomous decision-making at critical layers, instead enabling adaptive rule compilation, dynamic code generation, and / Cognitive AI Architecture, Human-in-the-Loop Systems, AI Governance, Core-AI Leadership, Agent Safety, Secure AI Design, Dimind-Hope, Autonomous Agent",maybe,medium,Hierarchical human-guided architecture with zero-autonomous-decision principle and dynamic code generation capability is plausibly transferable to AI code governance but domain application is not explicitly software engineering,keep_queue
X7FVXLCR,Regulating ChatGPT and other large generative AI models,"Large generative AI models (LGAIMs), such as ChatGPT, GPT-4 or Stable Diffusion, are rapidly transforming the way we communicate, illustrate, and create. However, AI regulation, in the EU and beyond, has primarily focused on conventional AI models, not LGAIMs. This paper will situate these new generative models in the current debate on trustworthy AI regulation, and ask how the law can be tailored to their capabilities. After laying technical foundations, the legal part of the paper proceeds in four steps, covering (1) direct regulation, (2) data protection, (3) content moderation, and (4) policy proposals. It suggests a novel terminology to capture the AI value chain in LGAIM settings by differentiating between LGAIM developers, deployers, professional and non-professional users, as well as recipients of LGAIM output. We tailor regulatory duties to these different actors along the value chain and suggest strategies to ensure that LGAIMs are trustworthy and deployed for the benefit of society at large. Rules in the AI Act and other direct regulation must match the specificities of pre-trained models. The paper argues for three layers of obligations concerning LGAIMs (minimum standards for all LGAIMs; high-risk obligations for high-risk use cases; collaborations along the AI value chain). In general, regulation should focus on concrete high-risk applications, and not the pre-trained model itself, and should include (i) obligations regarding transparency and (ii) risk management. Non-discrimination provisions (iii) may, however, apply to LGAIM developers. Lastly, (iv) the core of the DSA's content moderation rules should be expanded to cover LGAIMs. This includes notice and action mechanisms, and trusted flaggers. © 2023 Owner/Author.",maybe,medium,LGAIM regulatory framework with layered obligations and risk management applicable to AI coding tool deployers but focus is general LGAIM regulation without explicit software development or engineering org angle,keep_queue
TUFL384M,When ai lies: who's liable?,"Artificial Intelligence (AI) has seamlessly integrated into daily life, particularly through Large Language Models (LLMs) like ChatGPT, Gemini and others / This paper examines the legal implications of such hallucinations in the Indian context, questioning developer liability under existing regimes such as / Legal hallucination, Artificial Intelligence, Developer Liability, AI Accountability, AI Regulation",maybe,medium,Developer liability for AI hallucinations could transfer to code generation liability analysis but the abstract does not address code specifically and Indian law jurisdiction limits generalizability,keep_queue
MVEPLDXY,An operator-projection framework for structural risk assessment in advanced AI systems,"analysis, operator algebra, idempotent projectors, mesaoptimization, deceptive alignment, representation drift, interpretability, alignment fixed-points, scalable / oversight",maybe,medium,"Formal operator-projection framework for structural risk assessment in AI systems explicitly includes scalable oversight, but mathematical formalism (idempotent projectors, mesaoptimization) requires substantial translation to become actionable for software teams.",keep_queue
KHB3LUSH,A proposed technical reference framework for structural admissibility in high-integrity AI systems,"Ai Alignment, Deterministic Governance, Structural Nullity, Human Agency Sovereignty, Hardware-Level Security, Lexarynova Architecture, Reality Token Protocol",discard,low,Thin abstract consisting almost entirely of keywords; proposed framework for high-integrity AI with hardware-level security and human agency sovereignty — insufficient detail to assess software engineering transferability.,maybe_queue
