item_key,decision,confidence,rationale,prior_decision,prior_confidence
8R9TKC2I,discard,high,"No abstract available; cannot assess operationalizability without content and title suggests general AI ethics discussion without actionable mechanism",discard,low
MDTBNGDC,keep,medium,"Federated observability architecture for multi-agent agentic AI systems provides directly applicable monitoring infrastructure for AI coding agents at scale; observability is a prerequisite for governance",maybe,medium
9LSVAEIL,keep,medium,"Operational architecture integrating EU AI Act/NIST/ISO 42001 with empirical auditability improvements is directly adoptable by software organizations for AI tool compliance without re-derivation",maybe,medium
QGFVHN46,discard,medium,"Law firm governance framework requires substantial domain re-derivation for software engineering contexts; the 'what AI replaces vs produces' principle is interesting but the implementation framework is domain-bound",maybe,medium
8BPVBQ2H,keep,medium,"Reference architecture addressing SE pipeline challenges (bias propagation, security vulnerabilities) with HITL reinforcement directly addresses governance of AI systems in software development contexts",maybe,medium
NGIH5T4C,keep,medium,"Directly addresses AI-enhanced code review with explicit human oversight angle and case examples from tech firms; even as survey the case studies provide actionable reference points for practitioners",maybe,medium
3IH4PUPA,keep,medium,"Empirical evaluation of XAI techniques for trust calibration in human oversight provides measurement methodology transferable to code review contexts; context-dependence finding itself is operationalizable",maybe,medium
KNX6AJCH,discard,medium,"Theoretical model for organizational knowledge credibility requires substantial re-derivation for code governance; evidence graphs concept is interesting but the paper's focus on knowledge credibility not code provenance",maybe,medium
778DRS29,discard,medium,"Abstract contains only keywords; cannot identify operationalizable mechanism or methodology despite relevant-sounding terminology about AI governance in software development",maybe,low
K8PJIPQJ,keep,low,"Claims reproducible AI auditing and bias detection infrastructure validated empirically; sparse abstract but empirical validation framing and practical/reproducible language suggest operationalizability worth verifying",keep,low
ZT2YAEN9,discard,high,"Conceptual framing about 'living enterprises' and 'probabilistic' governance without identifiable operationalizable mechanism; reads as thought leadership rather than actionable framework",maybe,low
GBGN236Z,discard,medium,"Pharmaceutical regulatory context (GxP, clinical trials) requires substantial re-derivation for software engineering; the 'governance as trust infrastructure' concept is too abstract without domain-specific implementation",maybe,medium
BE3RJELK,discard,medium,"Entropy/cybernetics framing without identifiable operationalizable mechanism; 'actionable guidance' claim not substantiated in abstract with concrete measures or methods",maybe,low
8I9VS22E,keep,medium,"Algorithmic impact assessment frameworks are directly adoptable governance mechanisms for software organizations evaluating AI coding tools; institutional design perspective informs implementation",maybe,medium
SD744UB3,keep,medium,"Empirical measurement of compliance readiness (19% finding) provides benchmarking methodology and baseline; software organizations can use methodology to assess their own AI governance maturity",maybe,medium
YBBKP9QC,keep,medium,"Concrete KPIs for agentic AI (hallucination rate, task completion) are directly measurable metrics applicable to AI coding agent governance; agent oversight pillar addresses scaling challenge",maybe,medium
IEKZGF9W,keep,medium,"Automation bias and algorithm aversion mitigation tactics with case studies transfer directly to AI-assisted code review; hybrid decision-making models address the core human oversight scaling challenge",maybe,medium
GP6BAA4C,discard,high,"LLM-based documentation maintenance tooling is useful but does not address AI code governance or oversight scaling; the HITL workflow is for documentation updates not code review",maybe,medium
ZC86LTPH,keep,low,"Agentic AI governance components and structural governability concept potentially applicable but abstract is vague about code-specific mechanisms; worth verifying implementation details",maybe,medium
ADUKIXA3,keep,medium,"Human oversight as organizational labor induced by legal regulation provides structural mechanism for how software organizations can implement AI Act-mandated oversight roles",maybe,medium
