item_key,title,abstract,prior_decision,prior_confidence,prior_rationale,source_queue
QJJ39LEG,Envisioning intelligent requirements engineering via knowledge-guided multi-agent collaboration,"Requirements Engineering (RE) is an initial and critical phase in software development, with the aim of producing well-defined software requirements specifications (SRSs) from rough ideas of clients. It involves multiple tasks (e.g., elicitation, analysis) and roles (e.g., interviewer, analyst). With the rise of Large Language Models (LLMs), many studies have leveraged LLMs to support specific RE tasks. However, existing LLM-based agents often lack domain knowledge integration and fall short in simulating the complex collaboration of human experts across the full RE process. To address this gap, we propose KGMAF, a knowledge-guided multi-agent framework designed to assist requirements engineers in developing high-quality SRSs. KGMAF comprises six LLM-based agents and a shared artifact pool. Each agent is equipped with predefined actions, dedicated functions, and injected knowledge tailored to specific RE tasks. The artifact pool stores both intermediate and final artifacts, serving as a communication channel for inter-agent collaboration. A human-in-the-loop (HITL) mechanism is embedded to guide and validate agent outputs. We present the design of KGMAF, along with preliminary experiments and a case study to demonstrate its practicality. This work lays the foundation for future research on knowledge-driven multi-agent collaboration in RE and highlights key challenges in building trustworthy intelligent assistants for real-world RE tasks. © 2025 IEEE.",maybe,medium,"Multi-agent RE framework with embedded HITL for software development — relevant software context and validation mechanism, but focused on requirements workflow rather than governance of AI code output at scale.",maybe_queue
AEL4R9HU,Why generative AI strategies fail: reframing governance into strategic decision,"The purpose of this paper is to challenge prevailing adoption and maturity-based approaches to generative artificial intelligence (GenAI) by arguing that / decision architecture problem and develops a conceptual model that explains how organizations can embed GenAI into their decision systems to convert adoption / Generative Artificial Intelligence (Genai), Strategic Decision Architecture, AI Governance, Decision Authority and Accountability, Digital Strategy, Strategic",maybe,medium,Conceptual framework for embedding GenAI governance into organizational decision architecture with decision authority and accountability mechanisms — SE applicability is plausible but requires translation from business strategy to engineering practice.,keep_queue
HGJKZM6W,Beyond the EU ai act responsible ai trajectories among european firms,"We classify the corporate deepening of responsible AI (RAI) practices among European companies involved in AI, in light of the upcoming EU AI law. / These factors are typically linked to the level of organizational AI maturity of companies, meaning that securing 'responsible AI' across firms / AI Ethics, Responsible AI, adoption, EU AI act, institutional theory, AI strategy",maybe,medium,Empirical survey classifying responsible AI practices among European firms under EU AI Act — applicable to software engineering organizations but lacks SE-specific governance mechanisms for AI-generated code oversight.,keep_queue
XXUVA5JU,Agentic AI for behavior-driven development testing using large language models,"Behavior-driven development (BDD) testing significantly improves communication and collaboration between developers, testers and business stakeholders, and ensures that software functionality meets business requirements. However, the benefits of BDD are often overshadowed by the complexity of writing test cases, making it difficult for non-technical stakeholders. To address this challenge, we propose BDDTestAIGen, a framework that uses Large Language Models (LLMs), Natural Language Processing (NLP) techniques, human-in-theloop and Agentic AI methods to automate BDD test creation. This approach aims to reduce manual effort and effectively involve all project stakeholders. By fine-tuning an open-source LLM, we improve domain-specific customization, data privacy and cost efficiency. Our research shows that small models provide a balance between computational efficiency and ease of use. Contributions include the innovative integration of NLP and LLMs into BDD test automation, an adaptable open-source framework, evaluation against industry-relevant scenarios, and a discussion of the limitations, challenges and future directions in this area. © 2025 by SCITEPRESS – Science and Technology Publications, Lda.",maybe,medium,AI-assisted BDD test generation with HITL validation in a software engineering context — governance-adjacent but focused on testing productivity rather than oversight scaling or governance of AI-generated code.,maybe_queue
H9476IZF,"From theory to practice: real-world use cases on trustworthy LLM-driven process modeling, prediction and automation","Traditional Business Process Management (BPM) struggles with rigidity, opacity, and scalability in dynamic environments while emerging Large Language Models (LLMs) present transformative opportunities alongside risks. This paper explores four real-world use cases that demonstrate how LLMs, augmented with trustworthy process intelligence, redefine process modeling, prediction, and automation. Grounded in early-stage research projects with industrial partners, the work spans manufacturing, modeling, life-science, and design processes, addressing domain-specific challenges through human-AI collaboration. In manufacturing, an LLM-driven framework integrates uncertainty-aware explainable Machine Learning (ML) with interactive dialogues, transforming opaque predictions into auditable workflows. For process modeling, conversational interfaces democratize BPMN design. Pharmacovigilance agents automate drug safety monitoring via knowledge-graph-augmented LLMs. Finally, sustainable textile design employs multi-agent systems to navigate regulatory and environmental trade-offs. We intend to examine tensions between transparency and efficiency, generalization and specialization, and human agency versus automation. By mapping these trade-offs, we advocate for context-sensitive integration prioritizing domain needs, stakeholder values, and iterative human-in-the-loop workflows over universal solutions. This work provides actionable insights for researchers and practitioners aiming to operationalize LLMs in critical BPM environments.",maybe,medium,"LLM-driven BPM with auditable uncertainty-aware workflows and HITL principles maps conceptually to code governance tensions, but all four real-world use cases are non-software domains requiring domain translation.",keep_queue
LMJ2VUXH,"AI slop and data pollution in the age of generative AI: strategic risks, economic consequences, and governance pathways for business, management, and the creative industries","The rapid proliferation of generative artificial intelligence (AI) has introduced a new form of digital waste commonly termed AI slop: a deluge of low-originality / The analysis further explores mitigation pathways-ranging from human-in-the-loop oversight and hybrid data curation to provenance tagging, auditing, and / AI Slop, Data Pollution, Workslop, Model Collapse, AI Slop Business and Management Implications, AI Slop Governance and Regulation, AI Slop in Creative",maybe,medium,"Governance pathways (HITL oversight, provenance tagging, auditing) for managing AI-generated content quality at scale parallel AI code governance challenges structurally, but creative industries and management domain focus requires translation.",keep_queue
XDRGCG6V,Agentic AI governance framework for real-time fraud detection in digital payment systems: a multi-layered architecture for financial security,"Simultaneously, the emergence of agentic artificial intelligence (AI) systems-autonomous software agents capable of perception, reasoning, and action-presents / ensemble models combining graph neural networks (GNNs) with large language model (LLM)-based anomaly reasoning, and (3) a Governance Layer implementing human-in-the-loop / Agentic AI, Financial Fraud Detection, AI Governance, Multi-Agent Systems, Explainable AI, Anti-Money Laundering, Digital Payments, Real-Time Risk Scoring",maybe,low,"Multi-layered agentic AI governance architecture with HITL and explainability for financial fraud detection has structural parallels to software code governance pipelines, but domain specificity and abstract thinness prevent confident transfer assessment.",maybe_queue
EZ2YGNSM,AI as a systemic risk factor: cognitive–operational fragility in LLM-enabled enterprises,"However, comparatively little attention has been paid to the systemic risks that arise when LLMs are embedded into enterprise decision and execution infrastructures / The analysis suggests that enterprise AI adoption should be treated as a systemic strategic risk factor rather than as a sector-specific technology risk / Artificial intelligence strategy, Enterprise risk, Cognitive-operational risk, Digital innovation, Organizational control systems, AI governance",maybe,medium,Enterprise AI systemic risk framework addresses organizational control systems and governance but lacks explicit software/DevSecOps connection needed to confirm direct transferability.,keep_queue
4F5PX7PE,Decision-making with human-in-the-loop: a field experiment of explained AI in public administration,"In public administration, humans usually vet Artificial Intelligence (AI) outputs that impact high-stakes, consequential decisions. / Yet, adding humans to the decision-making process results in complexities and nuances that arise from the interaction of humans and AI. / human-computer decision-making, explainable AI, frontline employees, situational automation bias",maybe,medium,Empirical HITL study measuring automation bias in public administration — human-AI decision dynamics findings are plausibly transferable to code review oversight but domain translation is non-trivial.,keep_queue
JW4GVHIG,The supervisory paradox: how AI delegation transforms productive labor into cognitive vigilance,"Unlike previous information technologies that extended human capacity while leaving the human as cognitive author, generative AI autonomously produces / decoupling, in which delegation severs the fusion of understanding and doing that characterizes production, forcing retroactive schema construction, and (2) accountability",maybe,medium,Theoretical analysis of cognitive vigilance and accountability burden under AI delegation captures the oversight-scaling problem relevant to code review but provides no operational measurement or governance mechanism.,keep_queue
