item_key,title,abstract,prior_decision,prior_confidence,prior_rationale,source_queue
MBS5C7LD,How context matters: human oversight of automated -decision-making systems in welfare administration,"This article examines the capacity of frontline staff to oversee automated decision-making (ADM) systems, which are increasingly used in digital welfare states to make life-altering decisions. While prior research had focused on cognitive limitations that lead to human over-reliance on ADM, the role of contextual factors that also shape caseworkers’ supervisory activities has neither been conceptualised, nor systematically investigated. To address this gap, we develop an analytical framework for the context-sensitive study of frontline oversight, inspired by the street-level bureaucracy perspective and human–computer interaction studies. We also demonstrate the framework’s relevance through findings from a mixed-methods study of a profiling algorithm used by Public Employment Services in Poland. We identify four types of factors – policy-, organisation-, professionalism-, and technology-related – that effectively shape frontline oversight. Our findings also have practical implications, as the inclusion of humans in the decision-making loop is a central element of regulatory efforts aimed at protecting individuals from algorithmic harms. © The Author(s) 2025",maybe,medium,Develops analytical four-factor framework for context-sensitive human oversight of automated decision systems with empirical validation; transferable to software AI oversight but requires domain re-derivation from welfare administration,keep_queue
8B46YAHW,Deep-learning-empowered detection of large-language-model-based generative content in educational tasks,"The rapid adoption of large language models (LLMs), such as ChatGPT, in education has intensified the need to differentiate artificial intelligence (AI)-generated from human-authored student work. This study proposes an intelligence augmentation (IA) framework that evaluates algorithmic performance while incorporating a human-in-the-loop mechanism for practical classroom deployment. Leveraging a comprehensive multitask dataset that spans article generation, text paraphrasing, and code generation, we conduct a systematic comparison between traditional machine learning and deep learning models. Beyond benchmark evaluations, the proposed approach is further validated using authentic classroom data, achieving up to 85% detection accuracy—significantly surpassing conventional algorithms and state-of-the-art zero-shot baselines. The results present the first multitask evaluation of generated-text detection within an IA framework, demonstrating the broad adaptability of both classical machine learning and deep learning algorithms across educational scenarios. These findings offer empirical evidence and actionable insights for developing trustworthy IA systems that strengthen academic integrity in AI-assisted learning environments. © 2008-2011 IEEE.",maybe,medium,AI-generated content detection framework with HITL mechanism achieving 85% accuracy; detection methodology has structural parallel to AI code provenance detection but domain is educational text requiring translation,maybe_queue
JXJQGBN8,"Securing U.S. AI leadership: a strategic framework for standards, interoperability, and global competition","approaches, including the EU's riskbased AI Act and the U.S.' / AI RMF, and explore the role of model cards and data specifications in achieving technical interoperability. / Artificial Intelligence, AI Interoperability, AI Standards, Regulatory Compliance, AI Governance, ISO/IEC 42001, NIST AI RMF, Model Cards, Multi-Agent",maybe,medium,"Analyzes AI governance standards (NIST AI RMF, ISO/IEC 42001) and interoperability frameworks; broadly applicable to AI-deploying organizations but no explicit software or DevSecOps connection",keep_queue
HNQT56FM,The hard problem of AI alignment: value forks in moral judgement,,discard,low,No abstract available; title indicates AI alignment ethics and moral philosophy without apparent operational mechanism for software engineering,maybe_queue
BE8U3QRR,European AI standards - technical standardization and implementation challenges under the EU AI act,"Harmonized standards are the cornerstone of efficient EU AI Act compliance. / AI Act and sectoral standardization following vertical product safety legislation. / AI Standardization, European AI Standards, EU AI Act, AI Act, Technical Standards, Harmonized Standards, AI Compliance, Digital Regulation, AI Trustworthiness",maybe,medium,Technical standardization analysis for EU AI Act harmonized standards with implementation challenges; actionable for software organizations pursuing compliance but no explicit software or code-specific focus,keep_queue
MJKFY8UC,"Finance-grade assurance for agentic AI: verifiable governance, systemic risk mitigation, and sustainability/compute accounting architecture for banks, insurers, and major financial services providers","Agentic AI systems capable of goal-directed planning, tool-use, and autonomous execution are being adopted in high-stakes financial workflows where error / Current governance approaches (model risk management, operational resilience, and AI management systems) provide essential controls but do not yet provide / Agentic AI, assurance, operational resilience, systemic risk, governance evidence, policy-as-code, remote attestation, mechanism design, modularity, interconnectivity / , compute accounting, sustainable finance, monoculture risk, herding, coupling, fail-close, heterogeneity score, representation similarity, Jensen-Shannon",maybe,medium,"Proposes concrete governance architecture (policy-as-code, fail-close, monoculture risk, heterogeneity scoring) for agentic AI in financial workflows; core concepts transferable to software engineering but financial regulatory framing requires re-derivation",maybe_queue
EVCJBNEU,Human-technology transition sector (HTTS) a workforce preservation framework for AI-driven enterprises,"While generative AI systems increase efficiency, they also introduce AI failure zones where automation underperforms, produces errors, or lacks contextual / The model integrates live experience capture, AI failure detection, adaptive workflows, and verifiable accountability records to ensure both technological / Human-AI Collaboration, Workforce Preservation, Generative AI Failure, Corporate Reskilling, AI Governance, HTTS",maybe,medium,"Presents AI failure detection zones and verifiable accountability records for AI-driven enterprises, but workforce-preservation framing makes transferability to code quality governance unclear from the abstract.",keep_queue
G9QRERTM,APPRAISE: a governance framework for innovation with artificial intelligence systems,"As artificial intelligence (AI) systems increasingly impact society, the EU Artificial Intelligence Act (AIA) is the first legislative attempt to regulate AI systems. This paper proposes a governance framework for organizations innovating with AI systems. Building upon secondary research, the framework aims at driving a balance between four types of pressures that organizations, innovating with AI, experience, and thereby creating responsible value. These pressures encompass AI/technology, normative, value creation, and regulatory aspects. The framework is partially validated through primary research in two phases. In the first phase, a conceptual model is proposed that measures the extent to which organizational tasks result in AIA compliance, using elements from the AIA as mediators and strategic variables such as organization size, extent of outsourcing, and offshoring as moderators. 34 organizations in the Netherlands are surveyed to test the conceptual model. The average actual compliance score of the 34 participants is low, and most participants exaggerate their compliance. Organization size is found to have significant impact on AIA compliance. In phase 2, two case studies are conducted with the purpose of generating in-depth insights to validate the proposed framework. The case studies confirm the interplay of the four pressures on organizations innovating with AI, and furthermore substantiate the governance framework.",maybe,medium,Empirical governance framework validated across 34 organizations with EU AI Act compliance measurement — operationalizable at org level but focused on general AI innovation governance rather than software code quality or AI code risk.,keep_queue
DYXBGHXH,The symbiotic liability trap -methodological note,"The central thesis-that Humanin-the-Loop oversight without cross-domain qualification creates an uninsured liability gap-was not derived through traditional / Pro and ChatGPT 5.2 Pro. / Discourse, Emergent Thesis Generation, Cross-Domain Reasoning, Iterative Co-Reasoning, Epistemic Limitation, AI-Assisted Knowledge Production, Symbiotic Liability",maybe,low,"Central thesis that HITL oversight without cross-domain qualification creates a liability gap is directly relevant to code review governance, but the methodological-note format and AI-assisted genesis raise uncertainty about substantive empirical contribution.",keep_queue
CXEL968T,The aegis of AI,"This paper proposes the beginnings of a legislative liability framework to regulate Artificial Intelligence (“AI”), particularly in the space of Generative / AI.",discard,low,Abstract is near-empty; legislative AI liability topic could be relevant to code but scope and software-org applicability cannot be assessed,keep_queue
