item_key,title,abstract,prior_decision,prior_confidence,prior_rationale,source_queue
87LUCHIQ,Artificial intelligence on trial: who is responsible when systems fail? Toward a framework for the ultimate AI accountability owner,"accountability; algorithmic governance, responsibility in AI systems, ethical AI deployment, liability in AI, institutional AI governance, AI accountability, algorithmic / accountability, algorithmic governance",discard,low,Abstract consists only of keywords — insufficient content to assess operationalizability or software engineering relevance.,keep_queue
M964K4XX,"Comparative analysis of AI governance, assurance, and administrative oversight NIST AI RMF 1.0, ISO/IEC 42001, SOC 2, OMB memoranda M-24-10 and M-25-21, and U.S. copyright office guidance",NIST AI RMF 1.0 provides a flexible and voluntary structure for AI risk management. / A concise formulation is therefore possible: NIST AI RMF 1.0 provides a voluntary risk-management structure; ISO/IEC 42001,maybe,medium,"Comparative analysis of governance frameworks including NIST AI RMF and SOC 2 could yield software-relevant insights, but the abstract is too thin to confirm whether software systems or code are substantively addressed.",keep_queue
9IPQ7228,Automating modelica module generation using large language models: a case study on building control description language,"Dynamic energy systems and controls require advanced modeling frameworks to design and test supervisory and fault tolerant strategies. Modelica is a widely used equation based language, but developing control modules is labor intensive and requires specialized expertise. This paper examines the use of large language models (LLMs) to automate the generation of Control Description Language modules in the Building Modelica Library as a case study. We developed a structured workflow that combines standardized prompt scaffolds, library aware grounding, automated compilation with OpenModelica, and human in the loop evaluation. Experiments were carried out on four basic logic tasks (And, Or, Not, and Switch) and five control modules (chiller enable/disable, bypass valve control, cooling tower fan speed, plant requests, and relief damper control). The results showed that GPT 4o failed to produce executable Modelica code in zero shot mode, while Claude Sonnet 4 achieved up to full success for basic logic blocks with carefully engineered prompts. For control modules, success rates reached 83 percent, and failed outputs required medium level human repair (estimated one to eight hours). Retrieval augmented generation often produced mismatches in module selection (for example, And retrieved as Or), while a deterministic hard rule search strategy avoided these errors. Human evaluation also outperformed AI evaluation, since current LLMs cannot assess simulation results or validate behavioral correctness. Despite these limitations, the LLM assisted workflow reduced the average development time from 10 to 20 hours down to 4 to 6 hours per module, corresponding to 40 to 60 percent time savings. These results highlight both the potential and current limitations of LLM assisted Modelica generation, and point to future research in pre simulation validation, stronger grounding, and closed loop evaluation.",maybe,medium,Quantifies LLM code generation success rates and human repair effort with domain-specific Modelica context — findings are partially transferable but require re-derivation beyond building controls.,maybe_queue
GYIRPY4W,The infrastructure multiplier why AI productivity gains compound at the top and stall at the median,"Effect 2 (Ceiling): infrastructure absorbs error correction and the organization permits freed top performers to shift from operating the delivery system / infrastructure, organizational divergence, verification systems, skill compression, K-shaped outcomes, developer productivity, CI/CD quality gates, DORA metrics, AI / governance",maybe,medium,"Analyzes AI productivity compounding dynamics in software development contexts referencing CI/CD quality gates and DORA metrics, but framed as organizational economics rather than an actionable governance mechanism.",maybe_queue
YZU9U92X,Effective generative AI: the human-algorithm centaur,"AI approaches. / span>human-in-the-loop methods? / Centaurs, Generative AI, Large Language Models, Human-AI Algorithms",maybe,low,Abstract too thin to assess whether the human-algorithm centaur framework operationalizes human-AI collaboration in a way applicable to code review oversight.,keep_queue
8RIXPFX3,"The agency error in AI governance: coherent output, constraint, and the misclassification of artificial systems","governance, artificial intelligence, agency, accountability, responsibility, liability, agency misattribution, non-agentic model, ontological classification, algorithmic / accountability, regulatory design, democratic accountability",maybe,medium,"Conceptual framework for AI agency misclassification in governance design has structural implications for oversight architecture, but requires translation from ontological theory to actionable software engineering mechanisms.",keep_queue
VG8PSMM7,Benchmarking and validation of prompting techniques for AI-assisted industrial PLC programming,"Industrial automation in Industry 5.0 demands deterministic, safety-compliant PLC code across heterogeneous vendor ecosystems. Prompt-engineered large language models (LLMs) offer a path forward but require reproducible methods and rigorous validation. This study introduces LLM-PLC-AS, a hybrid, prompt-invariant framework for IEC 61131-3 PLC code generation addressing these needs. We benchmark 21 fixed prompting techniques on 25 real-world use cases (simple, medium, complex), using a standardized dataset and workflow spanning Siemens TIA Portal and Beckhoff TwinCAT. The quality of the generated code is evaluated through a layered validation pipeline: Bilingual Evaluation Understudy (BLEU) for lexical similarity, LLM-in-the-Loop (LITL) for scalable semantic checks across four dimensions (functional correctness, readability, safety compliance, and modularity), and Human-in-the-Loop (HITL) for expert safety-critical review. DeepSeek and Gemini 2.5 Pro generate ST/IL; syntax is cross-checked by ChatGPT-4o and Copilot Pro. The framework achieved a very high degree of accuracy, with Structured Text (ST) programs reaching near-perfect scores and Instruction List (IL) programs also performing exceptionally well on our scoring rubric. This resulted in a substantial reduction in manual correction effort, decreasing it by nearly half compared to ad-hoc methods. Across tasks, our approach led to a more than twofold increase in Safety Compliance and a significant improvement in Functional Correctness against unstructured baselines. A key finding is that the structure of the prompt itself was found to have a greater influence on determinism and correctness than the choice of LLM. The fixed-prompt reasoning combined with the BLEU/LITL/HITL validation stack provides a scalable, reproducible, and safety-aware method for PLC code generation. BLEU is utilized for rapid lexical triage and regression tracking, LITL provides structured semantic verification, and HITL ensures final compliance. The framework establishes a standardized basis for AI-assisted PLC programming and transparent benchmarking. Future work will extend the pipeline to include graphical languages, such as Ladder Diagram (LAD) and Function Block Diagram (FBD), using multimodal/graph-aware models, and will incorporate runtime validation to further close the gap to real-world deployment. Safety verification in this study is limited to logical and semantic validation. Real-time behavior, communication latency, and physical safety-fault recovery require Hardware-in-the-Loop (HIL) simulation or deployment on industrial test benches, which is identified as future work. © 2025 The Authors.",maybe,medium,"The BLEU/LITL/HITL validation pipeline for AI code generation is structurally transferable to software code review, but the paper is anchored in industrial PLC safety requirements (IEC 61131-3, Siemens/Beckhoff) that differ substantially from software engineering team governance.",keep_queue
J2MN69PK,Humans in the loop: exploring the challenges of human participation in automated decision-making systems,"“Human in the loop” (HITL) refers to a process or system design where human oversight, intervention, and collaboration are integrated into Automated / Human-In-The-Loop (HITL), Human Oversight, Human-Algorithm Interaction, Human Factors in Automation, Human-Centered AI, Collaborative Decision-Making,",maybe,medium,"HITL framework paper on human participation challenges in automated decision-making with human factors and oversight angles that could transfer to code review, but 'exploring challenges' framing suggests descriptive orientation that requires full paper to assess operationalizability.",keep_queue
LUA6VMXR,"How to design an AI agent: architectures, protocols, and technical evaluation of agentic AI systems for law & finance","Crucially, we examine the safety layers required for professional deployment: termination conditions, human escalation protocols, and governance.",maybe,medium,"Technical AI agent design paper for law/finance that examines safety layers (termination conditions, human escalation protocols) with structural parallels to code review oversight pipelines, but requires domain translation not resolvable from abstract.",keep_queue
BZXVW89V,Contracting for algorithmic accountability,"Furthermore, unlike with the adoption of legislation, a contracting approach to AI governance can be tailored to meet the needs of specific agencies and / AI practices with their private sector clients.",maybe,medium,Contract-based algorithmic accountability mechanism for government-private AI relationships; the contracting governance approach could inform software procurement and AI vendor governance but requires translation from government contracting context.,keep_queue
LGGPYHB2,A governance-first architecture for multi-tenant retrieval-augmented generation,"As Retrieval-Augmented Generation (RAG) systems enter regulated enterprise environments, architectural assumptions optimized for speed and simplicity increasingly / Retrieval-Augmented Generation, RAG, AI Governance, Multi-Tenant Systems, Compliance-by-Design",maybe,medium,"Compliance-by-design RAG governance architecture for regulated enterprise environments has audit and tenant isolation principles potentially applicable to AI tool governance in software development, but RAG infrastructure is adjacent rather than directly on-target for code generation oversight.",maybe_queue
AAK77PJ4,One shot: architecture principles for trustworthy legal AI,"Project Vega is a legal AI platform that converts live or recorded testimony into structured, verifiable claims evaluated against discovery documents. / rather than the verification itself, and extracts six portable design principles for building trustworthy AI pipelines in high-stakes domains. / Legal AI, legal technology, NLP pipeline, human-in-the-loop, deposition technology, speech processing, claim extraction, entity resolution, AI governance",maybe,medium,Extracts six portable design principles for trustworthy AI pipelines from a legal AI case study; transferability to code review pipeline design is plausible but requires a domain argument not resolvable from the abstract.,keep_queue
I9RP82ZF,Regenerating justice: ChatGPT and the legal minefield of generative AI,"Generative AI (GenAI) has taken the Internet by storm. / Even well-meaning individuals aiming to keep a “human-in-the-loop” of any automated decision can fall prey to this phenomenon. / ChatGPT, automation bias, automation complacency, generative AI, GenAI, law & technology, science & technology studies, large language models,",maybe,medium,Legal AI paper examining automation bias and automation complacency in AI-assisted decisions — these concepts transfer directly to code review oversight but the paper lacks a software engineering domain anchor.,keep_queue
Q2M4782N,A review of the ICO’s draft guidance on the AI auditing framework,"Intelligence (AI) systems. / These are namely:

Data and AI: explicit discussion of the relationship between data protection and how it translates into auditing of AI systems",maybe,medium,AI auditing framework from a regulatory body — auditing mechanisms could transfer to software governance but the domain anchor is data protection compliance rather than software engineering.,keep_queue
TYM8CJ86,Artificial knowledge restructuring of information economics,"Artificial Intelligence governance, validation, explainability, algorithmic accountability, AI regulation and policy, trustworthy AI.",discard,low,Abstract consists almost entirely of keywords with no discernible methodology or finding — insufficient content to evaluate operationalizability.,maybe_queue
VCKYAYDX,"Law by design: AI, autonomy, and the architecture of capacity",intelligence (AI) governance and inclusive design. / oversight.,discard,low,Abstract is too sparse to evaluate — mentions AI governance and autonomy but provides no discernible methodology or software engineering connection.,maybe_queue
R9HHU7L5,Three pathways for standardisation and ethical disclosure by default under the European union artificial intelligence act,"Compliance would require AI providers to furnish relevant third parties with a standardised set of test results and documentation to enable local decision-makers / Artificial Intelligence, AI Act, Standardisation, AI Ethics, Regulation",maybe,medium,EU AI Act standardization pathways with compliance documentation requirements — could apply to software organizations deploying AI tools but the paper focuses on provider disclosure obligations rather than software development governance.,keep_queue
KMY7ADDS,Autonomous project delivery: a formal multi-agent coordination protocol,"It operates across five maturity levels, from AI-assisted human coordination to fully autonomous delivery. / project delivery, multi-agent systems, agent coordination protocol, normative multi-agent systems, inter-organizational coordination, authority delegation, human-in-the-loop",maybe,medium,Formal multi-agent project delivery protocol with maturity levels and HITL authority delegation — software team applicability is plausible but requires argument bridging project management to code governance.,keep_queue
9WLXUS82,VAITION: energy dualism of digital systems,"This work contributes to discussions on AI alignment, digital economics, blockchain applications, and the future of human-technology relationships",discard,low,Abstract is too vague and theoretical ('energy dualism of digital systems') to identify any relevance to software engineering governance.,maybe_queue
4UQ2LF3J,Operationalising extended cognition: formal metrics for corporate knowledge and legal accountability,Yet these assumptions are under challenge as generative AI increasingly mediates enterprise decision-making.,maybe,medium,Proposes formal metrics for AI-mediated enterprise decisions and legal accountability — transferability to software engineering team accountability for AI-generated code is plausible but domain is legal/corporate rather than SE.,keep_queue
