item_key,decision,confidence,rationale
QQW7XHCJ,discard,high,"Copyright and AI governance focused on creative works rights management with no software engineering or code governance angle."
AH8D7TWU,discard,high,"InsurTech/FinTech AI regulatory framework — domain-specific governance with no software engineering or code angle despite human oversight keyword."
D9E3EFAN,discard,high,"Speculative fiction and narrative methodology for AI alignment — no operationalizable contribution for software engineering organizations."
U78UZTBJ,discard,high,"Smart city AI governance in local government — no software engineering angle and no transferable mechanism for code governance."
2DMVLYYG,discard,high,"Copyright protection of GenAI creative works — intellectual property law focus with no code-specific angle."
78VJKEH6,discard,high,"Legal profession AI supervision paper — domain-specific HITL in legal education/practice context, not transferable to software engineering oversight."
HEXRQQEG,discard,high,"Judicial decision-making with GenAI — non-software domain HITL with fairness/accountability framing and no transferable code governance mechanism."
5GJUE79U,discard,medium,"ChatGPT bug-fixing benchmark (30/40 on QuixBugs) measures AI tool capability but provides no governance, oversight mechanism, or risk measurement framework."
LE9QU4VA,discard,high,"Healthcare AI patent analysis — domain-specific with no software engineering governance angle despite ethical AI governance keyword."
USAEPERT,keep,high,"Empirical study of human-in-the-loop LLM code generation measuring how specification and test refinement affects quality and iteration dynamics — directly operationalizable for engineering workflow design."
SPI9UKI7,discard,high,"AI governance in international legal arbitration — domain-specific governance without transferable mechanism for software engineering teams."
N2G3TMIJ,discard,high,"EU AI Act implementation framework via faith-based organizations — no software or code engineering angle."
GVW7S2MV,discard,high,"AI adoption ethics for elderly care — domain-specific with no transferable mechanism for software engineering governance."
5Q7AIRTT,discard,high,"General AI ethics governance framework for Malaysian businesses — no software engineering angle and descriptive rather than operationalizable."
DZ4GQ2ZD,discard,high,"Judicial copyright analysis of GenAI-assisted works in China — legal domain with no code governance angle."
UNRV995L,discard,low,"Abstract is too thin to assess operationalizability — SOX-style AI reporting architecture is a potentially interesting concept but insufficient evidence of an actionable framework for software teams."
VKIDMYTP,discard,high,"Medical negligence law for AI-driven care in Nigeria — domain-specific legal framework with no software engineering transferability."
9WSVLDA7,discard,high,"Philosophical/autoethnographic study of human-AI relational dynamics — no operationalizable contribution for software engineering organizations."
PAH67YUY,discard,high,"Accessibility heuristics for vibe coding tools for BVI developers — no governance, risk, or oversight angle despite vibe coding domain."
YKLEPERJ,keep,high,"Empirical study of 567 agentic coding PRs showing 83.8% acceptance and quantifying human revision needs by task type — directly operationalizable for calibrating oversight of AI-generated code at scale."
5AX597S3,keep,medium,"Comparative measurement of AI tool refactoring performance (Claude 78.8% to Gemini 61.8%) with explicit finding that human oversight remains essential — informs tool selection and oversight calibration."
9BA5E3CA,keep,medium,"Extends data governance principles (three-lines-of-defense, data lineage, role-based accountability) to AI governance with explicit software development scope — operationalizable framework for engineering organizations."
PMPV54J9,maybe,medium,"Organizational framework for AI agent integration addresses trust, liability, and internal vs. customer-facing distinctions — potentially transferable to software engineering teams deploying agentic AI but domain applicability is unclear from the abstract."
MYQ8RJAQ,discard,high,"Smart city legal governance framework — GDPR/data governance focus with no software engineering or code governance angle."
W37DDWIY,discard,high,"AI copyright law analysis focused on creative works — no code-specific angle and no transferable governance mechanism."
