item_key,decision,confidence,rationale
49TB7MQU,discard,medium,"Comparative analysis of AI regulatory frameworks (EU AI Act, GDPR) — abstract is keyword-only with no software/code engineering angle visible and no operationalizable contribution discernible"
M4WRC5XI,discard,medium,"Abstract is keyword-only; LLM auditing topic could be relevant but no software/code angle or operationalizable methodology is visible"
FKBLALKB,discard,high,"AI governance framework drawn from corporate law (veil-piercing) for regulatory accountability — no software engineering or code governance angle"
TBVVUVUF,discard,high,"Integrated AI risk management framework positioned for the financial industry — domain-specific without software/code governance transferability"
CH6KSAGK,discard,high,"LLM liability analysis focused on defamation and libel tort law — legal liability for text/language outputs with no code-specific angle"
F64C9ESW,discard,high,"AI governance framework for central banks in emerging markets — financial institution domain-specific with no software engineering angle"
XE2EZPNN,discard,high,"Healthcare AI data governance and provenance under HIPAA — domain-specific to healthcare with no transferable software engineering contribution"
4DH4XNF6,discard,high,"Introductory chapter mapping responsible AI governance roadmap across multidisciplinary domains — general AI ethics/governance without operationalizable software engineering contribution"
WYGRCC24,discard,high,"AI to improve fairness in academic grant and manuscript peer review — non-software HITL domain (academic evaluation) without transferable code review mechanism"
AVLR4RJE,discard,medium,"Systematic literature review mapping LLM-based multi-agent systems capabilities across the SDLC — primarily a research agenda paper on capability landscape without operationalizable governance or oversight mechanism"
93I4ZFPM,discard,high,"Agentic AI framework with persistent memory for financial enterprise intelligence — finance domain-specific with no software/code governance angle"
TWJMT86B,discard,high,"National AI strategy paper for Argentina covering compute capacity and data governance — policy-level without software engineering operationalizability"
89LVM928,discard,high,"Ownership and copyright of AI-generated content (text, images) — creative content IP analysis with no code-specific angle"
6K2ZY75E,discard,high,"Strategic interventions for AI-induced job displacement — organizational AI adoption paper focused on labor equity without code governance angle"
DN9R4PDQ,keep,high,"Empirical qualitative study (22 interviews) of vibe coding workflows identifying code unreliability, AI over-reliance, and team trust/responsibility asymmetries — directly operationalizable for organizations governing AI-assisted development"
Z6RB7NDA,keep,high,"First systematic threat taxonomy and defensive methodology for MCP-based agentic AI tool integration in software supply chains — directly operationalizable for organizations securing AI agent tool access"
NQLB6NP7,discard,high,"AI regulation in financial services covering legal frameworks and compliance challenges — financial services domain-specific without software engineering code governance angle"
T73DV329,discard,medium,"UK Government AI Playbook guidance on public sector AI adoption and procurement — public sector governance focus without software engineering or code governance angle"
HMDPT4IL,discard,high,"AI policies for generative AI use in legal academic journal submissions — academic publishing domain with no software engineering governance angle"
GWAJTGMN,discard,high,"AI governance in law enforcement, policing, and border control (biometric surveillance, algorithmic decision-making) — domain-specific public security without software/code engineering angle"
P835JDER,discard,medium,"Agentic AI governance architecture for financial infrastructure with deliberative oversight layer — finance domain-specific oversight mechanism without clear transferability to code review context"
ATSUG2TS,discard,high,"XAI and human-AI collaboration for organizational productivity — falls squarely under the productivity-only discard pattern without risk, governance, or oversight angle for software teams"
6MAWTM4W,discard,high,"General survey of generative AI concepts, challenges, and research opportunities — descriptive overview without operationalizable contribution"
ZPDDPNA5,discard,high,"Legal analysis of copyright litigation against AI companies under Federal Rule 12(b)(6) — creative content copyright dispute without code-specific governance angle"
JS8VQXPH,maybe,medium,"Empirical analysis of 200 B2B AI deployments reporting HITL governance achieves 4.3× critical incident reduction — quantitative oversight evidence is potentially operationalizable but broad B2B scope makes software-specific transferability unclear"
ACPKFPNE,maybe,medium,"Five-step HITL TRUST Model (Triage, Review, Underwrite, Strengthen, Track) for generative AI governance in banking — concrete operational framework with plausible transferability to code review but banking regulatory context (NYDFS Part 500) may require re-derivation"
EFJ9USXZ,keep,high,"Bidirectional comment-level mechanism for developer-LLM code generation grounding with empirical user study showing 16.7% faster completion and 10.5% task success improvement — directly operationalizable for developer oversight of LLM-generated code"
CWQ274GU,discard,high,"EU AI Act and Platform Workers' Directive applied to algorithmic management in the gig economy — labor/platform governance domain without software engineering code angle"
UHR3R358,discard,high,"Copyright doctrine analysis for generative AI training data — creative content IP analysis with no code-specific angle"
F72TIGMC,maybe,medium,"Bounded Agency Limit (BAL) framework for constraining autonomous AI across enterprise automation contexts — concept is operationalizable and enterprise automation scope includes potential code tooling, but requires domain translation to software engineering"
