item_key,decision,confidence,rationale
N3GNJWQV,discard,high,"EU AI Act analysis confined to banking supervision and financial regulation with no software development or code governance dimension."
7NUBKZ8W,discard,high,"GenAI governance framework targets public-sector service and document automation, not software engineering organizations or code oversight."
2QJNZKBM,discard,high,"Comprehensive EU AI Act regulatory analysis covers foundation models and the AI value chain but mentions no software development, DevSecOps, or code-specific governance."
524TWMDJ,maybe,medium,"Empirical study on expertise-driven over/under-reliance in AI-assisted decision-making produces transferable automation-bias findings, but the educational tutoring domain requires explicit argument to apply to code review contexts."
XAKYUZ27,discard,high,"Abstract consists entirely of keywords with no methodology or operationalizable mechanism; topological circuit breaker concept is existential AI safety philosophy, not SE governance."
IQCNSPY6,keep,high,"Directly operationalizable: proposes LLM-assisted STPA hazard analysis for ML-powered software products with human oversight at critical steps, reducing expert dependency and making proactive risk identification accessible to developers."
QHAHG7K2,discard,high,"Interdisciplinary overview of AI tools with no governance methodology, measurement instrument, or operationalizable finding for SE organizations managing AI-generated code."
25RCNRY9,keep,medium,"Empirical thematic analysis with 22 professional software engineers surfaces actionable practices for human oversight and role allocation in AI-assisted development, including when oversight is critical for security, though findings are qualitative."
NZXZCZ9B,discard,high,"Collective licensing proposal for AI training data copyright addresses compensation for content creators with no connection to code governance or SE oversight."
G9DKEEUF,keep,medium,"Presents concrete fail-safe architecture recommendations and oversight protocols for autonomous AI agents — monitoring systems, intervention protocols, and HITL control — that transfer directly to AI coding agent deployment, though the chapter is not SE-specific."
E5H4XA9J,discard,high,"Agentic AI roadmap confined to financial services (fraud detection, risk assessment, regulatory compliance) with no software development or code governance dimension."
9EKRHLXQ,keep,medium,"Proposes detection metrics (verbose comments, utility function density, formatting patterns) for identifying AI-generated code that are operationalizable as audit signals for SE organizations, though the competitive programming context limits direct generalizability."
9I7DSNMJ,discard,high,"Analysis of AI impacts on legal professional conduct rules and judicial ethics is domain-specific to law; supervision and delegation concepts do not transfer to software engineering without substantial re-derivation."
F2G6XNFP,discard,high,"Judicial AI governance framework treats courts as the high-risk domain; human oversight principles are specific to judicial decision-making and do not transfer to code review without substantial re-derivation."
6DXZGHD9,keep,high,"Hybrid ANN-ISM framework directly operationalizes cybersecurity risk identification, evaluation, and mitigation for AI code generation environments, validated through a real-world code generation company case study."
LKV7998Z,discard,high,"Thin abstract of keyword-level claims about AI alignment philosophy with no methodology, measurement, or operationalizable mechanism applicable to SE."
XD8K4CSV,discard,high,"Comprehensive finance-domain survey of agentic AI (market efficiency, liquidity, risk management) with no software development, code generation, or SE governance angle."
8RRJH6H4,keep,high,"Directly operationalizable for SE infrastructure teams: RIVA multi-agent cross-validation mechanism restores IaC drift-detection accuracy from 27% to 50% under erroneous tool responses, providing a concrete reliability pattern for agentic code verification."
