item_key,title,abstract,authors,year,item_type,sources,source_queue
RXIKLFDJ,"Programmers who use screen readers in the vibe coding era: adaptation, empowerment, and new accessibility landscape","Generative AI agents are reshaping human-computer interaction, shifting users from direct task execution to supervising machine-driven actions, especially the rise of “vibe coding” in programming. Yet little is known about how programmers who use screen readers interact with AI code assistants in practice. We conducted a longitudinal study with 16 blind and low-vision programmers. Participants completed a GitHub Copilot tutorial, engaged with a programming task, and provided initial feedback. After two weeks of AI-assisted programming, follow-ups examined how their practices and perceptions evolved. Our findings show that code assistants enhanced programming efficiency and bridged accessibility gaps. However, participants struggled to convey intent, interpret AI outputs, and manage multiple views while maintaining situational awareness. They showed diverse preferences for accessibility features, expressed a need to balance automation with control, and encountered barriers when learning to use these tools. Furthermore, we propose design principles and recommendations for more accessible and inclusive human-AI collaborations.",Chen; K. Qiu; Wang; Wang; Yang,2026,conferencePaper,acm,maybe_queue
2TIXA9RB,Banana republic: copyright law and the extractive logic of generative AI,"Finally, the article examines the ‘wall’, the metaphorical and institutional surfaces against which generative AI is made legible and legitimate. / Without these interventions, the generative AI economy may replicate the very conditions that Comedian satirizes: spectacle without substance, progress / Generative AI, Copyright Law, Fair Use, Authorship, Originality, Creative Labor, AI Training Data, Platform Economy, Data Governance, Legal Fragmentation / , Transparency, Collective Licensing, Algorithmic Accountability, Structural Reform",Daryl Lim,2025,journalArticle,ssrn,maybe_queue
REXFW8ZU,Agentic ai security: a control framework for autonomous decision-making systems,"Recent advancements in artificial intelligence have introduced agentic AI systems capable of autonomous goal-setting, decision-making, and self-directed / AI.This paper presents a comprehensive security and control framework for agentic AI systems, integrating multi-layered risk governance, dynamic trust / Agentic AI, AI Security, Multi-Agent Systems, Adversarial AI",Pavan Kumar Evani,2025,journalArticle,ssrn,keep_queue
7CZGPX2A,The new age: legal & economic challenges to copyright and creative economies in the era of generative AI,"Many have argued, on a variety of bases, both economic and legal, that GenAI-works simply should not hold copyright while non-GenAI works should. / If only it were so simple.Unfortunately, differentiating copyright protection between GenAI-works and “traditional” works relies on a false dichotomy, / copyright, economics, generative ai, regulation, law, law and economics, intellectual property, technology policy, creative economies, music",Zachary Cooper; William Lehr; Volker Stocker,2024,journalArticle,ssrn,maybe_queue
LJQLX7LY,Generative AI and the urban AI policy challenges ahead: trustworthy for whom?,"Urban governance frameworks must move beyond techno-solutionism to embed pluralism, accountability, and public value at the core of GenAI deployments. / AI Economics, Generative AI, Urban AI, Trustworthy AI, Smart Cities, Innovation Systems, Innovation Policies, Algorithmic Governance, Digital Inclusion",Igor Calzada,2025,journalArticle,ssrn,maybe_queue
4BUBL8RT,Algorithmic content moderation on social media in EU law: illusion of perfect enforcement,"To address this multi-faceted issue, I offer solutions to improve algorithmic accountability and to increase the transparency around automated",Céline Castets-Renard,2020,journalArticle,ssrn,maybe_queue
S26DV7QF,Synthetic humans & hyper-realistic AI avatars (identity theft 2.0),"story presumes the juridical emptiness of the question of ownership of digital likenesses, with an accent on the jurisdictional incompleteness, platform liability / , and the insufficiency of current data protection policies, in particular in connection with generative AI technologies. / Synthetic Humans, Hyper-Realistic AI Avatars, Identity Theft 2.0, Human Dignity, GDPR, Right to Privacy, Digital Personhood, Platform Liability, Data Colonialism",Mandhan Agnihotri,2026,journalArticle,ssrn,maybe_queue
KJ3IDLSJ,How corporate boards must approach AI governance,"As the landscape of artificial intelligence (AI) and generative AI evolves rapidly, AI oversight by corporate boards is essential for managing AI exposure / property and sustainability to audit, measurement and risk assessment.",Arun Sundararajan,2025,journalArticle,ssrn,keep_queue
LF6FVB7H,The cognitive economy and AI,"Policy frameworks will need to address questions of intellectual property, labour rights, AI governance, and fair compensation for cognitive contributions / , AI Augmentation, Creativity, Intuition, Non-Linear Reasoning, Neurodiversity, Cognitive Diversity, Knowledge Economy, Human-Computer Collaboration, Generative / AI, Cognitive Augmentation, Innovation Economics, Future of Work, Economic Theory, Digital Labour, Intellectual Property, Labour Economics, Economic Inequality",Chanukya Rajagopala,2025,journalArticle,ssrn,maybe_queue
PD2YN98L,Algorithm perception when using threat intelligence in vulnerability risk assessment,"Recent government and commercial initiatives have pushed for the use of the automated, artificial intelligence (AI)–based, analysis of cyber threat intelligence. The potential bias that might be present when evaluating threat intelligence coming from human and AI sources has to be better understood before deploying automated solutions to production. We present a controlled experiment with (Formula presented.) master students who had a mix of experience in security and machine learning to measure the bias introduced by the source of intelligence (human vs. AI). Each participant analyzed eight threat intelligence reports from the Dutch National Cyber Security Center where the source of the final recommendation was manipulated as for coming from a human expert or an AI algorithm. Our findings revealed that participants tended to disagree with the recommendation when it was coming from AI. While expertise on ML did not have any impact, we found that participants with more security expertise tended to agree with the recommendation. In contrast, we found that the perceives bias was statistically equivalent (TOST) whether the recommendation was coming from a human or from an AI. The only (expected) factor which had an impact on perceived bias was when participants disagreed with the recommendation (irrespective whether it was human or AI). These results provide insight on the possible impact of introduction on AI on rank-and-file Tier 1 SOC analysts. The generalization of our results to professional practice requires more experiments with experienced security professionals. © 2026 The Author(s). Risk Analysis published by Wiley Periodicals LLC on behalf of Society for Risk Analysis.",van Gerwen; Papotti; Tuma; Massacci,2026,journalArticle,,maybe_queue
