item_key,decision,confidence,rationale
SNSIDTW6,discard,high,"Opinion piece advocating vibe coding for radiologists — no operationalizable governance mechanism and the oversight mention is generic, not actionable for software engineering organizations"
2NRBEMVD,keep,high,"Research roadmap for human-in-the-loop fuzz testing with specific mechanisms (human monitoring, steering, LLM collaboration) directly applicable to software security testing governance"
HAQSIG7L,discard,high,"Experience report on LLM data extraction from Philippine public datasets — domain-specific pipeline workflow with no transferable mechanism to AI code governance or software oversight"
LL3MSMUB,maybe,medium,"AI assurance framework mapped to ISO 42001 for compliance and defensibility — could apply to software organizations but abstract is too thin to confirm software/code specificity"
SZ4LRQ2Q,discard,high,"Legal visualization methodology for EU AI Act regulatory architecture — no software engineering angle and no operationalizable mechanism for software engineering organizations"
GPVB53ER,discard,high,"Copyright theory analysis of generative AI creative content authorship — no code or software engineering governance angle"
9WXAWTIA,discard,high,"Descriptive comprehensive survey of AI trends in professional software development that forecasts future directions without presenting operationalizable governance mechanisms or measurement methods"
3CZ8HZTQ,discard,high,"Analysis of EU AI Act data transparency provisions for copyright enforcement in creative domains — focused on creator rights with no code or software engineering governance angle"
B5LIQ844,maybe,medium,"Lifecycle governance framework (design through feedback) for generative AI security potentially transferable to software orgs, but targeted at national critical infrastructure without explicit software engineering angle"
3AW4MRY5,discard,high,"LLM test generation capability paper measuring coverage and naturalness — evaluates AI output quality without addressing governance, risk management, or oversight of AI-generated code"
URDW3NAB,discard,high,"Domain-specific HITL for power grid topology control — the human-in-the-loop is physical infrastructure operations with no structurally parallel mechanism to code review oversight"
RL7BHQRM,discard,high,"Philosophical analysis of AI regulation's moral underpinnings and value pluralism — general ethics discussion without operationalizable governance mechanism for software engineering organizations"
UWAVSH4J,discard,high,"First Amendment legal analysis of AI-generated speech protections — constitutional law theory with no code, software, or engineering governance angle"
AF5DFFM9,discard,high,"Comparative AI governance policy analysis (EU vs US) at legal/ethical framework level — descriptive without operationalizable mechanism or software engineering specificity"
6V2IES8H,discard,high,"IP/copyright law analysis of AI training data scraping rights — focused on copyright and database rights with no software engineering governance or code oversight angle"
FFSGJTPN,discard,high,"Tort law doctrinal reform for foreseeability of AI agent personal injury harms — provides courts a legal framework but no operationalizable mechanism for software engineering organizations"
J8UKPJUL,discard,high,"Agentic AI governance applied to urban planning and regeneration — domain-specific public infrastructure governance with no software engineering or code oversight transferability"
XVXHN2VC,discard,high,"Algorithm auditing obligations under DMA competition law for digital platforms — competition compliance context with no operationalizable mechanism for software engineering code governance"
ZVLX7CI8,discard,high,"PLS-SEM consumer trust adoption study for ChatGPT — general user behavior research without software engineering governance, code oversight, or developer-specific angle"
3QRY3JEW,discard,high,"OOD detection methodology with XAI for ML datasets — the human oversight mention refers to model debugging support, not software code governance or AI code oversight"
FFJ8L2DK,discard,high,"Legal analysis of AI governance's effect on labor market displacement — labor economics and regulatory baseline focus with no software engineering governance or code oversight angle"
AGW96VF5,keep,high,"Multi-principal agent coordination protocol explicitly benchmarked on code review with human-in-the-loop governance layer and 95% overhead reduction — directly operationalizable for engineering teams managing multiple AI coding agents"
ZFMEWNXZ,maybe,medium,"Enterprise AI governance framework (RAIGE) addressing gaps in NIST AI RMF and EU AI Act — potentially applicable to software organizations but abstract lacks software engineering or code specificity"
BWZWC2AS,discard,high,"Descriptive analysis of AI impact on banking sector — domain-specific with only a brief human oversight mention and no transferable governance mechanism for software engineering"
C67AT7ZP,keep,high,"Financial risk analysis of AI compliance retrofit with actionable multi-framework guidance (SOC 2, NIST AI RMF, EU AI Act, ISO 42001) directly applicable to software engineering organizations building AI-assisted systems"
FKN5H9WB,discard,high,"Legal analysis of AI use in law enforcement and IP rights in training data — domain-specific legal contexts with no software engineering governance or code oversight angle"
3DEZ52N8,discard,high,"Thin abstract covering AI safety and economic autonomy theory with alignment and multipolar AI keywords — speculative and non-operational for software engineering governance"
Y4TIF9KW,keep,high,"Multi-agent multi-LLM system for automated auditable static code review with evaluation against security auditors — directly operationalizable for software organizations needing AI-assisted code security governance"
3YPJ63ZW,maybe,medium,"Mixed-methods evaluation of automation bias, trust, situation awareness, and workload for clinical AI alerts — measurement framework is transferable to code review contexts but requires substantial domain re-derivation"
PFC45HM7,keep,high,"Systematic auditing blueprint for generative AI covering pre-deployment model audits and application audits — directly operationalizable for software organizations auditing AI code generation tools"
CUE8AP27,keep,high,"Empirical study finding that HITL increases AI recommendation uptake but reduces accuracy via automation bias — directly applicable to calibrating human oversight load and trust in AI code review pipelines"
3TUJG87T,keep,medium,"Cryptographically verifiable provenance framework for AI output logging provides accountability mechanism applicable to tracking AI-generated code origin, though the creative AI framing requires re-derivation for code contexts"
84PLDTWQ,discard,high,"Legal theory on AI agent accountability and democratic legitimacy drawing on agency doctrine and EU AI Act — doctrinal analysis without operationalizable mechanism for software engineering organizations"
TX3W8A55,keep,medium,"Identifies operationalisable human oversight governance gap for agentic AI under the EU AI Act — relevant to organizations governing AI coding agents but framed as regulatory analysis rather than direct operational framework"
CUR72PVZ,discard,high,"Speculative AI-human responsibility framework across three AI systems without empirical validation — no operationalizable mechanism transferable to software engineering code governance"
L65X78ML,keep,medium,"Comparative legal analysis of EU AI Act and GDPR compliance requirements including human oversight mandates for AI systems — provides compliance roadmap for software organizations deploying AI code generation tools"
CYW7TLE4,discard,high,"Speculative cognitive theory introducing novel terminology (Notenic Framework, novelty decay) without empirical grounding — no operationalizable governance mechanism for software engineering organizations"
