item_key,decision,confidence,rationale
W88FSFYR,discard,high,"Financial transaction monitoring domain with human oversight framing but no software engineering governance angle or transferable methodology."
ADUKIXA3,maybe,medium,"Examines how organizations structure human oversight under legal mandates — governance mechanism is relevant but the paper has no explicit software engineering or code development context."
8NQZFTC5,discard,medium,"Regulatory gap analysis between agentic AI capabilities and legal frameworks lacks operational mechanisms that SE organizations could directly adopt."
LBBJ3LGD,keep,medium,"Evaluates AI-generated code quality using cyclomatic complexity metrics within a model-driven methodology, providing a reproducible measurement approach for AI code risk assessment."
MEX7QUCP,discard,high,"Legal AI for consumer contract reading in a legal domain with no software engineering governance angle."
C4SRPCPW,discard,high,"AI agent for academic paper replication — academic research reproducibility domain with no software engineering governance angle."
P8735HWN,discard,high,"Theoretical AI safety philosophy about instrumental convergence with no operational mechanism for software engineering governance."
AVBN2W7Z,discard,high,"Algorithmic regulation framework for personalized law in the consumer/legal domain, not software engineering."
6IRWK3FW,discard,high,"EU AI Act analysis applied exclusively to legal sector AI systems with no software engineering or code development angle."
27YULT5I,keep,high,"Directly identifies accountability and transparency deficits in AI-generated code migration and proposes standardized ethical review processes — operationalizable for SE organizations governing LLM-generated code."
IGEYRPWX,discard,high,"Korean national AI governance policy analysis with no software engineering or code-specific angle."
33HNWZ53,keep,high,"Presents a concrete human-in-the-loop review layer specifically for terminal AI coding agents (Codex, Claude Code) with structured oversight mechanisms for code generation and execution."
9VKHJQNV,discard,high,"Digital Services Act systemic risk analysis for platform governance with no software development or code angle."
FWDEJLCT,discard,high,"Economic speculation about AGI-era value domains without operational mechanisms for software engineering governance."
D87A4CAS,keep,high,"Case study quantifying LLM development outcomes (30–40% acceleration, 30% error reduction) while identifying human-in-the-loop oversight requirements for code quality and security — directly actionable for SE teams."
SGRXVCQA,discard,high,"Copyright analysis for AI-generated creative works (music) with no code or software engineering angle."
BBV8NMZE,discard,high,"AI model export controls focused on biosecurity and pathogen risk with no software engineering governance angle."
3HHHN3FE,discard,low,"No abstract available; title suggests theoretical AI alignment philosophy with no evident operational contribution for software engineering governance."
E7BLCAPK,discard,high,"Comparative UK/EU AI regulation policy analysis without software development or code governance angle."
NBAYKIVD,discard,medium,"General AI governance compliance framework for data protection without explicit software engineering, DevSecOps, or code development angle."
DKJ3H42Z,discard,high,"AI intellectual property and sustainable development analysis without software engineering governance mechanisms."
58L74AVY,discard,high,"Tax authority algorithmic transparency analysis in a domain-specific fiscal/legal context with no software engineering transfer."
C88VGWMI,keep,high,"Directly addresses vibe coding security risks with a constitutional constraint methodology showing empirical 73% defect reduction — provides a reproducible, operationalizable framework for SE teams managing AI-generated code."
R6JISKKW,maybe,medium,"Proposes a governance model with decision-state logging and embedded human oversight for AI cybersecurity systems — structure is potentially transferable to software engineering AI oversight but energy sector domain limits direct applicability."
Q5RS3ZXV,maybe,medium,"AI-Assisted Critical Thinking framework reduces over-reliance on AI and supports correction of flawed reasoning — mechanism is relevant to code review oversight but evaluated solely in a non-software prediction domain."
2FLDI3TC,keep,medium,"Empirical experiment comparing human vs. GenAI performance on Agile software management tasks with explicit discussion of human oversight requirements — directly actionable for software teams adopting AI tools."
X3WEGC7V,discard,high,"Deep learning in finance with regulatory framing — domain-specific financial AI with no software development or code governance angle."
CLT4BV2L,discard,high,"Anticipatory AI governance case study in Basque Country focusing on urban AI and data sovereignty with no software engineering angle."
U46GPIIM,discard,high,"Copyright analysis for generative AI outputs with no code or software engineering angle."
7SZA9YHD,discard,high,"Descriptive survey of GenAI security and privacy concerns without operational detection methodology or governance framework for SE organizations."
GXM7YZLC,discard,high,"GDPR/EU AI Act SCOT analysis applied to healthcare AI consent and autonomy — domain-specific with no software engineering transfer."
DSWX3MNN,discard,medium,"Detection framework targets AI-generated textual content for misinformation use cases rather than code — no software engineering angle despite potential methodological parallels."
SLK8NFZ6,discard,high,"Hybrid AI accountability framework in accounting domain with no software engineering governance angle."
TTEUEB9V,keep,high,"NIST AI 600-1 is a foundational governance profile for generative AI directly applicable to software engineering organizations managing AI-generated code."
4VXJUF5I,keep,medium,"Presents a layered operational model for enterprise GenAI including software development workflows with human-in-the-loop systems and governance/compliance structures — operationalizable for SE organizations scaling AI adoption."
BS4B2728,maybe,medium,"Examines human intervention prerequisites in GDPR/AI Act governance frameworks for automated systems — oversight mechanisms could transfer to software engineering but no explicit code or development angle."
28R6AMDI,keep,medium,"BYOAI-GOV framework operationalizes governance postures for informal workplace AI tool adoption (including Copilot) with behavioral archetypes and risk-tiered controls — directly applicable to SE org governance of developer AI tool use."
WTMZQULB,discard,medium,"Describes GenAI capabilities for web development with general ethical considerations but lacks operational governance or oversight methodology for SE organizations."
5Q3CGWB9,discard,high,"Legal analysis of EU AI Act dual regulatory structure with no software development or code governance angle."
TBZNY4G6,discard,high,"EU AI Act international regulatory reach and Brussels Effect analysis with no software engineering angle."
IPVN7YVV,discard,high,"AI governance analysis for wearable device systems — domain-specific non-software with no SE transfer."
KE8F2VNM,discard,high,"Philosophical analysis of AI trust erosion and democratic legitimacy without operational mechanism for software engineering governance."
2G7XY3PU,maybe,medium,"XAI methods for autonomous microservice orchestration provide a human oversight bridge with auditing and debugging capabilities in cloud-native software architecture — FinTech domain but technical approach has direct SE relevance."
6XXZJUW8,discard,high,"AI arbitration governance analysis in legal domain with no software engineering angle."
FNTL6JN9,maybe,medium,"Human-LLM collaboration pipeline for code annotation on Stack Overflow has structural parallels to code review oversight workflows but is focused on annotation tasks rather than code quality governance."
RBKE3GQE,keep,medium,"Proposes a dual-validation framework with human-in-the-loop assessment for LLM-generated software models across quality dimensions — directly applicable to AI code artifact quality assurance workflows."
3S6ZDXGW,discard,medium,"Edge AI governance for banking supervision includes human-in-the-loop mechanisms but banking regulatory domain limits transfer to software engineering code oversight."
EHCPZI63,discard,high,"Literature review on AI in strategic organizational decision-making without software engineering specificity or operational code governance mechanisms."
RFWY7U7L,discard,high,"AI for legal due diligence in M&A — legal/corporate domain with no software engineering governance angle."
PK8DGS2Y,keep,high,"Function-level vulnerability detection framework using LLM chain-of-thought reasoning provides a directly operationalizable mechanism for identifying security risks in AI-generated code."
