item_key,title,abstract,authors,year,item_type,sources,source_queue
ADV5GQEV,RegOps as an agile response to regulatory pressure,"Widely-applied Agile practices accelerate delivery but offer limited consideration of regulatory compliance. / Within the tension between agility and compliance, the concept of RegOps emerged from the strictly regulated industry, yet it remains underexplored in / RegOps, Regulatory Compliance, Agile, Complex Adaptive Systems Theory, EU AI Act",Nan Yang; Ali Mehraj; Xiaofeng Wang; David H¨astbacka; Kari Systä,2025,journalArticle,ssrn,keep_queue
FQZWY343,"Automated program repair with the GPT family, including GPT-2, GPT-3 and CodeX","Automated Program Repair (APR) is a promising approach for addressing software defects and improving software reliability. There are various approaches to APR, including using Machine Learning (ML) techniques such as neural networks and evolutionary algorithms, as well as more traditional methods such as static analysis and symbolic execution. In recent years, there has been growing interest in using ML techniques for APR, including the use of large language models such as GPT-2 and GPT-3. These models have the ability to generate human-like text and code, making them well-suited for tasks such as generating repair patches for defective programs. In this paper, we explore the use of the GPT family (including GPT-2, GPT-J-6B, GPT-3 and Codex) for APR of JavaScript programs and evaluate their performance in terms of the number and quality of repair patches generated. Our results show that these state-of-the-art language models are able to generate repair patches that successfully fix the defects in the JavaScript programs, with Codex performing slightly better overall. To be precise, in our self-assembled dataset, Codex was able to generate 108 repair patches that are exactly the same as the developer fix for the first try. If we consider multiple patch generations, up to 201 buggy programs are being repaired automatically from the 1559 evaluation dataset (12.89%).",M. Lajkó; V. Csuvik; T. Gyimothy; L. Vidács,2024,conferencePaper,ieee,maybe_queue
IIECQWIK,"Revolutionizing defect recognition in hard metal industry through AI explainability, human-in-the-loop approaches and cognitive mechanisms","Defect detection is one of the main areas that Industry 4.0 concepts like automation, IoT, digitization and AI aimed to provide solutions. In this work, a platform that extends the aforementioned concepts with ones coming from Industry 5.0 like reconciliation and collaboration between humans and machines is introduced. The proposed platform provides defect detection and localization services for hard metal industry by extending current AI solutions with exponentially growing technologies such as interpretable and explainable AI (XAI), human-in-the-loop (HITL) approaches and cognitive retraining mechanisms. In particular, the platform, that is built on a micro-service architecture to enable its software sustainability, is powered by machine and deep learning models for defect detection and localization. These models are able to recognize the defects, locate them with high precision and present them to end users so to maximize resiliency in quality inspection processes. Alongside the state-of-the-art AI algorithms that are utilized by the platform, the human in the loop mechanisms and interfaces that enable human experts to inject their knowledge for AI models training are considered as key innovative aspects of this work. To enhance further the human and AI collaboration, XAI mechanisms are included in the platform,to enable the experts to gain useful insights regarding the operation of the AI models in order to be able to provide further feedback that can trigger on-the-fly platform's cognition mechanisms to improve models' accuracy and performance.",Kotsiopoulos; Papakostas; Vafeiadis; Dimitriadis; Nizamis,2024,journalArticle,wos,maybe_queue
SN8B7PN8,Governing at a distance: the EU AI act and GDPR as pillars of global privacy and corporate governance,"defining feature of the AI Act is its extraterritorial scope, mirroring the reach of the General Data Protection Regulation (GDPR). / benchmark for AI regulation. / Artificial Intelligence, Privacy, Corporate Governance, GDPR, Compliance, European AI Act",Maria de Lourdes Haynes,2025,journalArticle,ssrn,keep_queue
I9A3AE35,"Mechanistic interpretability for large language model alignment: progress, challenges, and future directions","how interpretability insights have informed alignment strategies including reinforcement learning from human feedback (RLHF), constitutional AI, and scalable / oversight.",Usman Naseem,2026,journalArticle,ssrn,keep_queue
F5R9YQG3,Accountants and generative AI: hype or help?,"Findings-Generative AI is found to supports performance of key accounting functions including financial reporting, strategic decision-making (management accounting), risk / Thus, a cautious approach, with human oversight, is recommended for its use in accounting to ensure accuracy and accounting information reliability, confidentiality / Artificial Intelligence, ChatGPT Benefits and Risks, Accounting Information Risk, AI Adoption in Accounting Practice",Jude Edeigba,2025,journalArticle,ssrn,maybe_queue
2SRQ7Z6N,The “code” of ethics: a holistic audit of AI code generators,"AI-powered programming language generation (PLG) models have gained increasing attention due to their ability to generate source code of programs in a few seconds with a plain program description. Despite their remarkable performance, many concerns are raised over the potential risks of their development and deployment, such as legal issues of copyright infringement induced by training usage of licensed code, and malicious consequences due to the unregulated use of these models. In this article, we present the first-of-its-kind study to systematically investigate the accountability of PLG models from the perspectives of both model development and deployment. In particular, we develop a holistic framework not only to audit the training data usage of PLG models, but also to identify neural code generated by PLG models as well as determine its attribution to a source model. To this end, we propose using membership inference to audit whether a code snippet used is in the PLG model's training data. In addition, we propose a learning-based method to distinguish between human-written code and neural code. In neural code attribution, through both empirical and theoretical analysis, we show that it is impossible to reliably attribute the generation of one code snippet to one model. We then propose two feasible alternative methods: one is to attribute one neural code snippet to one of the candidate PLG models, and the other is to verify whether a set of neural code snippets can be attributed to a given PLG model. The proposed framework thoroughly examines the accountability of PLG models which are verified by extensive experiments. The implementations of our proposed framework are also encapsulated into a new artifact, named CodeForensic, to foster further research.",W. Ma; Y. Song; M. Xue; S. Wen; Y. Xiang,2024,journalArticle,ieee,keep_queue
QC3ANMVE,CISA roadmap for artificial intelligence,,Cybersecurity Infrastructure And Security Agency,2023,document,coursework,keep_queue
9SU5JRE2,"The files are in the computer: on copyright, memorization, and generative AI","The New York Times’s copyright lawsuit against OpenAI and Microsoft alleges that OpenAI’s GPT models have “memorized” Times articles. / First, not all learning is memorization: much of what generative-AI models do involves generalizing from large amounts of training data, not just memorizing / copyright, generative AI, memorization",A. Feder Cooper; James Grimmelmann,2024,journalArticle,ssrn,maybe_queue
TN2MR8S8,Assertion-aware test code summarization with large language models,"Unit tests often lack concise summaries that convey test intent, especially in auto-generated or poorly documented codebases. Large Language Models (LLMs) offer a promising solution, but their effectiveness depends heavily on how they are prompted. Unlike generic code summarization, test-code summarization poses distinct challenges because test methods validate expected behavior through assertions rather than implementing functionality. This paper presents a new benchmark of 91 real-world Java test cases paired with developer-written summaries and conducts a controlled ablation study to investigate how test code-related components-such as the method under test (MUT), assertion messages, and assertion semantics-affect the performance of LLM-generated test summaries. We evaluate four code LLMs (Codex, Codestral, DeepSeek, and Qwen-Coder) across seven prompt configurations using n-gram metrics (BLEU, ROUGE-L, METEOR), semantic similarity (BERTScore), and LLM-based evaluation. Results show that prompting with assertion semantics improves summary quality by an average of 0.10 points (2.3 %) over full MUT context (4.45 vs. 4.35) while requiring fewer input tokens. Codex and Qwen-Coder achieve the highest alignment with human-written summaries, while DeepSeek underperforms despite high lexical overlap. The replication package is publicly available at https://doi.org/10.5281/zenodo.17067550",A. H. Mollah; A. Aljohani; H. Do,2025,conferencePaper,ieee,maybe_queue
