item_key,title,abstract,authors,year,item_type,sources,source_queue
R2PDITDG,"Artificial intelligence in commodity trading: an industry review of front-to-back transformation, risk, and governance","Artificial intelligence is enabling a front-to-back redesign of commodity trading operations. / Safe deployment requires an architectural approach combining robust data infrastructure, independent model validation, and human oversight with adequate",Xinran Liu,2026,journalArticle,ssrn,maybe_queue
4A6JE4Z8,Advancing Social Intelligence in AI Agents: Technical Challenges and Open Questions,,Mathur; Liang; Morency,2024,preprint,naimi-book|naimi-references,maybe_queue
JW9744N2,Principles for the secure integration of artificial intelligence in operational technology,,Us Cybersecurity And Infrastructure Security Agency,2025,document,coursework,keep_queue
6EZVC86Z,A diagnostic methodology for responsible ai maturity in E-business,"Risk Management Framework (AI RMF). / AI maturity. / Artificial Intelligence, e-Business, Maturity Model, Capability Model, AI Governance, AI Ethics, Digital Transformation, Sustainable Innovation",Yolanda Ramírez; Francisco Montero,2025,journalArticle,ssrn,keep_queue
34U9VE43,"The absent quality: agentic AI, human presence, and the paradox of control","Third, philosophical: Robert Pirsig's Metaphysics of Quality as an anticipatory diagnosis of the fracture now manifest in agentic AI. / The paper argues that what agentic AI normalises is not the absence of quality but its replacement by a simulacrum that bears all the external marks of / agentic AI, automation complacency, quality of work, human oversight, Kaizen, Pirsig, AI governance, knowledge work",Martino Pirella,2026,journalArticle,ssrn,keep_queue
4XEV8HGN,Invisible infrastructure: bridging the digital divide in AI readiness for safety-net healthcare organizations,"These findings underscore that closing the digital divide in AI adoption requires moving beyond organization-centric accounts of AI readiness toward coordinated / , ecosystem-level approaches to AI governance and shared institutional support in the safety-net. / Healthcare, Digital Divide, AI Readiness, AI Governance, Technical Assistance",Jee Young Kim; Ciera Thomas; Sena Kpodzro; Alifia Hasan; Manesh Patel,2026,journalArticle,ssrn,maybe_queue
YHXNQBEB,AI-driven output checking for official statistics: leveraging LLMs and workflow automation,"Researchers rely on confidential and sensitive microdata provided by national statistical institutes and other organizations, making disclosure control a critical challenge. Manual output checking processes are time-consuming and require expert knowledge, limiting scalability. This paper presents an automated framework that integrates large language models (LLMs), prompt engineering, and workflow automation (n8n) for statistical disclosure control (SDC). The system introduces an AI-driven output validation, including code generation, data processing, and risk assessment, allowing researchers to pre-check their outputs via a Seamless Within-Activity Review (SWAR) approach. Key challenges such as computational costs, confidentiality concerns, and the need for human oversight are addressed, and reinforcement learning is proposed to enhance future risk evaluation. The framework marks a step toward scalable, privacy-compliant, AI-assisted disclosure control in official statistics. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.",Carvalho; Ashofteh; Campos; Rocha A.; García Peñalvo F.,2026,conferencePaper,,maybe_queue
EDWSL5HF,AI-enabled workforce governance in public healthcare: an applied legitimacy-based model for polish hospital HR systems,"Building upon prior conceptual work on legitimacy-preserving AI governance architecture, this study advances an applied AI-enabled workforce governance / literature, the Public AI-HR Governance Framework (P-AIHR) integrates five operational governance pillars supported by a 36-month implementation roadmap / Artificial Intelligence, Public Healthcare, Workforce Governance, HR Analytics, Explainable AI, Algorithmic Accountability, GDPR, EU AI Act",Dawid Prestini,2026,journalArticle,ssrn,maybe_queue
9B53AL9V,"Artificial intelligence safety: a comprehensive review of threats, governance frameworks, and strategic recommendations for responsible deployment","2019), Hadfield-Menell et al. (2016), Amodei et al. (2016), Gabriel (2020), and Leike et al. (2018), as well as landmark policy documents including the EU / AI Act (2024), the NIST AI Risk Management Framework (2023), and the Bletchley Declaration (2023), we evaluate existing frameworks and propose ten evidencebased / Artificial Intelligence Safety, AI Alignment, Machine Learning Risks, AI Governance, AI Ethics, Existential Risk, Responsible AI, AI Regulation, Deep Learning",Anamul Haque,2026,journalArticle,ssrn,keep_queue
ZMHYJ76N,Squaring the circle? Reconciling artificial justice and judicial independence in the EU,"EU AI Act. / Is compliance with both judicial independence and the EU AI Act achievable, or rather practically impossible, similarly to the squaring of a circle? / Artificial Justice, EU, EU AI Act, Judicial Independence",Giulia Gentile,2026,journalArticle,ssrn,maybe_queue
YJECSBHW,Towards automated governance: a DSL for human-agent collaboration in software projects,"The stakeholders involved in software development are becoming increasingly diverse, with both human contributors from varied backgrounds and AI-powered agents collaborating together in the process. This situation presents unique governance challenges, particularly in Open-Source Software (OSS) projects, where explicit policies are often lacking or unclear. This paper presents the vision and foundational concepts for a novel Domain-Specific Language (DSL) designed to define and enforce rich governance policies in systems involving diverse stakeholders, including agents. This DSL offers a pathway towards more robust, adaptable, and ultimately automated governance, paving the way for more effective collaboration in software projects, especially OSS ones.",A. Ait; G. Jouneaux; J. L. Cánovas Izquierdo; J. Cabot,2025,conferencePaper,ieee,keep_queue
SDIMSRMI,An evaluation framework for software unit tests generated by large language models,"Faulty software unit tests can lead to undetected bugs, undermining software quality, reliability, and security. While prior research has explored automated test generation, it often neglects the use of state-of-the-art LLMs, lacks differentiation between test and program faults, overlooks readability and maintainability metrics, and rarely leverages prompt engineering for optimization. To address these gaps, this paper introduces a comprehensive evaluation framework for assessing the quality of LLM-generated unit tests along three key dimensions: validity, effectiveness, and readability. The framework combines established metrics with a newly proposed metric for validity, encompassing Build & Successful Execution Rate and Unit Test Failure Evaluation (for validity), Line Coverage and Mutation Score (for effectiveness), and Flesch-Kincaid Grade Level, Gunning Fog Index, and Halstead Metrics (for readability). We apply this framework to unit tests generated by two leading LLMs-GPT40 and Llama 3-70B-8192-across 10 Java programs, also examining how prompt engineering affects test quality. Our findings provide a detailed picture of current LLMs' capabilities and limitations in unit test generation, offe ring actionable insights for researchers and practitioners aiming to integrate LLMs into software testing workflows. Source code is available at the following link - https://github.com/StevenTNguyen-Code/Quality-of-AI-Generated-Test-Cases",S. T. Nguyen; S. Bharath; H. Homayouni,2025,conferencePaper,ieee,keep_queue
YHACVP65,The EU artificial intelligence act: an introduction,"We begin with the legislative background of the AI Act, providing essential context for its inception and development (section 2). / compliance obligations will arise (section 9). / AI Act, AI, artificial intelligence, Regulation 2024/1689, 2024/1689",Ceyhun Necati Pehlivan,2025,journalArticle,ssrn,keep_queue
JTW2DDJ2,Technology Acceptance Model 3 and a Research Agenda on Interventions,,Venkatesh; Bala,2008,journalArticle,naimi-book|naimi-references,maybe_queue
EVWC87QJ,From promise to concern: public perceptions of ai in ESG frameworks over time,"AI technologies. / The social dimension displays fluctuating sentiment, influenced by debates on automation, fairness, and ethical accountability.",Francesco Laviola; Nicola Cucari,2025,journalArticle,ssrn,maybe_queue
P82TNFPB,"A robust governance for the AI act: AI office, AI board, scientific panel, and national authorities","it explains how the EU´s new Artificial Intelligence Act (AIA) will be implemented and enforced by various institutional bodies, thus clarifying the governance / Second, it proposes a normative model of governance, providing recommendations to ensure uniform and coordinated execution of the AIA and the fulfilment / AI Act, institutional design, EU governance, AI Office, AI Board, National Authorities",Claudio Novelli; Philipp Hacker; Jessica Morley; Jarle Trondal; Luciano Floridi,2024,journalArticle,ssrn,keep_queue
27D36V3E,The ethical concerns raised using AI tools on software development systems,"The advantages, disadvantages, and ethical concerns raised by AI technologies in software creation are the primary foci of this study. It turns out that AI can cut software mistakes in half and boost efficiency by 15% in SMEs, according to an analysis of tools like DeepCode and GitHub Copilot. Intellectual property rights, prejudice, and over-reliance are still problems. Data is gathered via interviews and surveys from developers and specialists, and the research employs both quantitative and qualitative methods, following a case study methodology. For technology to be used sustain, the research suggests building ethical frameworks and combining developers’ abilities with AI. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.",Fawareh; Alsharari,2026,journalArticle,,keep_queue
4BARPSJC,Regulating generative AI through copyright law,"Both in the U.S. and in the EU, it is a matter of controversy whether copyrighted content may be used to train generative AI. / AI entails. / Copyright, generative AI, AI Act, AIA, TDM, text and data mining, fair use, European Union, EU, United States, U.S.",Katharina de la Durantaye,2023,journalArticle,ssrn,maybe_queue
