item_key,title,authors,year,item_type,abstract
ES9ZIMH5,"The compliance theater of large language models: an exploratory case study using the factuality, recourse, and constraint (FRC) framework",Don Michael Pierce,2026,journalArticle,"Large Language Models (LLMs), AI Governance, Compliance Theater, Model Risk Management, AI Alignment, Adversarial Testing, Regulatory Compliance, Enterprise"
H66M6N9R,The paradox of governance calibration at machine speed: why human intervention cannot meet the decision moment,Keith M. Driver,2026,journalArticle,"Over the past several years, AI governance has evolved in material ways. / The implications extend beyond any single organization or regulatory regime."
TCNBDBIP,Coherence under acceleration: judgment integrity In a high-velocity convergence era,Daniel Calloway,2026,journalArticle,"Drawing on cognitive neuroscience, human factors research, and enterprise studies, the paper maps where coherence frays first (inside people, inside organizations / AI Governance, Judgment Integrity, Human-In-The-Loop, Cognitive Load, Automation Bias, Regulatory Compliance, Organizational Risk, Decision-Making Under / Certainty, Auditability, Systems Governance, Legal AI, Risk Management"
ML88MC4H,"A taxonomy of AI governance approaches: distinguishing visibility, alignment, and authorization",Edward Meyman,2026,journalArticle,"The term ""AI governance"" has become semantically overloaded. / The goal is to provide enterprise buyers, regulators, researchers, and auditors a shared vocabulary for evaluating AI governance claims against the requirements / AI governance, deterministic governance, proof-carrying decisions, regulatory compliance, enterprise AI, authorization layer, GRC, AI accountability, algorithmic"
TW9IB9DE,The AI governance gap: quantifying enterprise AI risk through the janus protocol,Janga Breckenridge,2026,journalArticle,"Drawing on the EU Artificial Intelligence Act [1], ISO/IEC 42001 standards [2], and the NIST AI Risk Management Framework [3], the framework functions / This research positions AI governance not as an aspirational ethical commitment, but as a measurable enterprise risk category requiring systematic assessment / AI Governance, Enterprise Risk, Regulatory Compliance, Algorithmic Accountability, Risk Quantification"
IXX69K6D,MCP + SKILL: a deterministic architecture for enterprise AI automation with selective intelligence application,Debendra Ray,2026,journalArticle,"The framework achieves enterprise-grade auditability while preserving intelligent capability for genuinely ambiguous scenarios. / We position MCP + SKILL as complementary to emerging AI governance frameworks, addressing the execution layer while governance frameworks address authorization / Deterministic AI Workflows, Model Context Protocol, Enterprise AI Architecture, LLM Cost Optimization, Agentic AI Systems, Workflow Orchestration, AI Auditability"
4TYKTMN4,Governing AI without killing value: KEV - a defensibility-first governance framework,Andrew J Devin,2026,journalArticle,"In mainstream enterprise deployments, that verification condition is not yet available as a default property of foundation model outputs. / AI Governance, Fiduciary Duty, Verification Debt, Corporate Liability, Board Accountability, Decision Architecture, KEV Framework, Sovereign Intelligence / Flywheel, Accountability Arbitrage, Insurance Exclusion, Regulatory Compliance, AI Risk Management, Architectural Exposure, Epistemic Debt, Audit and"
KV98BNHC,Trust infrastructure for the AI economy: reducing financial risk and fraud in regulated sectors through semantic governance,Ashutosh Bhatnagar; Ganesh Pokhariyal,2026,journalArticle,"Artificial intelligence assistants are rapidly being deployed in regulated sectors such as healthcare systems, enterprise environments, and global finance / A single AI error in clinical decision support can trigger malpractice claims; in insurance processing, it can amplify fraud; in enterprise knowledge systems / Algorithmic Trading Security, Market Manipulation Prevention, Financial Fraud Mitigation, Healthcare AI, Enterprise AI Assistants, Prompt Injection, LLM / Security, AI Governance, Semantic Instruction Layer, Trustworthy AI, Economic Risk Management, Compliance Automation, Clinical Decision Support, AI Watermarks"
FWH4AVHN,"A sector-agnostic contextual validation architecture for AI reliability in high-stakes environments: empirical evidence from healthcare, infrastructure, and retail deployments",Ameer Fahad Ali Khan,2026,journalArticle,"The deployment of artificial intelligence systems in high-stakes operational environmentsincluding healthcare, critical infrastructure, and large-scale enterprise / The architecture directly addresses requirements identified in the NIST AI Risk Management Framework (AI RMF 1.0) and aligns with national AI safety priorities / AI Reliability, Hallucination Mitigation, Contextual Validation, Critical Infrastructure AI, Healthcare AI, Enterprise AI Safety, Retrieval-Augmented Generation / , Multi-Layer Validation, AI Risk Management"
F72TIGMC,Bounded agency: an ethical and institutional limit for autonomous AI systems,Ravi Bhagavatula,2026,journalArticle,"Across financial systems, content platforms, healthcare AI, and enterprise automation, the absence of Bounded Agency appears systemic rather than exceptional / governance. / Bounded Agency, Bounded Agency Limit (BAL), AI Governance, Autonomous Systems, Algorithmic Decision-Making, Institutional Design, AI Ethics, System Complexity"
