item_key,title,authors,year,item_type,abstract
99MDCADU,Authority illusion and the architecture of responsibility in AI governance,Mumtaz Enser,2026,journalArticle,"AI governance, responsibility gap, authority illusion, authority mapping, humanin-the-loop, algorithmic accountability"
IMG5R8EY,capAI - a procedure for conducting conformity assessment of AI systems in line with the EU artificial intelligence act,Luciano Floridi; Matthias Holweg; Mariarosaria Taddeo et al.,2022,journalArticle,"The main purpose of capAI is to serve as a governance tool that ensures and demonstrates that the development and operation of an AI system are trustworthy / AI, AI Act, AI legislation, AI Auditing, Conformity Assessment, EU, Trustworthy AI"
YXKHSW6S,Meaningful human control to detect algorithmic errors,Winston Maxwell,2023,journalArticle,"to the October 6, 2020 ruling of the CJEU, many other statutes and court decisions require human control over algorithmic decisions: the EU’s proposed AI / I will not discuss in this article the other objectives linked to human control, including its role in allocating liability and in demonstrating compliance / human control, AI, artificial intelligence, explainability, meaningful human control, GDPR, AI Act, human rights, error detection, Ligue des droits humains"
ABDFJPZZ,AI liability in Europe: how does it complement risk regulation and deal with the problem of human oversight?,Beatriz Botero Arcila,2023,journalArticle,"In the European Union and elsewhere around the world, AI governance is turning towards risk regulation. / While risk regulations like the AI Act regulate some aspects of these human and machine interactions, they do not offer those impacted by AI systems any / AI Liability, AI Act, Human in the loop, Human-AI systems, AI harms, Liability law, fault based liability, strict liability, AI complexity, AI opacity"
WRF2X8QE,Artificial intelligence systems in the European union: guidelines and architectures for compliance-by-design,Daniele Canavese; Afonso Ferreira; Romain Laborde et al.,2024,journalArticle,"However, the requirements, guidelines, and best practices mandated in the AI Act are spread amongst various articles and annexes. / We also provide generic architectures to help developers design fully compliant solutions with the AI Act and Cyber Resilience Act. / Artificial Intelligence, Software Engineering, Artificial Intelligence Act, Cyber Resilience Act, Compliance-by-Design, compliance, European Union Regulation"
SD744UB3,Are organisations ready for ai security compliance: a cross-sector survey,Harriet Farlow; Matthew Garrat; Gavin Mount et al.,2024,journalArticle,"There are already standards that govern AI security by ISO and NIST, and legislation like the EU AI Act and California laws. / Third, organisational compliance readiness is extremely low (19%)."
8X8VFCWY,"Leashes, not guardrails: a management-based approach to artificial intelligence risk regulation",Cary Coglianese; Colton R. Crum,2025,journalArticle,"leash only protects others when a human retains a firm grip on the handle, the kind of leashes that should be deployed for AI will also demand human oversight / Our aim is to facilitate future research and decision-making that can improve the efficacy of AI regulation by leashes, not guardrails. / Artificial intelligence, AI, AI safety regulation, digital technologies, AI risk governance, management-based regulation, risk management"
S57GJ9VD,Simplifying software compliance: AI technologies in drafting technical documentation for the AI act,Francesco Sovrano; Emmie Hine; Stefano Anzolut et al.,2025,journalArticle,"The European AI Act has introduced specific technical documentation requirements for AI systems. / creating technical documentation that complies with the AI Act. / AI Act, Legal Compliance, Technical Documentation, Applied Computing in Law, Software Documentation Mathematics Subject Classification (2020) 68N30"
YAJNA2AL,AI act high-risk AI compliance challenge and industry impact: a multiple case study,Matthias Wagner; Qunying Song; Markus Borg et al.,2025,journalArticle,"The AI Act marks a new chapter in AI governance, affecting companies around the world seeking to offer their services within the European Union. / We explored the perceived compliance challenge for the AI Act's high-risk requirements and associated contributing factors; the AI Act's impact / AI Act, Compliance Challenge, Industry Impact, Multiple Case Study, Software Compliance, Regulatory Requirements, AI Governance"
KREBS4T3,From policy to practice: prototyping the EU AI act's human oversight requirements,Wannes Ooms; Lotte Cools; Thomas Gils et al.,2025,journalArticle,"Article 14 AI Act mandates that high-risk AI systems are designed and developed in such a way that they enable effective human oversight. / In addition, the report also features reviewer feedback on those documents and the human oversight requirement contained in article 14 AI Act. / AI Act, Human oversight, high-risk AI systems, policy prototyping, product safety, law enforcement, AI in education, AI in healthcare, Artificial Intelligence / , AI governance, compliance, AI regulation"
TEFL3IWF,Spider vision: dual-level oversight for AI governance,Timothy Young,2025,journalArticle,"Technical audits assess model behavior, robustness, and bias, while institutional governance oversees compliance, accountability, and social impact. / Positioned alongside the OECD AI Principles, the EU AI Act, and the NIST AI Risk Management Framework, Spider Vision offers a measurable, operational / Spider Vision, dual-level oversight, AI governance, Primary Vision, Secondary Vision, Bias, Persistence, Accountability Drift, Trust Erosion, institutional / accountability, algorithmic risk, sociotechnical systems, virtue ethics (operational), oversight coordination"
JCAQ3AHU,AI certification and assessment catalogues: practical use and challenges in the context of the European AI act,Gregor Autischer; Kerstin Waxnegger; Dominik Kowald,2025,journalArticle,Our methodology involves leveraging the Fraunhofer AI Assessment Catalogue as a comprehensive tool to systematically assess an AI model’s compliance with
DLQVQZ5K,Redefining responsibility: novel paths in ai governance,Sivadeep Katangoori; Anudeep Katangoori,2025,journalArticle,"The need to put ethical principles into practice through AI governance (AIG) is increasing in response to the explosion of papers outlining organizations / research directions by showcasing the state-of-the-art in AI governance. / AI Governance, AI Regulation, Responsible AI, AI Transparency, AI Ethics, Systematic Literature Review (SLR)"
Z4A98575,The regulation of fine-tuning: federated compliance for modified general-purpose AI models,Philipp Hacker; Matthias Holweg,2025,journalArticle,"This paper addresses the regulatory and liability implications of modifying general-purpose AI (GPAI) models under the EU AI Act and related legal frameworks / Second, the discussion clarifies when exactly a modifying entity qualifies as a GPAI provider under the AI Act, which significantly alters the compliance / General-purpose AI, foundation models, fine-tuning, regulation, liability, GPAI, AI Act, Product liability"
EZQK6GTD,Legal challenges in the deployment of large language models: a comparative analysis under the GDPR and EU AI act,Ali Vaezi,2025,journalArticle,"This study examines how the GDPR and the EU AI Act regulate the deployment of LLMs, highlighting key legal challenges in data processing, transparency, / and real-world case studies, it identifies where obligations under both regimes converge (such as in lawful processing, data minimization, and human oversight / Large Language Models, GDPR, EU AI Act, Automated Decision-Making"
AKQXN7W7,On leashing (and unleashing) AI innovation,Cary Coglianese; Colton R. Crum,2025,journalArticle,"to impose “guardrails” on the development and deployment of AI. / Paradoxically, by leashing AI through responsible human management oversight, rather than trying futilely to keep it within some fixed guardrails, AI governance / artificial intelligence, AI, AI safety regulation, digital technologies, AI risk governance, management-based regulation, machine learning"
8BLIERUP,Deterministic AI governance via post-processing constraint layers: the DELIA architecture,Edward Meyman,2025,journalArticle,"Unlike probabilistic oversight approaches, DELIA guarantees reproducibility, auditability, and sub-second governance decisions through a flat-constraint / We evaluate its applicability in finance, healthcare, and legal domains, and position it within emerging regulatory landscapes including the EU AI Act / AI Governance, Deterministic Systems, Constraint Satisfaction, AI Alignment, Regulatory Compliance, Audit Trails, Post-Processing Architecture, Model-Agnostic / AI, Formal Verification, Enterprise AI Compliance, Cryptographic Auditability, Multi-Agent Alignment"
LL3MSMUB,Technical AI assurance for trustworthy systems in the age of regulation: a framework for compliance and defensibility,Don Liyanage,2025,journalArticle,"The introduction of the European Union's AI Act, the first comprehensive legal framework for AI, establishes a global benchmark for regulation, mandating / We analyse the requirements of the EU AI Act and map them to the operational framework provided by the ISO/IEC 42001 standard for AI Management Systems / Artificial Intelligence, AI Assurance, EU AI Act, ISO 42001, Explainable AI (XAI), Trustworthy AI, Decision Defensibility, Neuro-Symbolic AI, Third Generation"
ADUKIXA3,From ethification to juridification: human oversight and the potential crowding out of ethicists by lawyers in AI governance,Johann Laux,2025,journalArticle,"First, it conceptualises human oversight of AI as a novel task for human labour in AI governance, induced by legal regulation and distinct from market-driven / Third, the article examines how organisations may manage the ethical decision-making that persists within legally mandated oversight, comparing compliance-and / Artificial Intelligence, Human Oversight, AI Act, AI Ethics, Regulation"
PKN9D6XZ,Dual-use of generative AI in cybersecurity: balancing offensive threats and defensive capabilities in the post-LLM era,Sridhar Krishna Korimilli; Md Habibur Rahman; Goutham Sunkara et al.,2025,journalArticle,"As a new metric, the Dual-Use Risk Index (DURI) is proposed to rate generative works live, backed by guard violations built into the governance by design / The framework is consistent with the top regulatory efforts, including the NIST AI Risk Management Framework and the EU AI Act. / Generative AI, Large Language Models, Cybersecurity, Dual-Use Risk, Governance Framework, Prompt Engineering, AI Ethics, Information Systems Security,"
