item_key,title,authors,year,item_type,abstract
S9PIS4IB,ChainBuddy: an AI agent system for generating LLM pipelines,Zhang; Arawjo,2024,preprint,"As large language models (LLMs) advance, their potential applications have grown significantly. However, it remains difficult to evaluate LLM behavior on user-defined tasks and craft effective pipelines to do so. Many users struggle with where to start, often referred to as the ""blank page problem."" ChainBuddy, an AI workflow generation assistant built into the ChainForge platform, aims to tackle this issue. From a single prompt or chat, ChainBuddy generates a starter evaluative LLM pipeline in ChainForge aligned to the user's requirements. ChainBuddy offers a straightforward and user-friendly way to plan and evaluate LLM behavior and make the process less daunting and more accessible across a wide range of possible tasks and use cases. We report a within-subjects user study comparing ChainBuddy to the baseline interface. We find that when using AI assistance, participants reported a less demanding workload, felt more confident, and produced higher quality pipelines evaluating LLM behavior. However, we also uncover a mismatch between subjective and objective ratings of performance: participants rated their successfulness similarly across conditions, while independent experts rated participant workflows significantly higher with AI assistance. Drawing connections to the Dunning-Kruger effect, we draw design implications for the future of workflow generation assistants to mitigate the risk of over-reliance."
ZX8V7UJS,AIOps for reliability: evaluating large language models for automated root cause analysis in chaos engineering,Szandała,2025,conferencePaper,"As modern IT infrastructures grow in complexity, root cause analysis (RCA) is becoming increasingly crucial for Site Reliability Engineering (SRE). Traditional RCA relies heavily on human expertise, making incident resolution time-consuming and error-prone. With the rise of AIOps (Artificial Intelligence for IT Operations), Large Language Models (LLMs) have emerged as potential tools for automating incident detection and diagnosis. This study evaluates the capability of GPT-4o, Gemini-1.5, and Mistral-small in diagnosing system failures purely from observability metrics within a chaos engineering framework. We simulate eight real-world failure scenarios in a controlled e-commerce environment and assess LLMs’ performance in zero-shot and few-shot settings compared with Site Reliability Engineers. While LLMs can identify common failure patterns, their accuracy is highly dependent on prompt engineering. In zero-shot settings, models achieve moderate accuracy (44–58%), often misattributing harmless load spikes as security threats. However, few-shot prompting improves performance (60–74% accuracy), suggesting that LLMs require structured guidance for reliable RCA. Despite their potential, LLMs are not yet ready to replace human SREs, who achieved over 80% accuracy due to hallucinations, misclassification biases, and lack of explainability. The findings highlight that LLMs can be co-pilots in incident response, but human oversight remains essential.GitHub with code and dataset: https://github.com/szandala/llms-chaos-engineering © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025."
YHXNQBEB,AI-driven output checking for official statistics: leveraging LLMs and workflow automation,Carvalho; Ashofteh; Campos,2026,conferencePaper,"Researchers rely on confidential and sensitive microdata provided by national statistical institutes and other organizations, making disclosure control a critical challenge. Manual output checking processes are time-consuming and require expert knowledge, limiting scalability. This paper presents an automated framework that integrates large language models (LLMs), prompt engineering, and workflow automation (n8n) for statistical disclosure control (SDC). The system introduces an AI-driven output validation, including code generation, data processing, and risk assessment, allowing researchers to pre-check their outputs via a Seamless Within-Activity Review (SWAR) approach. Key challenges such as computational costs, confidentiality concerns, and the need for human oversight are addressed, and reinforcement learning is proposed to enhance future risk evaluation. The framework marks a step toward scalable, privacy-compliant, AI-assisted disclosure control in official statistics. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026."
E89ASTEW,Aeros(CASP): advancing certification and safety through commonsense reasoning-based constraint answer set programming,Doan,2025,conferencePaper,"The grounding of the Boeing 737 Max underscores an urgent need for faster, more reliable, and scalable quality assurance processes in aerospace engineering. This paper introduces Aeros(CASP), a novel logic-based artificial intelligence framework designed to revolutionize automated airworthiness certification by ensuring formal correctness, reliability, and compliance throughout the certification process. Built on the Prolog-based non-monotonic reasoner s(CASP), Aeros(CASP) leverages constraint answer set programming to deliver deterministic, real-time validation of Federal Aviation Administration (FAA) standards. By encoding and verifying immutable regulatory rules with precision, Aeros(CASP) ensures rigorous alignment with federal requirements, significantly reducing the risks of human oversight and the inconsistencies of existing automated approaches. Unlike traditional certification methods or generative AI models prone to inaccuracies and ambiguities, Aeros(CASP) integrates rule-based reasoning with real-time compliance checks, offering a transparent and formally verifiable solution. Preliminary validation of the framework has demonstrated its ability to evaluate FAA compliance cases with clarity and consistency, addressing bottlenecks in traditional certification processes and setting a foundation for future scalability. Developed in alignment with DARPA’s Automated Rapid Certification of Software (ARCOS) initiative, Aeros(CASP) expands automation capabilities beyond software to encompass hardware systems, bridging a critical gap in modern aerospace certification. This paper outlines the technical architecture of Aeros(CASP), including its constraint-solving methodology, integration with existing regulatory workflows, and approaches to mitigating the challenges of applying formal logic systems to dynamic and complex aerospace requirements. By preserving human-centric control while enhancing safety and efficiency, Aeros(CASP) represents a transformative step forward in automated certification. Future research will explore its scalability to high-stakes domains such as autonomous vehicles and medical devices, highlighting its broader potential to redefine quality assurance in safety-critical industries. © 2025, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved."
NH5MSAQ4,A fully automated agent for end-to-end code translation and validation,Erer; Bozanta; Aytac et al.,2025,conferencePaper,"Migration of software across programming languages is a critical yet labor-intensive task, often requiring deep code understanding and manual intervention. In this study, we develop a fully automated agent for end-to-end code translation and validation. First, we generate code comments from Java source code using various large language models (LLMs) to enhance code comprehension and facilitate cross-language translation. Second, leveraging these AI-generated comments, we automatically generate equivalent C# code, demonstrating the potential of AI in software migration and interoperability. Third, we complete both Java and generated C# code and prepare them to execute. Fourth, we apply automated unit testing to assess functional correctness and ensure the reliability of AI-generated code. Our results show that a fully automated LLM agent may be effective in bridging programming languages with human-in-the-loop. This approach opens new possibilities for scalable, AIdriven software modernization and cross-platform development. We recommend that such an LLM agent should be used in tandem with human experts during the generation of a reliable and correct code. © 2025 IEEE."
56GRVSR7,Impact of human-AI interaction on user trust and reliance in AI-assisted qualitative coding,Gao; Cao; Yeo et al.,2023,preprint,"While AI shows promise for enhancing the efficiency of qualitative analysis, the unique human-AI interaction resulting from varied coding strategies makes it challenging to develop a trustworthy AI-assisted qualitative coding system (AIQCs) that supports coding tasks effectively. We bridge this gap by exploring the impact of varying coding strategies on user trust and reliance on AI. We conducted a mixed-methods split-plot 3x3 study, involving 30 participants, and a follow-up study with 6 participants, exploring varying text selection and code length in the use of our AIQCs system for qualitative analysis. Our results indicate that qualitative open coding should be conceptualized as a series of distinct subtasks, each with differing levels of complexity, and therefore, should be given tailored design considerations. We further observed a discrepancy between perceived and behavioral measures, and emphasized the potential challenges of under- and over-reliance on AIQCs systems. Additional design implications were also proposed for consideration."
BAQXVTG8,Inside the scaffold: a source-code taxonomy of coding agent architectures,Rombaut,2026,preprint,"LLM-based coding agents can localize bugs, generate patches, and run tests with diminishing human oversight, yet the scaffolding code that surrounds the language model (the control loop, tool definitions, state management, and context strategy) remains poorly understood. Existing surveys classify agents by abstract capabilities (tool use, planning, reflection) that cannot distinguish between architecturally distinct systems, and trajectory studies observe what agents do without examining the scaffold code that determines why. This paper presents a source-code-level architectural taxonomy derived from analysis of 13 open-source coding agent scaffolds at pinned commit hashes. Each agent is characterized across 12 dimensions organized into three layers: control architecture, tool and environment interface, and resource management. The analysis reveals that scaffold architectures resist discrete classification: control strategies range from fixed pipelines to Monte Carlo Tree Search, tool counts range from 0 to 37, and context compaction spans seven distinct strategies. Five loop primitives (ReAct, generate-test-repair, plan-execute, multi-attempt retry, tree search) function as composable building blocks that agents layer in different combinations; 11 of 13 agents compose multiple primitives rather than relying on a single control structure. Dimensions converge where external constraints dominate (tool capability categories, edit formats, execution isolation) and diverge where open design questions remain (context compaction, state management, multi-model routing). All taxonomic claims are grounded in file paths and line numbers, providing a reusable reference for researchers studying agent behavior and practitioners designing new scaffolds."
F4G9XXBR,SysTradeBench: an iterative build-test-patch benchmark for strategy-to-code trading systems with drift-aware diagnostics,Cao; Zhang; Keung et al.,2026,preprint,"Large language models (LLMs) are increasingly used as quantitative research copilots to translate natural-language strategy specifications into executable trading code. Yet most existing evaluations either focus on static financial knowledge or summarize performance with a single profitability metric, leaving a gap for benchmarking strategy-to-code trading systems as governed, auditable software. We introduce SysTradeBench (SysTB), an iterative build-test-patch benchmark that evaluates LLM-generated trading systems under drift-aware diagnostics. Given a standardized Base Strategy Doc and frozen semantics, each model must produce (i) a strategy card, (ii) executable code, and (iii) mandatory audit logs. A sandboxed harness runs determinism and anti-leakage checks, detects rule drift across iterations, and returns evidence bundles to support constrained patches. SysTradeBench reports multi-dimensional scorecards for spec fidelity, risk discipline, reliability, and out-of-sample robustness indicators, together with cost-effectiveness signals. We evaluate 17 models across 12 strategies. Top models achieve validity above 91.7 percent with strong aggregate scores, but evidence-driven iteration also induces code convergence by Iter2. These findings suggest that LLM iteration complements rather than replaces human quantitative researcher governance: LLMs excel at rapid prototyping and shallow bug fixes, while human oversight remains essential for critical strategies requiring solution diversity and ensemble robustness."
Q5RS3ZXV,Understanding the effects of AI-assisted critical thinking on human-AI decision making,Tian; Amin; Yin,2026,preprint,"Despite the growing prevalence of human-AI decision making, the human-AI team's decision performance often remains suboptimal, partially due to insufficient examination of humans' own reasoning. In this paper, we explore designing AI systems that directly analyze humans' decision rationales and encourage critical reflection of their own decisions. We introduce the AI-Assisted Critical Thinking (AACT) framework, which leverages a domain-specific AI model's counterfactual analysis of human decision to help decision-makers identify potential flaws in their decision argument and support the correction of them. Through a case study on house price prediction, we find that AACT outperforms traditional AI-based decision-support in reducing over-reliance on AI, though also triggering higher cognitive load. Subgroup analysis reveals AACT can be particularly beneficial for some decision-makers such as those very familiar with AI technologies. We conclude by discussing the practical implications of our findings, use cases and design choices of AACT, and considerations for using AI to facilitate critical thinking."
9IPQ7228,Automating modelica module generation using large language models: a case study on building control description language,Wan; Lu; Chen et al.,2025,preprint,"Dynamic energy systems and controls require advanced modeling frameworks to design and test supervisory and fault tolerant strategies. Modelica is a widely used equation based language, but developing control modules is labor intensive and requires specialized expertise. This paper examines the use of large language models (LLMs) to automate the generation of Control Description Language modules in the Building Modelica Library as a case study. We developed a structured workflow that combines standardized prompt scaffolds, library aware grounding, automated compilation with OpenModelica, and human in the loop evaluation. Experiments were carried out on four basic logic tasks (And, Or, Not, and Switch) and five control modules (chiller enable/disable, bypass valve control, cooling tower fan speed, plant requests, and relief damper control). The results showed that GPT 4o failed to produce executable Modelica code in zero shot mode, while Claude Sonnet 4 achieved up to full success for basic logic blocks with carefully engineered prompts. For control modules, success rates reached 83 percent, and failed outputs required medium level human repair (estimated one to eight hours). Retrieval augmented generation often produced mismatches in module selection (for example, And retrieved as Or), while a deterministic hard rule search strategy avoided these errors. Human evaluation also outperformed AI evaluation, since current LLMs cannot assess simulation results or validate behavioral correctness. Despite these limitations, the LLM assisted workflow reduced the average development time from 10 to 20 hours down to 4 to 6 hours per module, corresponding to 40 to 60 percent time savings. These results highlight both the potential and current limitations of LLM assisted Modelica generation, and point to future research in pre simulation validation, stronger grounding, and closed loop evaluation."
524TWMDJ,"AI knows best? The paradox of expertise, AI-reliance, and performance in educational tutoring decision-making tasks",Chen; Li; Huang et al.,2025,preprint,"We present an empirical study of how both experienced tutors and non-tutors judge the correctness of tutor praise responses under different Artificial Intelligence (AI)-assisted interfaces, types of explanation (textual explanations vs. inline highlighting). We first fine-tuned several Large Language Models (LLMs) to produce binary correctness labels and explanations, achieving up to 88% accuracy and 0.92 F1 score with GPT-4. We then let the GPT-4 models assist 95 participants in tutoring decision-making tasks by offering different types of explanations. Our findings show that although human-AI collaboration outperforms humans alone in evaluating tutor responses, it remains less accurate than AI alone. Moreover, we find that non-tutors tend to follow the AI's advice more consistently, which boosts their overall accuracy on the task: especially when the AI is correct. In contrast, experienced tutors often override the AI's correct suggestions and thus miss out on potential gains from the AI's generally high baseline accuracy. Further analysis reveals that explanations in text reasoning will increase over-reliance and reduce underreliance, while inline highlighting does not. Moreover, neither explanation style actually has a significant effect on performance and costs participants more time to complete the task, instead of saving time. Our findings reveal a tension between expertise, explanation design, and efficiency in AI-assisted decision-making, highlighting the need for balanced approaches that foster more effective human-AI collaboration."
