item_key,title,authors,year,item_type,abstract
YBRAX8GU,The ADMT compliance audit framework: a methodology for measuring foundation model omission bias and alignment faking under california's automated decision-making technology regulations,Janga Breckenridge,2026,journalArticle,"We document compliance gaps ranging from 11.3 percent (GPT-4o) to 26.0 percent (Claude 3.5 Sonnet) across the four foundation models most commonly underlying / foundation model compliance behavior and translating findings into the documented risk assessments California law requires. / ADMT, Automated Decision-making, Alignment Faking, Omission Bias, California CCPA, ADMT Risk Assessment, Deception Score, Foundation Model Audit, AI Compliance"
FWE8KERE,Axiomatic governance for agentic AI: a five-layer constitutional framework derived from first principles and validated in production,Hirosawa Amakawa,2026,journalArticle,"Agentic AI systems-capable of autonomous planning, reasoning, and execution-are transitioning from prototypes to production deployment, yet existing governance / We present ORISMION, a five-layer axiomatic governance framework that derives all rules from a single objective function (survival maximization) through / Agentic AI Governance, Multi-Agent Systems, AI Safety Framework, First-Principles Derivation, Fractal Architecture, Axiomatic AI Framework, Human-AI Collaboration"
M6SUF8M6,From firewall to membrane: why agentic AI requires a new class of governance architecture,Paul Pantera,2026,journalArticle,"governance and UUID-stamped audit documentation. / The paper applies the OSHA Hierarchy of Controls to classify Firewall governance as an Administrative Control and Membrane governance as an Engineering / agentic AI governance, constitutional AI architecture, AI safety frameworks, Governance API, AI decision-layer auditing, Membrane Architecture, Firewall"
8FYFMN56,Control and governance of generative and agentic AI: an AIS lifecycle framework for privacy and security,Sumit Sharma,2026,journalArticle,"Generative artificial intelligence (GenAI) and agentic AI architectures are rapidly being integrated into organizational information systems and automation / Agentic AI systems may autonomously invoke tools, access sensitive organizational data, and interact with other agents in ways difficult to observe or / Generative Artificial Intelligence, Agentic AI, AI Governance, Information Systems Governance, Artificial Intelligence Controls, Privacy Engineering, Security / Governance, AI Risk Management, AI Lifecycle Management"
QZVN4MKK,Scalable runtime governance for agentic AI in financial services,Lukasz Szpruch; Agus Sudjianto; Tanveer Bhatti et al.,2026,journalArticle,"Agentic AI systems, systems that decompose tasks, invoke tools, and execute multi-step workflows, are increasingly deployed in financial services. / These systems challenge classical Model Risk Management (MRM) because outcomes arise from execution trajectories rather than a stable input-output mapping"
XQ2858YZ,Algorithmic transparency and decision-making accountability: thoughts for buying machine learning algorithms,Jake Goldenfein,2019,journalArticle,"There has been a great deal of research on how to achieve algorithmic accountability and transparency in automated decision-making systems - especially / algorithmic accountability, machine learning, procurement, automated decision-making"
PH6HQ5XG,Algorithms acting badly: a solution from corporate law,Mihailis Diamantis,2020,journalArticle,"Artificial Intelligence, Corporate Law, Algorithmic Misconduct, Algorithmic Accountability Gap, Respondeat Superior, Uber, Philosophy of Law, Legal Theory"
8I9VS22E,An institutional view of algorithmic impact assessments,Andrew D. Selbst,2021,journalArticle,This Article demonstrates how emerging research within the field of algorithmic accountability can also inform the shape of AIA regulation.
MJ9IKA9C,Law informs code: a legal informatics approach to aligning artificial intelligence with humans,John Nay,2022,journalArticle,"alignment. / Toward society-AI alignment, we present a framework for understanding law as the applied philosophy of multi-agent alignment, harnessing public law as / Natural Language Processing, Reinforcement Learning, RL from Human Feedback, Self-Supervised Learning, Large Language Models, Foundation Models, AI Safety, AI / Alignment, AI Ethics, AI & Law, AI Policy, Computational Law"
Q8F6WBGU,AI audit washing and accountability,Ellen P. Goodman; Julia Trehu,2022,journalArticle,"In the absence of greater specification and more independent auditors, the risk is that AI auditing becomes AI audit washing."
7S24HQUN,Understanding accountability in algorithmic supply chains,Jennifer Cobbe; Michael Veale; Jatinder Singh,2023,journalArticle,"Academic and policy proposals on algorithmic accountability often seek to understand algorithmic systems in their socio-technical context, recognising / We argue that algorithmic accountability discussions must consider supply chains and the difficult implications they raise for the governance and accountability / algorithmic accountability, supply chains, AI as a Service, general purpose AI, accountability horizon, political economy"
2D5LCIUP,Understanding the distinction between technical and governance audits for AI: a critical analysis,Jeffrey Kluge,2023,journalArticle,"Ultimately, through balanced, pragmatic guidelines and a commitment to transparency and ethics, organizations can implement responsible AI auditing and"
A8XNV9RR,AI auditing: first steps towards the effective regulation of artificial intelligence systems,Edwin Farley,2024,journalArticle,"AI auditing. / AI auditing standards should reflect a comprehensive approach targeting three components of AI development: data, model, and deployment."
BA53ZRLJ,"Auditing of AI: legal, ethical and technical approaches",Jakob Mökander,2024,journalArticle,"AI auditing is a rapidly growing field of research and practice. / Reflecting this diversity of perspectives, different approaches to AI auditing have different affordances and constraints."
WIFK95JQ,A methodological framework for auditing norm-sensitive behaviour in large language models: research design for employment contexts,Juan Vega Esquivel,2026,journalArticle,"This methodological blueprint addresses a gap in AI auditing: how to assess behaviour in contested, value-laden contexts where correctness is undefined"
BPL78SWJ,Deterministic bias detection for NYC local law 144: why reproducibility matters more than accuracy a technical framework for compliance-grade AI auditing,Subodh KC,2026,journalArticle,"Algorithmic Accountability, Bias Detection, Deterministic AI, NYC Local Law 144, Employment Discrimination, Reproducibility, Compliance Architecture"
RLCF33SM,AI deployment authorisation: a global standard for machine-readable governance of high-risk artificial intelligence,Daniel Djan Saparning,2026,journalArticle,"legally and economically grounded dimensions: Risk, Alignment, Externality, Control, and Auditability, derived from safety engineering, alignment theory, algorithmic / accountability, and liability economics. / Artificial intelligence governance, algorithmic accountability, AI safety certification, deployment authorisation, insurance-based regulation, safety-critical"
JFYZV2MZ,"SORT-AI: a projection-based structural framework for AI safety alignment stability, drift detection, and scalable oversight",Gregor Herbert Wegener,2026,journalArticle,"AI safety, alignment theory, structural risk analysis, alignment stability, deceptive alignment, mesa-optimization, representation drift, scalable oversight"
3LJCSWBK,Beyond due diligence: rethinking third-party risk management for artificial intelligence systems in the UK public sector,Mohammed Umar,2026,journalArticle,"Artificial Intelligence, Third-Party Risk Management, UK Public Sector, AI Governance, Algorithmic Accountability, Public Procurement, Supply Chain Security"
YN3JDZQA,Distinguishing governance from compliance evidence: a framework for post-incident reconstruction,Oleg Solozobov,2026,journalArticle,"automated decision systems, governance evidence, structural accountability collapse, evidence degradation, decision event schema, algorithmic accountability"
