item_key,title,authors,year,item_type,abstract
UN88XLZ6,Look before you leap: an exploratory study of uncertainty analysis for large language models,Y. Huang; J. Song; Z. Wang et al.,2025,journalArticle,"The recent performance leap of Large Language Models (LLMs) opens up new opportunities across numerous industrial applications and domains. However, the potential erroneous behavior (e.g., the generation of misinformation and hallucination) has also raised severe concerns for the trustworthiness of LLMs, especially in safety-, security- and reliability-sensitive industrial scenarios, potentially hindering real-world adoptions. While uncertainty estimation has shown its potential for interpreting the prediction risks made by classic machine learning (ML) models, the unique characteristics of recent LLMs (e.g., adopting self-attention mechanism as its core, very large-scale model size, often used in generative contexts) pose new challenges for the behavior analysis of LLMs. Up to the present, little progress has been made to better understand whether and to what extent uncertainty estimation can help characterize the capability boundary of an LLM, to counteract its undesired behavior, which is considered to be of great importance with the potential wide-range applications of LLMs across industry domains. To bridge the gap, in this paper, we initiate an early exploratory study of the risk assessment of LLMs from the lens of uncertainty. In particular, we conduct a large-scale study with as many as twelve uncertainty estimation methods and eight general LLMs on four NLP tasks and seven programming-capable LLMs on two code generation tasks to investigate to what extent uncertainty estimation techniques could help characterize the prediction risks of LLMs. Our findings confirm the potential of uncertainty estimation for revealing LLMs’ uncertain/non-factual predictions. The insights derived from our study can pave the way for more advanced analysis and research on LLMs, ultimately aiming at enhancing their trustworthiness."
VYKP32I7,LLMLOOP: improving LLM-generated code and tests through automated iterative feedback loops,R. Ravi; D. Bradshaw; S. Ruberto et al.,2025,conferencePaper,"Large Language Models (LLMs) are showing remarkable performance in generating source code, yet the generated code often has issues like compilation errors or incorrect code. Researchers and developers often face wasted effort in implementing checks and refining LLM-generated code, frequently duplicating their efforts. This paper presents LLMLOOP, a framework that automates the refinement of both source code and test cases produced by LLMs. LLMLOOP employs five iterative loops: resolving compilation errors, addressing static analysis issues, fixing test case failures, and improving test quality through mutation analysis. These loops ensure the generation of high-quality test cases that serve as both a validation mechanism and a regression test suite for the generated code. We evaluated llmloop on HumanEval-X, a recent benchmark of programming tasks. Results demonstrate the tool effectiveness in refining LLM-generated outputs. A demonstration video of the tool is available at https://youtu.be/2CLG9x1fsNI."
W8238NKU,LLMSecEval: a dataset of natural language prompts for security evaluations,C. Tony; M. Mutas; N. E. D. Ferreyra et al.,2023,conferencePaper,"Large Language Models (LLMs) like Codex are powerful tools for performing code completion and code generation tasks as they are trained on billions of lines of code from publicly available sources. Moreover, these models are capable of generating code snippets from Natural Language (NL) descriptions by learning languages and programming practices from public GitHub repositories. Although LLMs promise an effortless NL-driven deployment of software applications, the security of the code they generate has not been extensively investigated nor documented. In this work, we present LLMSecEval, a dataset containing 150 NL prompts that can be leveraged for assessing the security performance of such models. Such prompts are NL descriptions of code snippets prone to various security vulnerabilities listed in MITRE’s Top 25 Common Weakness Enumeration (CWE) ranking. Each prompt in our dataset comes with a secure implementation example to facilitate comparative evaluations against code produced by LLMs. As a practical application, we show how LLMSecEval can be used for evaluating the security of snippets automatically generated from NL descriptions."
N8HSZ7BC,Licoeval: evaluating LLMs on license compliance in code generation,W. Xu; K. Gao; H. He et al.,2025,conferencePaper,"Recent advances in Large Language Models (LLMs) have revolutionized code generation, leading to widespread adoption of AI coding tools by developers. However, LLMs can generate license-protected code without providing the necessary license information, leading to potential intellectual property violations during software production. This paper addresses the critical, yet underexplored, issue of license compliance in LLM-generated code by establishing a benchmark to evaluate the ability of LLMs to provide accurate license information for their generated code. To establish this benchmark, we conduct an empirical study to identify a reasonable standard for “striking similarity” that excludes the possibility of independent creation, indicating a copy relationship between the LLM output and certain opensource code. Based on this standard, we propose LiCoEval, to evaluate the license compliance capabilities of LLMs, i.e., the ability to provide accurate license or copyright information when they generate code with striking similarity to already existing copyrighted code. Using LiCoEval, we evaluate 14 popular LLMs, finding that even top-performing LLMs produce a non-negligible proportion (0.88 % to 2.01 %) of code strikingly similar to existing open-source implementations. Notably, most LLMs fail to provide accurate license information, particularly for code under copyleft licenses. These findings underscore the urgent need to enhance LLM compliance capabilities in code generation tasks. Our study provides a foundation for future research and development to improve license compliance in AIassisted software development, contributing to both the protection of open-source software copyrights and the mitigation of legal risks for LLM users."
7UASJDLI,Leveraging pre-trained large language models (LLMs) for on-premises comprehensive automated test case generation: an empirical study,H. Yin; H. Mohammed; S. Boyapati,2024,conferencePaper,"The rapidly evolving field of Artificial Intelligence (AI)-assisted software testing has predominantly focused on automated test code generation, with limited research exploring the realm of automated test case generation from user stories requirements. This paper presents a comprehensive empirical study on harnessing pre-trained Large Language Models (LLMs) for generating concrete test cases from natural language requirements given in user stories. We investigate the efficacy of various prompting and alignment techniques, including prompt chaining, few-shot instructions, and agency-based approaches, to facilitate secure on-premises deployment. By integrating our learnings with an on-premises model setup, wherein we deploy a RoPE scaled 4-bit quantized LLaMA 3 70B Instruct model, optionally augmented with LoRA adapters trained on QA datasets, we demonstrate that this approach yields more accurate and consistent test cases despite video random-access memory (VRAM) constraints, thereby maintaining the security benefits of an on-premises deployment."
LZUI6EY7,LLM-based interactive code generation: empirical evaluation,D. Shaikhelislamov; M. Drobyshevskiy; A. Belevantsev,2024,conferencePaper,"Recently, large language models (LLMs), those pretrained on code, have demonstrated strong capabilities in generating programs from informal natural language intent. However, LLM -generated code is prone to bugs. Developers interacting with LLMs seek trusted code and, ideally, clear indications of potential bugs and vulnerabilities. Verified code can mitigate potential business risks associated with adopting generated code. We use model-agnostic framework CodePatchLLM, an extension for LLM that utilizes Svace feedback to enhance code generation quality. We evaluate CodePatchLLM on four popular LLMs across three datasets. Our experiments show an average absolute reduction of 19.1 % in static analyzer warnings for Java across all datasets and models, while preserving pass@ 1 code generation accuracy."
DUBFF52U,Liability in AI-enabled clinical decision support: toward a tiered responsibility model,Z. Rizvi; S. Iskandarova,2025,conferencePaper,"AI-enabled clinical decision support (CDS) is increasingly embedded in diagnosis and care pathways, yet liability remains unclear when recommendations cause harm. This paper offers a structured, actionable approach. We synthesize liability regimes across the United States, European Union, and Asia-Pacific and highlight gaps specific to adaptive, software-driven systems. We ground the analysis in ethical risks-accountability shifts, automation bias, and power asymmetries-that should shape how responsibility is shared. We then introduce a quantitative Tiered Liability Model that allocates total harm among developers, physicians, and hospitals using policy weights and three measurable indices: developer culpability, physician oversight, and AI explainability. We prove basic feasibility and monotonicity properties of the allocation, explain how to operationalize the indices with audits, EHR-based oversight signals, and logging/traceability, and provide a regulatory crosswalk that maps regional doctrines to these indices. Two scenario analyses-a pneumonia misdiagnosis and a hospital operations system that contributes to understaffing-illustrate how the model yields fair, incentive-aligned allocations and how improvements in explainability and oversight shift liability. To support adoption, we include a ready-to-use procurement scorecard with measurable evidence and pass/fail gates, together with an implementation roadmap and regulatory levers (metrics standardization, safe harbors, post-market surveillance). The result is a coherent framework that protects patients, sustains innovation, and gives regulators, providers, and vendors a common language for assigning responsibility."
HYCHNXIV,Leveraging long method decomposition to improve large language model-based test case generation,R. Qi; Z. Shen; Y. Li,2025,conferencePaper,"Recent studies have demonstrated the potential of large language models (LLMs) in test case generation. However, LLMs often struggle to achieve high levels of test coverage when generating test cases for long methods. Long methods are one of the typical manifestations of code smells, characterized by excessive lines of code, complex control flows, deep nesting levels, and numerous variables. These characteristics make it difficult for traditional testing tools to cover most of the lines and branches of focal methods. To address this issue, this paper proposes a novel approach, DecoTest, to generate unit test cases for long methods based on LLMs. The proposed method leverages LLM and automated validation based on static analysis to derive high-quality decomposition and refactoring plans. After refactoring the long methods, test cases are generated, iteratively verified and repaired to produce the final test case suite. This paper also presents an experimental analysis of DecoTest. The results indicate that the proposed method outperforms existing LLM-based test case generation methods in terms of line coverage, branch coverage, and test execution pass rate."
DBA6R6A3,Leveraging machine learning for enhanced bug triaging in open-source software projects,N. Adhikari; R. Bista; J. C. Ferreira,2025,journalArticle,"Bug triaging–the process of classifying and assigning software issues to appropriate developers–is a critical yet challenging task in large-scale software development. Manual triaging is time-consuming, inconsistent, and prone to human bias, which often delays issue resolution and misallocates developer resources. This study explores the application of machine learning to automate and improve bug triaging efficiency and accuracy. Using a dataset of over 122,000 issues from the microsoft/vscode GitHub repository, we evaluate several machine learning models including Bidirectional LSTM, CNN-LSTM, Random Forest, and Multinomial Naive Bayes. Our primary contribution is the development of an Augmented Bidirectional LSTM model that integrates enriched textual features and contextual metadata. This model, optimized using Optuna, outperforms traditional baselines, achieving a Micro F1-score of 0.6469 and Hamming Loss of 0.0133 for label prediction, and a Micro F1-score of 0.5974 with Hamming Loss of 0.0062 for assignee recommendation. In addition to demonstrating strong predictive performance, we present a robust end-to-end pipeline for data preprocessing, augmentation, model training, and evaluation using multi-label classification techniques. The study highlights how deep learning architectures, in combination with feature engineering and hyperparameter tuning, can provide scalable and generalizable components to support the automation of bug triaging. These findings contribute to the growing field of intelligent software maintenance by offering data-driven approaches that can support developer workflows and improve issue management efficiency in open-source environments."
CNGP5KBB,LAURA: enhancing code review generation with context-enriched retrieval-augmented LLM,Y. Zhang; Y. Zhang; Z. Sun et al.,2025,conferencePaper,"Code review is critical for ensuring software quality and maintainability. With the rapid growth in software scale and complexity, code review has become a bottleneck in the development process because of its time-consuming and knowledge-intensive nature and the shortage of experienced developers willing to review code. Several approaches have been proposed for automatically generating code reviews based on retrieval, neural machine translation, pre-trained models, or large language models (LLMs). These approaches mainly leverage historical code changes and review comments. However, a large amount of crucial information for code review, such as the context of code changes and prior review knowledge, has been overlooked. This paper proposes an LLM-based review knowledge-augmented, context-aware framework for code review generation, named LAURA. The framework integrates review exemplar retrieval, context augmentation, and systematic guidance to enhance the performance of ChatGPT-4o and DeepSeek v3 in generating code review comments. Besides, given the extensive low-quality reviews in existing datasets, we also constructed a high-quality dataset. Experimental results show that for both models, LAURA generates review comments that are either completely correct or at least helpful to developers in 42.2% and 40.4% of cases, respectively, significantly outperforming SOTA baselines. Furthermore, our ablation studies demonstrate that all components of LAURA contribute positively to improving comment quality."
