item_key,title,authors,year,item_type,abstract
TUE9R2PH,OpenPort protocol: a security governance specification for AI agent tool access,Genliang Zhu; Chu Wang; Ziyuan Wang et al.,2026,journalArticle,"AI agents increasingly require direct, structured access to application data and actions, but production deployments still struggle to express and verify / For write operations, OpenPort specifies a risk-gated lifecycle that defaults to draft creation and human review, supports time-bounded auto-execution / AI agents, tool exposure, authorization, least privilege, risk-gated writes, drafts and approvals, rate limiting, auditability, protocol specification, / WebMCP, MCP, CHATGPT, CLAUDE, OPENCLAW, LLM, deepseek, qwen, AI, Artificial intelligence"
6F5S59DR,The board's new observer: fiduciary duties and algorithmic agency under the 2026 EU AI act,Mehtab Barkat,2026,journalArticle,"By synthesizing the EU AI Act’s mandates for human oversight (Article 14) and AI literacy (Article 4), the paper identifies a new legal standard: ""Cognitive / It moves beyond ""Human-in-the-Loop"" fallacies to advocate for Real-Time Adversarial Auditing and the mandatory appointment of a Chief AI Oversight Officer / Agentic AI, EU AI Act, Fiduciary Duties, Corporate Governance, Duty of Care, Business Judgment Rule, Article 14 Oversight, Algorithmic Agency, Large Action / Models (LAMs), Caremark Doctrine, Shadow Directors, AI Liability Directive"
AAK77PJ4,One shot: architecture principles for trustworthy legal AI,Robert Matteson,2026,journalArticle,"Project Vega is a legal AI platform that converts live or recorded testimony into structured, verifiable claims evaluated against discovery documents. / rather than the verification itself, and extracts six portable design principles for building trustworthy AI pipelines in high-stakes domains. / Legal AI, legal technology, NLP pipeline, human-in-the-loop, deposition technology, speech processing, claim extraction, entity resolution, AI governance"
TSKXN5SS,The darkest mirror: how AI authority bias threatens individual agency and what architecture must do about it,Rafael Maryahin,2026,journalArticle,"The dominant AI safety framework-""human in the loop""-assumes that humans positioned downstream of AI systems will catch what those systems get wrong. / The mechanism is authority bias: once an AI system achieves authority status, anchoring, automation bias, and confirmation bias systematically suppress / AI safety, automation bias, authority bias, human oversight, RLHF, Boyd OODA, AI governance, human-AI decision-making, epistemic honesty, architectural / AI design"
KM7EMIYC,The dual loop theory: a decision architecture for human-AI collaborative intelligence,Anthony Kim,2026,journalArticle,"The dominant paradigm for human-AI collaboration-""Human in the Loop"" (HITL)-frames the human as a supervisory checkpoint within an AI-driven process. / cognition to a binary approval function and fails to account for the generative, intuitive, and contextual processing that humans contribute in parallel with AI / human-AI collaboration, decision architecture, collaborative intelligence, asymmetric authority, cognitive systems design, human-in-the-loop, strategic"
9MV2IVNU,Human-in-the-loop isn't a checkbox: designing meaningful intervention in automated AI decisions,Sue Eze,2026,journalArticle,"In practice, many AI workflows involve human reviewers who formally approve model outputs without the authority, information, time, or confidence to challenge / This paper introduces Rubber-Stamp Risk as a governance failure mode in AI model automation, in which human review exists but does not materially influence / AI governance, human-in-the-loop, automated decision-making, algorithmic accountability, explainability, AI risk management, EU AI Act, ISO 42001, model / governance, decision system, AI Auditing, algorithmic governance"
8JWA3A6P,Cost-sensitive human-in-the-loop decision systems under asymmetric error costs,Md Asief Mahmud,2026,journalArticle,Human-in-the-loop (HITL) decision systems are standard practice in high-stakes domains like antimoney laundering. / The assumption built into this architecture is that human review reduces risk.
WLAUCLKR,MARIA: a multi-agent regulatory intelligence architecture,Naomie Halioua,2026,journalArticle,"review of 130 disputed classifications. / Human review reveals systematic evaluator conservatism: adjusted for identified bias, precision on binding regulations reaches 93%-97%, with zero fabricated / regulatory technology, regulatory intelligence, multi-agent AI, LLM evaluation, compliance automation"
THHEU8EI,The LLM red team: when AI hallucinates your attack surface,Abraham Akinwale Akindurodoye,2026,journalArticle,"The paper proposes a structured mitigation framework combining model-level guardrails, RAG grounding, human-in-the-loop validation, and red team protocol / The implications extend beyond security tooling to AI governance, given global cybercrime costs reached $9.5 trillion in 2024 with AI-facilitated attacks / LLM red teaming, AI hallucination, prompt injection, attack surface, OWASP LLM Top 10, MITRE ATLAS, adversarial prompting, AI security, jailbreak, cybersecurity"
U9Z4PE4D,AI-assisted bug prediction and code review automation using machine learning,Subham Prasad,2026,journalArticle,"This paper proposes an AI-aided framework for bug-prone commit prediction and automated code review, leveraging a hybrid of traditional machine learning / Finally, the study underlines potential extensions toward reinforcement learning and human-in-the-loop collaboration for continuous improvement of the / AI-powered Bug Prediction, Code Review Automation, Machine Learning, JIT, Deep JIT, LSTM Models, CI/CD Integration"
