seq,item_key,title,year,item_type,abstract,bin,centrality,reason_code,rationale
1,PMPV54J9,From tools to teammates: a framework for integrating AI agents into organizational structures,2026,journalArticle,"Customer‑facing scenarios introduce distinct challenges around trust, brand voice, and liability compared to internal use cases. / AI agents, organizational structure, human-AI collaboration, agentic AI, hybrid teams, team dynamics, workforce transformation",,,,
2,CJ6UBWCX,The authorization boundary: why MCP and AI gateways are necessary—but not sufficient—for regulated agentic AI,2026,journalArticle,"This paper defines the “authorization boundary” for agentic AI systems in regulated environments and distinguishes access authorization (OAuth-based / effect-token–gated execution—and proposes five anti-laundering tests for detecting superficial governance claims. / Artificial Intelligence, AI Governance, Agentic AI, Model Context Protocol, MCP, Regulatory Compliance, Authorization, Financial Regulation, Health Law / , Administrative Law, Information Governance, Algorithmic Accountability",,,,
3,6Z82ABMA,When is generated code difficult to comprehend? Assessing AI agent python code proficiency in the wild,2026,preprint,"The rapid adoption of AI coding agents is fundamentally shifting software developers' roles from code authors to code reviewers. While developers spend a significant portion of their time reading and comprehending code, the linguistic proficiency and complexity of the Python code generated by these agents remain largely unexplored. This study investigates the code proficiency of AI agents to determine the skill level required for developers to maintain their code. Leveraging the AIDev dataset, we mined 591 pull requests containing 5,027 Python files generated by three distinct AI agents and employed pycefr, a static analysis tool that maps Python constructs to six proficiency levels, ranging from A1 (Basic) to C2 (Mastery), to analyze the code. Our results reveal that: AI agents predominantly generate Basic-level code, with over 90% of constructs falling into the A1 and A2 categories, and less than 1% classified as Mastery (C2); AI agents' and humans' pull requests share a broadly similar proficiency profile; High-proficiency code by AI agents are from feature addition and bug fixing tasks. These findings suggest that while AI-generated code is generally accessible to developers with basic Python skills, specific tasks may require advanced proficiency to review and maintain complex, agent-generated constructs.",,,,
4,FLDAS7UC,From friction to design: verification architecture for AI-augmented institutions,2026,journalArticle,"Institutional accountability systems were not designed as verification systems. / Generative AI collapses these production costs to near zero, exposing an accountability gap that is structural rather than novel. / verification architecture, AI governance, institutional accountability, friction-asverification, proxy collapse, high-reliability organisations, regulatory",,,,
5,35GIS9BQ,Design patterns for machine learning-based systems with humans in the loop,2024,journalArticle,Human involvement in machine learning (ML) is a promising paradigm to overcome the limitations of purely automated predictions and improve the applicability of ML. We compile a catalog of design patterns to guide developers to select and implement human-in-the-loop solutions. OOP PATTERNS,,,,
6,8EEKFTQL,Is your machine better than you? You may never know,2023,journalArticle,"Artificial intelligence systems are increasingly demonstrating their capacity to make better predictions than human experts. Yet recent studies suggest that professionals sometimes doubt the quality of these systems and overrule machine-based prescriptions. This paper explores the extent to which a decision maker (DM) supervising a machine to make high-stakes decisions can properly assess whether the machine produces better recommendations. To that end, we study a setup in which a machine performs repeated decision tasks (e.g., whether to perform a biopsy) under the DM’s supervision. Because stakes are high, the DM primarily focuses on making the best choice for the task at hand. Nonetheless, as the DM observes the correctness of the machine’s prescriptions across tasks, the DM updates the DM’s belief about the machine. However, the DM is subject to a so-called verification bias such that the DM verifies the machine’s correctness and updates the DM’s belief accordingly only if the DM ultimately decides to act on the task. In this setup, we characterize the evolution of the DM’s belief and overruling decisions over time. We identify situations under which the DM hesitates forever whether the machine is better; that is, the DM never fully ignores but regularly overrules it. Moreover, the DM sometimes wrongly believes with positive probability that the machine is better. We fully characterize the conditions under which these learning failures occur and explore how mistrusting the machine affects them. These findings provide a novel explanation for human–machine complementarity and suggest guidelines on the decision to fully adopt or reject a machine. © 2023 INFORMS",,,,
7,FSFCECQ6,GOPEL infrastructure specification and HAIA-RECCLIN operational model for AI provider plurality implementation,2026,journalArticle,"Any organization operating multiple AI platforms benefits from deterministic dispatch, cryptographic audit trails, checkpoint gates, and tamper-evident / AI Governance, GOPEL, Multi-AI Systems, Provider Plurality, Human Oversight, Automation Bias, Non-Cognitive Agent, HAIA-RECCLIN, Checkpoint-Based Governance",,,,
8,HRUQ2NGR,"AI agentic programming: a survey of techniques, challenges, and opportunities",2025,preprint,"AI agentic programming is an emerging paradigm where large language model (LLM)-based coding agents autonomously plan, execute, and interact with tools such as compilers, debuggers, and version control systems. Unlike conventional code generation, these agents decompose goals, coordinate multi-step processes, and adapt based on feedback, reshaping software development practices. This survey provides a timely review of the field, introducing a taxonomy of agent behaviors and system architectures and examining relevant techniques for planning, context management, tool integration, execution monitoring, and benchmarking datasets. We highlight challenges of this fast-moving field and discuss opportunities for building reliable, transparent, and collaborative coding agents.",,,,
9,GFCB367T,"AI - integrated DevSecOps for scalable, secure, and modern cloud architectures",2026,conferencePaper,"Software delivery pipelines now need to be more secure, scalable, and robust due to the rapid use of cloud-native architectures. Security bottlenecks and lengthy release cycles are caused by traditional DevSecOps frameworks' high false positive rates, vulnerability to slow vulnerability alerts, and lack of automation. In order to solve these problems, this paper offers an AI-Integrated DevSecOps paradigm which integrates automation, intelligence, and continuous compliance into an already-existing CI/CD pipeline. The framework was developed through a design science research approach by combining reference architecture design, policy-as-code enforcement, artificial intelligence (AI) model integration and a controlled experiment. Fine-tuning of large language models for secure code review, risk-based vulnerability prioritisation based on machine learning, and a time-series anomaly detection model to track runtime telemetry were developed. Red team simulations and a production-scale cloud testbed with seeded controlled vulnerabilities were utilized to assess the system. With a mean time to detect of 4.5 minutes, a mean time to remediate of 12 minutes, a false positive rate of 3.2, and an F1-score of 97.5—much better than five state-of-the-art methods—the quantitative results are also encouraging. The findings demonstrate that the AI Integrated DevSecOps can provide software releases that are safe, quick, and dependable, which will aid in bridging the gap between security assurance and delivery agility after the tasks are carried out.",,,,
10,MTYM4L5D,AI in software development and its potential influence on accessibility compliance.,2024,journalArticle,"As artificial intelligence (AI) becomes increasingly integral to various sectors, its potential to enhance accessibility in digital services is of growing interest. This paper explores the influence of AI systems (AIS) on accessibility compliance, specifically within the context of Norway's national e-health service provider Norsk helsenett (NHN). Through a qualitative analysis, we assess how AISs are deployed in frontend programming, user interface design, and accessibility testing at NHN. Our study reveals that while AI has the potential to improve accessibility, it also presents challenges that require robust domain knowledge and effective human oversight. We explore the benefits and limitations using ChatGPT in accessibility testing, GitHub Copilot for generating accessible code, the implications of AI driven design tools, as well as the key differences between developing websites with existing component libraries and developing a simpler website from scratch. This paper aims to contribute to the ongoing discourse on AI and accessibility, offering insights and recommendations for future research and practical applications.",,,,
11,84D2AMVM,Realizing the promise of AI governance involving humans-in-the-loop,2024,conferencePaper,"Human-in-the-loop (“HITL”) approaches have been proposed as an important element to ensure safety and fairness for higher-risk applications of artificial intelligence (“AI”) enabled decision-making. This paper examines the question: To what extent does the current state of knowledge enable the definition of factors and mitigations necessary for the effective implementation of HITL approaches? Previous research examining internal (individual) and external (implementation-related structural and contextual) factors in human decision-making are surveyed and assessed for potential relevance. This analysis highlights factors likely to be of relevance and reveals gaps which hinder the elaboration of factors and mitigations relevant to the effectiveness of HITL approaches. In order to realize the potential for HITL approaches to enhance safety for those reliant on or subject to AI systems, governance implementation will need to include minimum requirements applicable to both human overseers and to the context in which they work and are assessed. Factors identified as relevant include: complacency, persuasion, workload, conformity, unequal treatment of different kinds of error, and organizational polices and norms which may deter thorough review and human challenge of AI recommendations. There is also a need for further research: to enhance understanding of the practical significance of HITL effectiveness risks factors and their management; to enable the classification of HITL-implementation environments; and, to provide robust measurement methodologies to enable the identification of the most promising human candidates for HITL overseer roles. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.",,,,
12,L65X78ML,Reflections on the data protection compliance of AI systems under the EU AI act,2025,journalArticle,"The European Union’s Artificial Intelligence Act (AI Act) establishes a novel regulatory framework for AI systems, with far-reaching implications for data protection compliance. This study critically analyses the regulatory environment created by the Act and its interaction with the General Data Protection Regulation (GDPR), addressing whether it provides clearer compliance pathways or introduces additional burdens for developers. Using comparative legal analysis, the research finds that the AI Act supplements the GDPR through a risk-based approach that subjects high-risk AI systems to specific obligations. Key concerns include algorithmic opacity, bias, and legal uncertainty in profiling and automated decision-making. The analysis shows that the AI Act attempts to mitigate these risks by strengthening requirements on risk assessment, human oversight, and data governance. While the Act broadly aligns with GDPR principles such as transparency, fairness, and accountability, it also introduces new procedural and documentation duties that may increase compliance complexity. Overall, the study concludes that the AI Act constitutes a complementary yet stricter regulatory layer for AI-driven data processing, balancing innovation with fundamental rights protection and requiring joint interpretation with the GDPR to ensure coherent application. © 2025 University of Pécs. Published by Informa UK Limited, trading as Taylor & Francis Group.",,,,
13,MHK56HCY,Agentic AI as assurance infrastructure: design principles for a continuous second line,2026,journalArticle,"The first paper in this series established that episodic gateway review is constitutively mismatched to the risk dynamics of complex adaptive / systems, and that continuous assurance represents structural reform of oversight practice rather than a marginal efficiency gain. / agentic AI, multi-agent systems, governance primitive, continuous assurance, second line of defence, evidence-first design, human accountability, responsible / AI, design principles, AI governance",,,,
14,DQM82F3L,Research vision for Co-designing responsible AI,2026,journalArticle,"Responsible AI principles are everywhere, but implementation is stuck between box-ticking compliance / Responsible AI principles are everywhere, but implementation is stuck between box-ticking compliance / Responsible AI principles are everywhere, but implementation is stuck between box-ticking compliance / Responsible AI principles are everywhere, but implementation is stuck between box-ticking compliance / Responsible AI principles are everywhere, but implementation is stuck between box-ticking compliance / Responsible AI principles are everywhere, but implementation is stuck between box-ticking compliance / Responsible AI principles are everywhere, but implementation is stuck between box-ticking compliance / AI Act–aligned risks, and NLP Guard to reduce harmful reliance on protected attributes after launch.",,,,
15,ADV5GQEV,RegOps as an agile response to regulatory pressure,2025,journalArticle,"Widely-applied Agile practices accelerate delivery but offer limited consideration of regulatory compliance. / Within the tension between agility and compliance, the concept of RegOps emerged from the strictly regulated industry, yet it remains underexplored in / RegOps, Regulatory Compliance, Agile, Complex Adaptive Systems Theory, EU AI Act",,,,
16,KNEMNE5W,Social bias in LLM-generated code: benchmark and mitigation,2026,preprint,"Large Language Models (LLMs) are increasingly deployed to generate code for human-centered applications where demographic fairness is critical. However, existing evaluations focus almost exclusively on functional correctness, leaving social bias in LLM-generated code largely unexamined. Extending our prior work on Solar, we conduct a comprehensive empirical study using SocialBias-Bench, a benchmark of 343 real-world coding tasks spanning seven demographic dimensions. We evaluate four prominent LLMs and find severe bias across all models, with Code Bias Scores reaching up to 60.58%. We further show that standard prompt-level interventions, such as Chain-of-Thought reasoning and fairness persona assignment, inadvertently amplify bias rather than reduce it. We then investigate whether structured multi-agent software process frameworks can improve fairness, finding that structured pipelines reduce bias when early roles correctly scope what the code should and should not consider. However, adding explicit fairness instructions to all agent roles produces worse outcomes than providing none, suggesting that diffused responsibility goes unaddressed. To address these limitations, we propose the Fairness Monitor Agent (FMA), a modular component that plugs into any existing code generation pipeline without modifying it. FMA analyzes the task description to determine which attributes should be considered or restricted, then detects and corrects violations through an iterative review process, without requiring an executable test suite. Evaluated on all 343 tasks, FMA reduces bias by 65.1% compared to a developer agent alone and improves functional correctness from 75.80% to 83.97%, outperforming all other studied approaches.",,,,
17,XTJ7LEZ8,Benchmarking prompt engineering techniques for secure code generation with GPT models,2025,conferencePaper,"Prompt engineering reduces reasoning mistakes in Large Language Models (LLMs). However, its effectiveness in mitigating vulnerabilities in LLM-generated code remains underexplored. To address this gap, we implemented a benchmark to automatically assess the impact of various prompt engineering strategies on code security. Our benchmark leverages two peer-reviewed prompt datasets and employs static scanners to evaluate code security at scale. We tested multiple prompt engineering techniques on GPT-3.5-turbo, GPT-4o, and GPT-4o-mini. Our results show that for GPT-4o and GPT-4o-mini, a security-focused prompt prefix can reduce the occurrence of security vulnerabilities by up to 56%. Additionally, all tested models demonstrated the ability to detect and repair between 41.9% and 68.7% of vulnerabilities in previously generated code when using iterative prompting techniques. Finally, we introduce a ""prompt agent"" that demonstrates how the most effective techniques can be applied in real-world development workflows.",,,,
18,CMW3AWRD,When LLMs hurt more than help: understanding decision failures under AI assistance,2025,journalArticle,"Many of these organizations now rely on hybrid workflows where machine learning models flag uncertain cases for human review. / These findings offer new behavioral insights into human–AI collaboration and underscore the need for decision support systems designed for calibration, / LLMs, AI Assisted Decision Making, Human-AI Interactions",,,,
19,4PSM6ZCD,Is vibe coding safe? Benchmarking vulnerability of agent-generated code in real-world tasks,2025,preprint,"Vibe coding is a new programming paradigm in which human engineers instruct large language model (LLM) agents to complete complex coding tasks with little supervision. Although vibe coding is increasingly adopted, are its outputs really safe to deploy in production? To answer this question, we propose SU S VI B E S, a benchmark consisting of 200 feature-request software engineering tasks from real-world open-source projects, which, when given to human programmers, led to vulnerable implementations. We evaluate multiple widely used coding agents with frontier models on this benchmark. Disturbingly, all agents perform poorly in terms of software security. Although 61% of the solutions from SWE-Agent with Claude 4 Sonnet are functionally correct, only 10.5% are secure. Further experiments demonstrate that preliminary security strategies, such as augmenting the feature request with vulnerability hints, cannot mitigate these security issues. Our findings raise serious concerns about the widespread adoption of vibe-coding, particularly in security-sensitive applications.",,,,
