seq,item_key,title,year,item_type,abstract,bin,centrality,reason_code,rationale
1,24ZVGAAA,Embedding ethical AI risks in public sector risk management practice an explorative analysis using the three lines of defense risk management model,2024,conferencePaper,"Artificial intelligence (AI) adoption by public sector organizations (PSOs) introduces various ethical risks stemming from a lack of integrating human values into AI design. Addressing these ethical risks is a complex collective responsibility among designers, developers, risk experts, and public sector managers. Embedding these risks in existing risk management practices is crucial for responsible AI adoption, as emphasized by the legal requirements of the EU AI Act. However, the responsibility for managing these ethical risks is often unclear. Public sector organizations face unique challenges due to the complex, uncertain, and rapidly evolving nature of AI technologies, further complicating the management of ethical risks. This paper explores using the Three Lines of Defense (TLoD) risk management model to understand and address these ethical risks in public sector AI adoption. The TLoD model structures risk management across three lines: operational management, risk oversight and compliance, and internal audit. This framework helps to distribute and integrate the collective responsibility for ethical AI risk management within public sector organizations, emphasizing alignment and collaboration among different actors. Through an exploratory study involving a survey and semi-structured interviews with professionals responsible for AI-related risk management in Dutch public sector organizations, we assess the TLoD model’s usefulness in addressing ethical AI risks. The study examines the challenges and opportunities in applying the TLoD model to manage ethical risks and identifies the potential gaps in responsibility and oversight. The findings suggest that while the TLoD model offers a valuable lens for distributing risk management responsibilities, there are limitations in addressing the emergent and complex nature of ethical risks in AI adoption. © 2024 Copyright held by the owner/author(s).",,,,
2,6EKVYBCD,Generative AI in responsible conversational agent integration: guidelines for service managers,2024,journalArticle,"Responsible integration of conversational agents (CAs) like chatbots is crucial for service firms to mitigate risks and foster positive outcomes. This article provides managerial guidelines through a Corporate Digital Responsibility (CDR) lens, focusing on CDR Culture, Management Structure, and Digital Governance across the service firm, software provider, and customers/society. It examines how organizational sensemaking processes of creation, interpretation, and enactment are triggered by CA-related issues and events. The research highlights the role of generative AI (GenAI) in implementing CDR factors and responsible CA software development lifecycle phases during development and integration. Guidelines are provided for leveraging GenAI to enhance CDR Culture, incorporate ethical considerations into CDR Management Structure, and enable robust Digital Governance mechanisms to prioritize customer/societal well-being. A multilevel framework illustrates reinforcing the guidelines through organizational sensemaking processes, and fostering responsible CA integration aligned with ethical principles and societal values. © 2024 The Authors",,,,
3,ZVDJ5J88,Towards a responsible AI adoption/adaptation (RAA) ecosystem: vision and model to keep socio-technological balance,2026,conferencePaper,"The rapid adoption of AI technologies is outpacing our ability to assess their long-term societal and economic impacts. Initially, AI was expected to automate only repetitive, low-skill tasks. However, presently, highly skilled roles such as in software development, manufacturing, and finance are being automated. Tasks that once required many professionals can now be managed by a few, disproportionately benefiting those with greater resources and economic power, such as large corporations. This trend may lead to a growing socio-technological imbalance, for instance, a growing mismatch between the rapid advancements in artificial intelligence and society’s ability to adapt to and govern these changes in a fair, ethical, and inclusive manner. As AI-driven automation is increasingly being adopted across almost all business domains, covering all process-level functions. Additionally, there is a lack of practical methods for the ethical and responsible adoption of AI, which are either not being implemented or not well understood by stakeholders in the business ecosystem. This emphasizes the role of Responsible AI (RAI), which is becoming critical and essential in addressing the socio-technological imbalance in the organizational context regarding adopting/adapting AI. RAI ensures that systems are developed and deployed with core principles such as explainability, fairness, ethics, transparency, accountability, human oversight, and privacy. Furthermore, AI itself presents as a technological capability to promote responsible behavior by assessing, predicting, supporting, and regulating its own societal (i.e., organization-specific) and technological impacts. This study explores this dual perspective by reviewing the literature to propose a RAI Adoption/Adaptation (RAA) framework, focusing on the business process as the primary unit of AI intervention. A conceptual system implementation context is proposed to illustrate RAA enablement at the process level and highlight the need for an RAI agentic architecture capable of measuring, analyzing, and forecasting AI’s impact on business processes to support ethical, balanced innovation. © The Author(s) 2026.",,,,
4,JZ64WDLQ,The fluid triad: a decision-first organizational model for human-agent teams,2026,journalArticle,"AI tools (Anthropic Claude) were used for literature synthesis assistance, drafting support, and structural organization. / agentic AI, organizational design, human-agent teams, governance, selforganization, requisite variety, decision architecture, EU AI Act, multi-agent systems / , principal-agent alignment, Bayesian governance, sociotechnical systems, humanautonomy teaming, decision provenance JEL Codes: M10, O33, L20",,,,
5,Q8F6WBGU,AI audit washing and accountability,2022,journalArticle,"In the absence of greater specification and more independent auditors, the risk is that AI auditing becomes AI audit washing.",,,,
6,WXBMMVX9,Agentic AI governance in private equity: a behavioral framework for autonomous decision systems,2026,journalArticle,"As private equity firms deploy autonomous AI agents across deal sourcing, due diligence, and portfolio monitoring, governance frameworks have failed / As private equity firms deploy autonomous AI agents across deal sourcing, due diligence, and portfolio monitoring, governance frameworks have failed / Drawing on organizational psychology, decision science, and established research on human-automation interaction in high-stakes environments, this paper / Agentic AI governance, autonomous AI agents, private equity, human-in-the-loop oversight, AI trust calibration, behavioral science, decision-making frameworks / , AI adoption resistance, fiduciary duty, AI risk management, organizational psychology, investment committee AI, deal screening AI, portfolio monitoring",,,,
7,52PTUFU8,The evolution of technical debt from DevOps to generative AI: a multivocal literature review,2026,journalArticle,"Background: The rapid integration of Artificial Intelligence (AI) – including Machine Learning (ML) and Generative AI – into software systems is reshaping the software development lifecycle. As AI-driven systems become more dynamic and complex, traditional approaches to Technical Debt (TD) management face increasing limitations. Simultaneously, AI-assisted development introduces new forms of TD, particularly in relation to maintainability, explainability, and data governance. Objective: This study aims to explore how Technical Debt Management (TDM) must adapt in the context of AI-enhanced software development. It investigates (1) the evolution of TD in AI-driven systems, and (2) the implications of using AI technologies within the software engineering process. Methods: We conducted a multivocal literature review, combining insights from both peer-reviewed research and industry sources. Following established guidelines, we systematically analyzed 61 primary sources, categorized TD types and management activities, and identified key challenges and practices emerging in the AI era. Results: Our findings reveal that data-related, infrastructure, and pipeline-related TD are particularly prevalent in ML systems. Machine Learning Operations (MLOps) practices are increasingly recognized as essential for managing such debt, especially in relation to dynamic data dependencies and model retraining. In parallel, AI-generated artifacts and automated pipelines introduce new governance and maintainability challenges. Conclusion: Technical Debt in AI systems demands continuous, automated, and cross-functional management strategies. As software evolves in response to data and usage, new operational paradigms – grounded in practices like MLOps and Small Language Model Operations (SLMOps) – will be vital to ensure long-term software sustainability. This study provides a foundational map for researchers and practitioners navigating the intersection of AI and TD management. © 2025 The Authors",,,,
8,ZKKBHG9W,Evaluating transparency in artificial intelligence systems with the Z-inspection® process for trustworthy assessment,2025,conferencePaper,"As artificial i ntelligence (AI) s ystems b ecome increasingly embedded in socio-technical contexts, ensuring transparency is both a regulatory imperative and a trust-building necessity. This paper addresses the challenge of operationalising transparency achievement and measurement by adapting the ZInspection ${ }^{(R)}$ process. Inspired by software development principles and transparency-related regulatory requirements, it proposes an artefact-based framework comprising four interlinked components: the Stakeholder Transparency Requirements Catalogue, the Transparency Artefact Registry (TAR), a YAML ${ }^{\text{TM}}$ Metadata Schema, and the Transparency Scorecard and Backlog. These components enable a systematic capture, assessment, and benchmarking of transparency artefacts during AI system development. By distinguishing between subject artefacts (e.g., model cards, explainability visualisations) and evaluation artefacts linked to stakeholder-defined $r$ equirements, $t$ he f ramework e nsures traceability, comparability, and contextual relevance. This contribution helps the practical integration of transparency into AI development and governance, offering a r eplicable m odel f or future socio-technical AI systems.",,,,
9,PH6HQ5XG,Algorithms acting badly: a solution from corporate law,2020,journalArticle,"Artificial Intelligence, Corporate Law, Algorithmic Misconduct, Algorithmic Accountability Gap, Respondeat Superior, Uber, Philosophy of Law, Legal Theory",,,,
10,MFSG8J76,ISO/IEC 42001:2023 — Artificial Intelligence Management System,2023,report,,,,,
