seq,item_key,title,year,item_type,abstract,bin,centrality,reason_code,rationale
1,M74M3RFJ,Developing assurance cases for adversarial robustness and regulatory compliance in LLMs,2024,conferencePaper,"This paper presents an approach to developing assurance cases for adversarial robustness and regulatory compliance in large language models (LLMs). Focusing on both natural and code language tasks, we explore the vulnerabilities these models face, including adversarial attacks based on jailbreaking, heuristics, and randomization. We propose a layered framework incorporating guardrails at various stages of LLM deployment, aimed at mitigating these attacks and ensuring compliance with the EU AI Act. Our approach includes a meta-layer for dynamic risk management and reasoning, crucial for addressing the evolving nature of LLM vulnerabilities. We illustrate our method with two exemplary assurance cases, highlighting how different contexts demand tailored strategies to ensure robust and compliant AI systems.",,,,
2,5GB3K5C2,TRACE: a governance-first execution framework providing architectural assurance for autonomous AI operations,2026,journalArticle,"Autonomous AI agents increasingly take actions against external systems in environments where mistakes are costly and where post-hoc logs are insufficient for governance / We introduce TRACE (Trusted Runtime for Autonomous Containment and Evidence), a governance-first execution framework that treats the execution agent as / autonomous agents, runtime containment, decision provenance, cryptographic evidence, formal verification, AI governance, reference monitor, policy-as-code / , NIST AI RMF",,,,
3,62S6DFXY,"Computable design space exploration via governance frameworks: joint optimisation of permission boundaries, monitoring thresholds and user transparency policies (for proxy AI)",2026,journalArticle,"To support reproducible and auditable evaluation, this paper constructs a NIST-grade trajectorylevel hyper-simulation data protocol aligned with the NIST / AI RMF and GenAI Profile's 'governance-measurement-management' closed loop. / Proxy Artificial Intelligence, Constrained Bayesian Optimisation, Compliance Risk Control, Distribution Shift, Cognitive Graphs",,,,
4,TQGFG8YC,AutoDFBench 1.0: a benchmarking framework for digital forensic tool testing and generated code evaluation,2026,journalArticle,"The National Institute of Standards and Technology (NIST) Computer Forensic Tool Testing (CFTT) programme has become the de facto standard for providing digital forensic tool testing and validation. However to date, no comprehensive framework exists to automate benchmarking across the diverse forensic tasks included in the programme. This gap results in inconsistent validation, challenges in comparing tools, and limited validation reproducibility. This paper introduces AutoDFBench 1.0, a modular benchmarking framework that supports the evaluation of both conventional DF tools and scripts, as well as AI-generated code and agentic approaches. The framework integrates five areas defined by the CFTT programme: string search, deleted file recovery, file carving, Windows registry recovery, and SQLite data recovery. AutoDFBench 1.0 includes ground truth data comprising of 63 test cases and 10,968 unique test scenarios, and execute evaluations through a RESTful API that produces structured JSON outputs with standardised metrics, including precision, recall, and F1 score for each test case, and the average of these F1 scores becomes the AutoDFBench Score. The benchmarking framework is validated against CFTT's datasets. The framework enables fair and reproducible comparison across tools and forensic scripts, establishing the first unified, automated, and extensible benchmarking framework for digital forensic tool testing and validation. AutoDFBench 1.0 supports tool vendors, researchers, practitioners, and standardisation bodies by facilitating transparent, reproducible, and comparable assessments of DF technologies. © 2026",,,,
5,6UQMFSB8,Contract-coding: towards repo-level generation via structured symbolic paradigm,2026,preprint,"The shift toward intent-driven software engineering (often termed ""Vibe Coding"") exposes a critical Context-Fidelity Trade-off: vague user intents overwhelm linear reasoning chains, leading to architectural collapse in complex repo-level generation. We propose Contract-Coding, a structured symbolic paradigm that bridges unstructured intent and executable code via Autonomous Symbolic Grounding. By projecting ambiguous intents into a formal Language Contract, our framework serves as a Single Source of Truth (SSOT) that enforces topological independence, effectively isolating inter-module implementation details, decreasing topological execution depth and unlocking Architectural Parallelism. Empirically, while state-of-the-art agents suffer from different hallucinations on the Greenfield-5 benchmark, Contract-Coding achieves 47\% functional success while maintaining near-perfect structural integrity. Our work marks a critical step towards repository-scale autonomous engineering: transitioning from strict ""specification-following"" to robust, intent-driven architecture synthesis. Our code is available at https://github.com/imliinyi/Contract-Coding.",,,,
6,T72TU8B5,Hedwig: dynamic autonomy for coding agents under local oversight,2026,preprint,"Despite coding agents' advances in handling increasingly complex tasks, their continued tendency to introduce unintended edits, subtle bugs, and scope drift that slip past code review means developers must still decide how much autonomy to grant them. However, existing approaches for setting an agent's level of autonomy, such as static permission settings or instruction files, cannot account for how developers' preferences for agent autonomy can shift across tasks and over time. We conducted a formative survey with 21 software engineers who use coding agents and found that they experience frustration with calibrating autonomy and have evolving preferences for level of oversight. Building on these insights, we present Hedwig, a CLI coding agent that dynamically adjusts its autonomy level based on developer-agent interactions across sessions. Rather than operating on a global, fixed autonomy configuration, Hedwig learns an evolving set of behavioral guidelines from developer decisions and feedback, reducing friction on work for which the agent has earned trust, while tightening oversight when the agent operates outside familiar territory. Hedwig demonstrates the potential of a new paradigm where agents intelligently adapt their level of autonomy based on user trust through active, longitudinal collaboration.",,,,
7,I8R2LX86,The geometry of human participation: the structural conditions of legitimacy in AI-mediated systems,2026,journalArticle,"Contemporary debates about artificial intelligence often focus on preserving ""uniquely human"" traits such as creativity, empathy, or judgment. human participation, role drift, responsibility allocation, algorithmic decisionmaking, sociotechnical systems, institutional legitimacy, human oversight",,,,
8,WZXSSGRL,Exploring the role of generative AI in enhancing cybersecurity in software development life cycle,2025,journalArticle,"Context: The rapid integration of Generative AI (GenAI) technologies in various sectors has introduced new opportunities and challenges. One of the areas where GenAI is gaining prominence is cybersecurity, particularly within the Software Development Life Cycle (SDLC). As cyber threats evolve, there is a growing need to explore innovative solutions to mitigate vulnerabilities during software development. Objectives: This study investigates the role of GenAI in enhancing cybersecurity in the SDLC. It examines current security practices, recent advancements in AI-driven security solutions, and the potential of GenAI to strengthen threat detection, vulnerability management, and risk mitigation. Additionally, the research identifies key opportunities and challenges associated with integrating GenAI into SDLC processes, highlighting its implications for secure software development and future industry practices. Methods: This research employs a mixed-methods approach to investigate the role of GenAI in cybersecurity. Specifically, it combines a Systematic Literature Review (SLR) with questionnaire-based data collection targeting software development and cyber defense experts. The SLR aims to identify prevailing themes and gaps, while the questionnaire gathers insights from IT professionals about their experiences and perspectives on GenAI systems. Results: Our research shows that GenAI technology enhances SDLC security by supporting development through vulnerability detection, threat modeling, secure coding practices, and incident response. However, our review shows that AI adoption introduces ethical risks alongside reliability issues with AI-created results and challenges to integrate it into standard development methods. Conclusion: The integration of GenAI into the SDLC offers significant potential for enhancing cybersecurity. While challenges such as algorithm transparency and the need for skilled professionals remain, the benefits of AI in proactive threat detection and response make it a promising tool for future cybersecurity strategies in software development. © 2025 The Authors",,,,
9,MJDUMWUX,"Passporting compliance for AI: operationalising governance via a clause-level crosswalk across EU, ISO/IEC, NIST, and CoE frameworks",2026,journalArticle,"of compliance artefacts, produced under one governance framework, to satisfy functionally equivalent obligations in another, subject to verification by / High alignment in risk management, transparency, and human oversight creates an immediate evidence-reuse corridor. / Compliance Passporting, AI governance interoperability, EU AI Act, NIST AI RMF, ISO/IEC 42001, Brussels Effect, Legal–Standards Entanglement",,,,
10,VQTXS6R4,Issue-oriented agent-based framework for automated review comment generation,2025,preprint,"Code review (CR) is a crucial practice for ensuring software quality. Various automated review comment generation techniques have been proposed to streamline the labor-intensive process. However, existing approaches heavily rely on a single model to identify various issues within the code, limiting the model's ability to handle the diverse, issue-specific nature of code changes and leading to non-informative comments, especially in complex scenarios such as bug fixes. To address these limitations, we propose RevAgent, a novel agent-based issue-oriented framework, decomposes the task into three stages: (1) Generation Stage, where five category-specific commentator agents analyze code changes from distinct issue perspectives and generate candidate comments; (2) Discrimination Stage, where a critic agent selects the most appropriate issue-comment pair; and (3) Training Stage, where all agents are fine-tuned on curated, category-specific data to enhance task specialization. Evaluation results show that RevAgent significantly outperforms state-of-the-art PLM- and LLM-based baselines, with improvements of 12.90\%, 10.87\%, 6.32\%, and 8.57\% on BLEU, ROUGE-L, METEOR, and SBERT, respectively. It also achieves relatively higher accuracy in issue-category identification, particularly for challenging scenarios. Human evaluations further validate the practicality of RevAgent in generating accurate, readable, and context-aware review comments. Moreover, RevAgent delivers a favorable trade-off between performance and efficiency.",,,,
