seq,item_key,title,year,item_type,abstract,bin,centrality,reason_code,rationale
1,PQ9JED2I,"Risks of AI-driven vulnerability identification, exploitation, and code exposure",2026,journalArticle,"mitigation framework organized around ten pillars and discusses the regulatory landscape, including the EU AI Act (enforceable August 2026), the NIST AI / Risk Management Framework, and ISO/IEC 42001.",,,,
2,C67AT7ZP,"The hidden cost of AI compliance: why ""build fast, fix later"" can become a financial catastrophe",2026,journalArticle,"As regulatory and assurance frameworks such as the European Union’s AI Act, SOC 2 Type II, ISO/IEC 42001, and the NIST AI Risk Management Framework / AI Act, and the business consequences of cyber uninsurability, this paper argues that retrofitting compliance onto a legacy, undocumented “black box”",,,,
3,GQ5E7RPF,"Blockchain and AI framework for provenance, semantics, and compliance",2026,journalArticle,"Crucially, the framework incorporates human-in-the-loop governance, positioning AI as a decision-support mechanism rather than an autonomous authority. / articulating a system-level architecture for provenance that is verifiable, interpretable, and audit-ready, without introducing custodial dependencies or opaque automation",,,,
4,3QUL87JY,"Responsible AI In the agentic world governance for AI that acts, not just answers",2026,journalArticle,"Agentic AI systems that autonomously execute actions across enterprise tools, databases, and APIs introduce a fundamentally different risk profile from / The framework is designed for  Enterprise AI Heads, governance leads, security architects, and engineers responsible for deploying agentic AI in regulated",,,,
5,NVE5885K,"Vibe coding: don't kill the vibe, govern it",2025,webpage,"GlobalLogic's ShanShan Pa explains vibe coding, a developer and coding-focused AI that work together like two programmers talking back and forth to build software.",,,,
6,LAKYKVTB,Malicious and unintentional disclosure risks in large language models for code generation,2025,conferencePaper,"This paper explores the risk that a large language model (LLM) trained for code generation on data mined from software repositories will generate content that discloses sensitive information included in its training data. We decompose this risk, known in the literature as ""unintended memorization,"" into two components: unintentional disclosure (where an LLM presents secrets to users without the user seeking them out) and malicious disclosure (where an LLM presents secrets to an attacker equipped with partial knowledge of the training data). We observe that while existing work mostly anticipates malicious disclosure, unintentional disclosure is also a concern. We describe methods to assess unintentional and malicious disclosure risks side-by-side across different releases of training datasets and models. We demonstrate these methods through an independent assessment of the Open Language Model (OLMo) family of models and its Dolma training datasets. Our results show, first, that changes in data source and processing are associated with substantial changes in unintended memorization risk; second, that the same set of operational changes may increase one risk while mitigating another; and, third, that the risk of disclosing sensitive information varies not only by prompt strategies or test datasets but also by the types of sensitive information. These contributions rely on data mining to enable greater privacy and security testing required for the LLM training data supply chain.",,,,
7,76DYS6RI,Model-assisted and human-guided: perceptions and practices of software professionals using LLMs for coding,2025,conferencePaper,"Large Language Models (LLMs) have quickly become a central component of modern software development workflows, and software practitioners are increasingly integrating LLMs into various stages of the software development lifecycle. Despite the growing presence of LLMs, there is still limited understanding of how these tools are actually used in practice and how professionals perceive their benefits and limitations. This paper presents preliminary findings from a global survey of 131 software practitioners. Our results reveal how LLMs are utilized for various coding-specific tasks. Software professionals report benefits such as increased productivity, reduced cognitive load, and faster learning, but also raise concerns about LLMs' inaccurate outputs, limited context awareness, and associated ethical risks. Most developers treat LLMs as assistive tools rather than standalone solutions, reflecting a cautious yet practical approach to their integration. Our findings provide an early, practitioner-focused perspective on LLM adoption, highlighting key considerations for future research and responsible use in software engineering.",,,,
8,FYU7H5WR,Beyond productivity: evaluating the hidden costs of generative AI in software development,2025,journalArticle,"AI-assisted programming tools are increasingly adopted to enhance developer productivity by automating routine tasks and accelerating software development / Drawing on interviews with software engineers and insights from the literature, we build a dynamic simulation model to examine the long-term impacts of AI-assisted / Human-AI Interaction, AI-Assisted Coding, Software Development, Technical Debt, System Atrophy, Dynamics, Software Supply Chains",,,,
9,N3WU6PFG,Investigating the smells of LLM generated Code1,2025,journalArticle,"code to identify the weakest scenarios in which the quality of LLM generated code should be improved.MethodsThe method measures code smells, an important / However, the quality of LLM generated code is ntoicablly poorer than human written code. / machine learning, Large language models, performance evaluation, Code Generation, Code quality, Usability, Code smell",,,,
10,FCSXBE4I,Agent reliability maturity model (ARMM) a capabiility framework for production-ready AI agent deployment - moving from 'can we build it' to 'are we ready to run it',2026,journalArticle,"The primary barrier cited by practitioners is not governance or capability, but reliability: will it work when it matters? / structures (governance maturity). / Capability Maturity Model, Systems Engineering, Artificial Intelligence, AI Agents, Agentic AI",,,,
